shards,pipeline,slot,mode,rep,cpu_us_per_op,server_rps,cores_busy,fast_dispatches,fast_pct
8,1,1,off,1,20.8225,380310,7.919,0,0.0
8,1,2,on,1,19.4819,404991,7.890,4035953,49.8
8,1,3,on,1,20.1668,386378,7.792,4821961,62.4
8,1,4,off,1,21.7768,388050,8.450,0,0.0
8,1,1,off,2,22.0958,383421,8.472,0,0.0
8,1,2,on,2,20.3333,382993,7.787,4186088,54.6
8,1,3,on,2,23.0782,386122,8.911,3891986,50.4
8,1,4,off,2,26.4526,349436,9.244,0,0.0
8,1,1,off,3,22.1346,354693,7.851,0,0.0
8,1,2,on,3,20.2961,399166,8.101,3857793,48.3
8,1,3,on,3,20.3572,390033,7.940,4151320,53.2
8,1,4,off,3,18.9340,414017,7.839,0,0.0
8,1,1,off,4,22.2946,356656,7.952,0,0.0
8,1,2,on,4,22.4867,390408,8.779,3879392,49.7
8,1,3,on,4,20.7539,404454,8.394,4071519,50.3
8,1,4,off,4,22.1842,353652,7.845,0,0.0
8,1,1,off,5,22.6354,354865,8.033,0,0.0
8,1,2,on,5,24.0725,499387,12.021,4301765,43.1
8,1,3,on,5,20.3865,383170,7.811,4192787,54.7
8,1,4,off,5,24.3224,348033,8.465,0,0.0
8,1,1,off,6,21.5585,368903,7.953,0,0.0
8,1,2,on,6,20.1858,402065,8.116,4060884,50.5
8,1,3,on,6,20.1126,388066,7.805,3973044,51.2
8,1,4,off,6,23.6834,345791,8.189,0,0.0
8,1,1,off,7,22.1999,355407,7.890,0,0.0
8,1,2,on,7,20.2369,383656,7.764,3867544,50.4
8,1,3,on,7,20.0080,433778,8.679,4104478,47.3
8,1,4,off,7,26.0020,352377,9.162,0,0.0
8,1,1,off,8,23.9600,354195,8.486,0,0.0
8,1,2,on,8,19.6635,396522,7.797,4004312,50.5
8,1,3,on,8,22.8303,387708,8.851,3850625,49.7
8,1,4,off,8,22.3826,351991,7.878,0,0.0
8,1,1,off,9,22.0978,401240,8.867,0,0.0
8,1,2,on,9,19.7525,394761,7.797,3997968,50.6
8,1,3,on,9,17.5815,479880,8.437,4992490,52.0
8,1,4,off,9,20.9946,389267,8.172,0,0.0
8,1,1,off,10,21.7863,365505,7.963,0,0.0
8,1,2,on,10,18.8890,428106,8.086,4318259,50.4
8,1,3,on,10,20.1587,475129,9.578,3900796,41.0
8,1,4,off,10,21.7833,359954,7.841,0,0.0
8,16,1,off,1,4.1382,1926674,7.973,0,0.0
8,16,2,on,1,3.9957,2472802,9.881,12519208,25.3
8,16,3,on,1,4.3397,1824662,7.918,11340132,31.1
8,16,4,off,1,3.9191,2031975,7.964,0,0.0
8,16,1,off,2,4.1580,2332960,9.700,0,0.0
8,16,2,on,2,4.2940,1843630,7.917,11507259,31.2
8,16,3,on,2,4.2881,1833894,7.864,11602618,31.6
8,16,4,off,2,5.2276,1915972,10.016,0,0.0
8,16,1,off,3,3.7192,2137954,7.952,0,0.0
8,16,2,on,3,3.0546,3250322,9.928,17703405,27.2
8,16,3,on,3,2.5929,3051616,7.912,19109725,31.3
8,16,4,off,3,4.0751,1953701,7.961,0,0.0
8,16,1,off,4,4.2842,1929319,8.265,0,0.0
8,16,2,on,4,5.3854,1849073,9.958,11503509,31.1
8,16,3,on,4,3.9393,2200764,8.669,12871504,29.2
8,16,4,off,4,3.4609,3479430,12.042,0,0.0
8,16,1,off,5,3.7625,2115735,7.961,0,0.0
8,16,2,on,5,2.6813,2948366,7.906,18437934,31.3
8,16,3,on,5,4.2735,2295674,9.811,17383241,37.9
8,16,4,off,5,4.1359,2220179,9.183,0,0.0
8,16,1,off,6,4.1584,1909972,7.942,0,0.0
8,16,2,on,6,4.3038,1838611,7.913,11545518,31.4
8,16,3,on,6,7.5533,1822445,13.765,11227548,30.8
8,16,4,off,6,2.7462,2897463,7.957,0,0.0
8,16,1,off,7,4.1378,1922540,7.955,0,0.0
8,16,2,on,7,2.6536,3096728,8.217,19332355,31.2
8,16,3,on,7,5.3152,1854771,9.858,11565159,31.2
8,16,4,off,7,4.1592,1928599,8.021,0,0.0
8,16,1,off,8,5.0704,2106233,10.680,0,0.0
8,16,2,on,8,4.3266,2300547,9.954,11491997,25.0
8,16,3,on,8,6.5528,2102076,13.774,13194795,31.4
8,16,4,off,8,5.1024,1917350,9.783,0,0.0
8,16,1,off,9,4.0895,1946563,7.961,0,0.0
8,16,2,on,9,4.2842,1848185,7.918,11507333,31.1
8,16,3,on,9,5.3337,1849272,9.864,11572450,31.3
8,16,4,off,9,4.3463,2649149,11.514,0,0.0
8,16,1,off,10,3.9920,1994242,7.961,0,0.0
8,16,2,on,10,3.8884,2583071,10.044,16074460,31.1
8,16,3,on,10,4.3072,2417691,10.414,11454505,23.7
8,16,4,off,10,4.1948,1926062,8.079,0,0.0
1,1,1,off,1,8.6710,115499,1.002,0,0.0
1,1,2,on,1,8.8326,113330,1.001,0,0.0
1,1,3,on,1,9.0579,110566,1.002,0,0.0
1,1,4,off,1,9.0967,110040,1.001,0,0.0
1,1,1,off,2,8.8039,113700,1.001,0,0.0
1,1,2,on,2,8.7776,114040,1.001,0,0.0
1,1,3,on,2,8.7943,113880,1.002,0,0.0
1,1,4,off,2,8.9684,111669,1.002,0,0.0
1,1,1,off,3,8.9893,111410,1.002,0,0.0
1,1,2,on,3,9.0072,111189,1.002,0,0.0
1,1,3,on,3,8.9453,111958,1.002,0,0.0
1,1,4,off,3,8.9375,112056,1.002,0,0.0
1,1,1,off,4,9.0295,110970,1.002,0,0.0
1,1,2,on,4,9.0121,111129,1.002,0,0.0
1,1,3,on,4,8.9025,112440,1.001,0,0.0
1,1,4,off,4,8.8032,113766,1.002,0,0.0
1,1,1,off,5,8.7429,114550,1.002,0,0.0
1,1,2,on,5,8.6637,115598,1.002,0,0.0
1,1,3,on,5,9.0597,110600,1.002,0,0.0
1,1,4,off,5,8.6954,115118,1.001,0,0.0
1,1,1,off,6,9.0831,110260,1.002,0,0.0
1,1,2,on,6,8.8110,113721,1.002,0,0.0
1,1,3,on,6,8.9109,112390,1.002,0,0.0
1,1,4,off,6,8.9109,112391,1.002,0,0.0
1,1,1,off,7,8.9977,111251,1.001,0,0.0
1,1,2,on,7,9.0114,111137,1.002,0,0.0
1,1,3,on,7,9.1005,110049,1.002,0,0.0
1,1,4,off,7,8.8843,112784,1.002,0,0.0
1,1,1,off,8,8.7823,113979,1.001,0,0.0
1,1,2,on,8,8.9059,112510,1.002,0,0.0
1,1,3,on,8,8.8338,113371,1.002,0,0.0
1,1,4,off,8,8.9033,112430,1.001,0,0.0
1,1,1,off,9,8.9139,112408,1.002,0,0.0
1,1,2,on,9,8.7982,113830,1.002,0,0.0
1,1,3,on,9,8.7567,114370,1.002,0,0.0
1,1,4,off,9,9.0552,110600,1.002,0,0.0
1,1,1,off,10,8.9613,111759,1.002,0,0.0
1,1,2,on,10,8.9046,112470,1.002,0,0.0
1,1,3,on,10,8.9239,112227,1.002,0,0.0
1,1,4,off,10,8.8846,112780,1.002,0,0.0
