shards,conns,pipeline,cmds,xshard,parked,parks_per_cmd,mean_park_depth,cpu_us_per_cmd,rps,cores_busy
1,50,1,1500000,0,0,0.0000,0.00,8.82,109873,0.969
8,50,1,1500000,1312820,1291719,0.8611,14.67,34.28,193592,6.636
1,200,1,2500000,0,0,0.0000,0.00,8.89,110010,0.978
8,200,1,2500000,2188948,2181571,0.8726,63.20,24.61,288879,7.109
1,800,1,2500000,0,0,0.0000,0.00,8.98,106728,0.958
8,800,1,2500000,2186960,2184356,0.8737,147.34,22.19,307548,6.824
1,200,16,8000000,0,0,0.0000,0.00,0.93,1007963,0.939
8,200,16,8000000,7003779,706629,0.0883,69.34,4.26,1628786,6.933
1,800,16,8000000,0,0,0.0000,0.00,1.00,873902,0.877
8,800,16,8000000,7001429,718990,0.0899,303.45,4.16,1555827,6.478
8,50,1,1500000,1312297,1294246,0.8628,14.94,34.15,199637,6.817
1,50,1,1500000,0,0,0.0000,0.00,8.55,112979,0.966
8,200,1,2500000,2187452,2179259,0.8717,62.46,24.58,296358,7.284
1,200,1,2500000,0,0,0.0000,0.00,8.73,111280,0.972
8,800,1,2500000,2187870,2185184,0.8741,155.20,22.06,298998,6.596
1,800,1,2500000,0,0,0.0000,0.00,9.03,106683,0.963
8,200,16,8000000,7000442,701429,0.0877,78.18,4.35,1629795,7.090
1,200,16,8000000,0,0,0.0000,0.00,0.94,1008966,0.945
8,800,16,8000000,7001887,706219,0.0883,291.77,4.23,1562126,6.602
1,800,16,8000000,0,0,0.0000,0.00,0.99,874111,0.869
1,50,1,1500000,0,0,0.0000,0.00,9.37,103286,0.967
8,50,1,1500000,1312219,1292335,0.8616,14.70,34.02,199511,6.787
1,200,1,2500000,0,0,0.0000,0.00,8.98,108858,0.978
8,200,1,2500000,2187915,2180564,0.8722,64.95,24.21,289212,7.002
1,800,1,2500000,0,0,0.0000,0.00,9.32,103370,0.964
8,800,1,2500000,2188912,2186248,0.8745,158.35,21.26,317732,6.755
1,200,16,8000000,0,0,0.0000,0.00,1.00,948027,0.946
8,200,16,8000000,7002092,715467,0.0894,79.98,4.28,1481647,6.334
1,800,16,8000000,0,0,0.0000,0.00,1.02,874346,0.894
8,800,16,8000000,7000476,627112,0.0784,216.07,4.22,1561956,6.599
