# moon: unknown sha256:efeda244925d38af
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Neoverse-N1 (8 cores)
# kernel: Linux 6.17.0-1022-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-08T02:45:13Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,88967.98
1,moon-first,moon,GET,1,88652.48
1,moon-first,moon,INCR,1,83056.48
1,moon-first,moon,LPUSH,1,77339.52
1,moon-first,moon,SADD,1,78003.12
1,moon-first,moon,SPOP,1,77519.38
1,moon-first,moon,HSET,1,80192.46
1,moon-first,moon,ZADD,1,66093.85
1,moon-first,moon,SET,8,528401.56
1,moon-first,moon,GET,8,593471.81
1,moon-first,moon,INCR,8,333611.34
1,moon-first,moon,LPUSH,8,274914.09
1,moon-first,moon,SADD,8,255918.11
1,moon-first,moon,SPOP,8,229885.06
1,moon-first,moon,HSET,8,269905.53
1,moon-first,moon,ZADD,8,201612.91
1,moon-first,moon,SET,64,1302111.12
1,moon-first,moon,GET,64,1501533.50
1,moon-first,moon,INCR,64,612758.19
1,moon-first,moon,LPUSH,64,447904.44
1,moon-first,moon,SADD,64,379658.81
1,moon-first,moon,SPOP,64,301453.38
1,moon-first,moon,HSET,64,442096.09
1,moon-first,moon,ZADD,64,250088.69
1,moon-first,redis,SET,1,82169.27
1,moon-first,redis,GET,1,82372.32
1,moon-first,redis,INCR,1,81433.22
1,moon-first,redis,LPUSH,1,85470.09
1,moon-first,redis,SADD,1,86281.27
1,moon-first,redis,SPOP,1,88028.16
1,moon-first,redis,HSET,1,87565.68
1,moon-first,redis,ZADD,1,88105.73
1,moon-first,redis,SET,8,493827.16
1,moon-first,redis,GET,8,522875.81
1,moon-first,redis,INCR,8,524934.38
1,moon-first,redis,LPUSH,8,382409.19
1,moon-first,redis,SADD,8,371057.53
1,moon-first,redis,SPOP,8,303951.38
1,moon-first,redis,HSET,8,429645.53
1,moon-first,redis,ZADD,8,303260.03
1,moon-first,redis,SET,64,866569.62
1,moon-first,redis,GET,64,974679.62
1,moon-first,redis,INCR,64,1017660.81
1,moon-first,redis,LPUSH,64,634263.00
1,moon-first,redis,SADD,64,519042.19
1,moon-first,redis,SPOP,64,342004.56
1,moon-first,redis,HSET,64,710915.69
1,moon-first,redis,ZADD,64,465270.47
2,redis-first,redis,SET,1,87183.96
2,redis-first,redis,GET,1,82918.74
2,redis-first,redis,INCR,1,83472.46
2,redis-first,redis,LPUSH,1,88967.98
2,redis-first,redis,SADD,1,89206.06
2,redis-first,redis,SPOP,1,89206.06
2,redis-first,redis,HSET,1,83752.09
2,redis-first,redis,ZADD,1,89445.44
2,redis-first,redis,SET,8,453001.12
2,redis-first,redis,GET,8,505050.50
2,redis-first,redis,INCR,8,507614.22
2,redis-first,redis,LPUSH,8,383877.12
2,redis-first,redis,SADD,8,361990.94
2,redis-first,redis,SPOP,8,302343.16
2,redis-first,redis,HSET,8,423280.44
2,redis-first,redis,ZADD,8,300075.03
2,redis-first,redis,SET,64,841296.69
2,redis-first,redis,GET,64,937520.00
2,redis-first,redis,INCR,64,988163.38
2,redis-first,redis,LPUSH,64,630000.81
2,redis-first,redis,SADD,64,519042.19
2,redis-first,redis,SPOP,64,347390.47
2,redis-first,redis,HSET,64,729587.56
2,redis-first,redis,ZADD,64,473644.44
2,redis-first,moon,SET,1,86058.52
2,redis-first,moon,GET,1,86505.19
2,redis-first,moon,INCR,1,92592.59
2,redis-first,moon,LPUSH,1,80256.82
2,redis-first,moon,SADD,1,80450.52
2,redis-first,moon,SPOP,1,77821.02
2,redis-first,moon,HSET,1,79554.50
2,redis-first,moon,ZADD,1,67659.00
2,redis-first,moon,SET,8,543478.25
2,redis-first,moon,GET,8,599700.12
2,redis-first,moon,INCR,8,335570.47
2,redis-first,moon,LPUSH,8,274725.28
2,redis-first,moon,SADD,8,256246.00
2,redis-first,moon,SPOP,8,233100.23
2,redis-first,moon,HSET,8,275103.16
2,redis-first,moon,ZADD,8,207684.31
2,redis-first,moon,SET,64,1326288.25
2,redis-first,moon,GET,64,1532208.38
2,redis-first,moon,INCR,64,614767.19
2,redis-first,moon,LPUSH,64,450866.25
2,redis-first,moon,SADD,64,386307.50
2,redis-first,moon,SPOP,64,305941.69
2,redis-first,moon,HSET,64,445113.38
2,redis-first,moon,ZADD,64,246189.41
3,moon-first,moon,SET,1,87796.30
3,moon-first,moon,GET,1,86505.19
3,moon-first,moon,INCR,1,84889.65
