# moon: unknown sha256:5e897accdefa2dd1
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz (8 cores)
# kernel: Linux 6.17.0-1022-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-08T02:44:58Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,130548.30
1,moon-first,moon,GET,1,130378.09
1,moon-first,moon,INCR,1,135318.00
1,moon-first,moon,LPUSH,1,140646.97
1,moon-first,moon,SADD,1,139470.02
1,moon-first,moon,SPOP,1,135135.14
1,moon-first,moon,HSET,1,135501.36
1,moon-first,moon,ZADD,1,111982.08
1,moon-first,moon,SET,8,836820.12
1,moon-first,moon,GET,8,1000000.00
1,moon-first,moon,INCR,8,536193.06
1,moon-first,moon,LPUSH,8,414937.75
1,moon-first,moon,SADD,8,375939.84
1,moon-first,moon,SPOP,8,357781.75
1,moon-first,moon,HSET,8,446428.56
1,moon-first,moon,ZADD,8,296077.00
1,moon-first,moon,SET,64,2002712.88
1,moon-first,moon,GET,64,2895814.75
1,moon-first,moon,INCR,64,960943.00
1,moon-first,moon,LPUSH,64,664613.19
1,moon-first,moon,SADD,64,533819.25
1,moon-first,moon,SPOP,64,421120.72
1,moon-first,moon,HSET,64,684009.12
1,moon-first,moon,ZADD,64,305505.50
1,moon-first,redis,SET,1,127877.23
1,moon-first,redis,GET,1,126742.72
1,moon-first,redis,INCR,1,124843.95
1,moon-first,redis,LPUSH,1,129701.68
1,moon-first,redis,SADD,1,130039.02
1,moon-first,redis,SPOP,1,132450.33
1,moon-first,redis,HSET,1,128865.98
1,moon-first,redis,ZADD,1,127877.23
1,moon-first,redis,SET,8,676818.94
1,moon-first,redis,GET,8,724637.69
1,moon-first,redis,INCR,8,709219.88
1,moon-first,redis,LPUSH,8,614439.31
1,moon-first,redis,SADD,8,570613.44
1,moon-first,redis,SPOP,8,442477.88
1,moon-first,redis,HSET,8,720720.69
1,moon-first,redis,ZADD,8,554016.62
1,moon-first,redis,SET,64,1518251.00
1,moon-first,redis,GET,64,1833779.88
1,moon-first,redis,INCR,64,1756477.75
1,moon-first,redis,LPUSH,64,1087768.00
1,moon-first,redis,SADD,64,740390.94
1,moon-first,redis,SPOP,64,557011.50
1,moon-first,redis,HSET,64,1373655.62
1,moon-first,redis,ZADD,64,686827.81
2,redis-first,redis,SET,1,127388.53
2,redis-first,redis,GET,1,127877.23
2,redis-first,redis,INCR,1,127226.46
2,redis-first,redis,LPUSH,1,132275.14
2,redis-first,redis,SADD,1,130378.09
2,redis-first,redis,SPOP,1,131233.59
2,redis-first,redis,HSET,1,129870.13
2,redis-first,redis,ZADD,1,130378.09
2,redis-first,redis,SET,8,761904.81
2,redis-first,redis,GET,8,856531.06
2,redis-first,redis,INCR,8,813008.12
2,redis-first,redis,LPUSH,8,650406.50
2,redis-first,redis,SADD,8,513478.84
2,redis-first,redis,SPOP,8,443951.16
2,redis-first,redis,HSET,8,624025.00
2,redis-first,redis,ZADD,8,421496.31
2,redis-first,redis,SET,64,1452112.25
2,redis-first,redis,GET,64,1652017.62
2,redis-first,redis,INCR,64,1740176.38
2,redis-first,redis,LPUSH,64,1098924.50
2,redis-first,redis,SADD,64,757591.94
2,redis-first,redis,SPOP,64,556804.75
2,redis-first,redis,HSET,64,1334548.12
2,redis-first,redis,ZADD,64,684946.12
2,redis-first,moon,SET,1,130039.02
2,redis-first,moon,GET,1,129198.97
2,redis-first,moon,INCR,1,139470.02
2,redis-first,moon,LPUSH,1,139860.14
2,redis-first,moon,SADD,1,140056.03
2,redis-first,moon,SPOP,1,136798.91
2,redis-first,moon,HSET,1,138696.25
2,redis-first,moon,ZADD,1,114810.56
2,redis-first,moon,SET,8,923787.56
2,redis-first,moon,GET,8,1041666.69
2,redis-first,moon,INCR,8,578871.19
2,redis-first,moon,LPUSH,8,454029.53
2,redis-first,moon,SADD,8,408997.97
2,redis-first,moon,SPOP,8,361990.94
2,redis-first,moon,HSET,8,454545.47
2,redis-first,moon,ZADD,8,296956.19
2,redis-first,moon,SET,64,2049224.00
2,redis-first,moon,GET,64,2976254.00
2,redis-first,moon,INCR,64,893408.00
2,redis-first,moon,LPUSH,64,607054.62
2,redis-first,moon,SADD,64,521568.84
2,redis-first,moon,SPOP,64,419589.38
2,redis-first,moon,HSET,64,681522.94
2,redis-first,moon,ZADD,64,306128.97
3,moon-first,moon,SET,1,131061.59
3,moon-first,moon,GET,1,129366.11
3,moon-first,moon,INCR,1,137362.64
3,moon-first,moon,LPUSH,1,139860.14
3,moon-first,moon,SADD,1,137741.05
3,moon-first,moon,SPOP,1,140845.08
3,moon-first,moon,HSET,1,139275.77
3,moon-first,moon,ZADD,1,114025.09
3,moon-first,moon,SET,8,925925.88
3,moon-first,moon,GET,8,1028277.62
3,moon-first,moon,INCR,8,578034.69
3,moon-first,moon,LPUSH,8,457665.91
3,moon-first,moon,SADD,8,404040.41
3,moon-first,moon,SPOP,8,355871.91
3,moon-first,moon,HSET,8,443458.97
3,moon-first,moon,ZADD,8,288600.28
3,moon-first,moon,SET,64,1785752.38
3,moon-first,moon,GET,64,2752352.25
3,moon-first,moon,INCR,64,937520.00
3,moon-first,moon,LPUSH,64,608532.25
3,moon-first,moon,SADD,64,532303.75
3,moon-first,moon,SPOP,64,421712.69
3,moon-first,moon,HSET,64,669956.19
3,moon-first,moon,ZADD,64,305505.50
3,moon-first,redis,SET,1,127388.53
3,moon-first,redis,GET,1,128205.13
3,moon-first,redis,INCR,1,127064.80
3,moon-first,redis,LPUSH,1,130890.05
3,moon-first,redis,SADD,1,129533.68
3,moon-first,redis,SPOP,1,133155.80
3,moon-first,redis,HSET,1,127064.80
3,moon-first,redis,ZADD,1,127877.23
3,moon-first,redis,SET,8,770712.94
3,moon-first,redis,GET,8,840336.12
3,moon-first,redis,INCR,8,811359.00
3,moon-first,redis,LPUSH,8,648298.25
3,moon-first,redis,SADD,8,593471.81
3,moon-first,redis,SPOP,8,510204.09
3,moon-first,redis,HSET,8,718132.88
3,moon-first,redis,ZADD,8,430107.53
3,moon-first,redis,SET,64,1318130.00
3,moon-first,redis,GET,64,1577320.75
3,moon-first,redis,INCR,64,1460596.00
3,moon-first,redis,LPUSH,64,1084621.88
3,moon-first,redis,SADD,64,767672.44
3,moon-first,redis,SPOP,64,559922.38
3,moon-first,redis,HSET,64,1363665.38
3,moon-first,redis,ZADD,64,683385.88
4,redis-first,redis,SET,1,128205.13
4,redis-first,redis,GET,1,124378.11
4,redis-first,redis,INCR,1,126903.55
4,redis-first,redis,LPUSH,1,130890.05
4,redis-first,redis,SADD,1,131406.05
4,redis-first,redis,SPOP,1,132275.14
4,redis-first,redis,HSET,1,128205.13
4,redis-first,redis,ZADD,1,129533.68
4,redis-first,redis,SET,8,773694.38
4,redis-first,redis,GET,8,858369.12
4,redis-first,redis,INCR,8,824742.25
4,redis-first,redis,LPUSH,8,640000.00
4,redis-first,redis,SADD,8,583090.38
4,redis-first,redis,SPOP,8,441501.09
4,redis-first,redis,HSET,8,720720.69
4,redis-first,redis,ZADD,8,561009.81
4,redis-first,redis,SET,64,1572360.62
4,redis-first,redis,GET,64,1861081.88
4,redis-first,redis,INCR,64,1777289.12
4,redis-first,redis,LPUSH,64,1083838.25
4,redis-first,redis,SADD,64,733511.94
4,redis-first,redis,SPOP,64,505571.97
4,redis-first,redis,HSET,64,1386351.12
4,redis-first,redis,ZADD,64,699315.62
4,redis-first,moon,SET,1,130718.95
4,redis-first,moon,GET,1,131926.12
4,redis-first,moon,INCR,1,137551.58
4,redis-first,moon,LPUSH,1,142653.36
4,redis-first,moon,SADD,1,139275.77
4,redis-first,moon,SPOP,1,140056.03
4,redis-first,moon,HSET,1,138696.25
4,redis-first,moon,ZADD,1,113507.38
4,redis-first,moon,SET,8,900900.88
4,redis-first,moon,GET,8,1036269.44
4,redis-first,moon,INCR,8,576368.88
4,redis-first,moon,LPUSH,8,450958.28
4,redis-first,moon,SADD,8,398406.41
4,redis-first,moon,SPOP,8,359712.22
4,redis-first,moon,HSET,8,448933.78
4,redis-first,moon,ZADD,8,299177.25
4,redis-first,moon,SET,64,2038087.00
4,redis-first,moon,GET,64,2988111.75
4,redis-first,moon,INCR,64,967138.62
4,redis-first,moon,LPUSH,64,665793.19
4,redis-first,moon,SADD,64,525773.56
4,redis-first,moon,SPOP,64,407506.66
4,redis-first,moon,HSET,64,616282.69
4,redis-first,moon,ZADD,64,305443.31
5,moon-first,moon,SET,1,129366.11
5,moon-first,moon,GET,1,131406.05
5,moon-first,moon,INCR,1,136798.91
5,moon-first,moon,LPUSH,1,139082.06
5,moon-first,moon,SADD,1,138888.89
5,moon-first,moon,SPOP,1,138888.89
5,moon-first,moon,HSET,1,140056.03
5,moon-first,moon,ZADD,1,114416.48
5,moon-first,moon,SET,8,928074.25
5,moon-first,moon,GET,8,1030927.81
5,moon-first,moon,INCR,8,568990.06
5,moon-first,moon,LPUSH,8,454545.47
5,moon-first,moon,SADD,8,404448.94
5,moon-first,moon,SPOP,8,356506.25
5,moon-first,moon,HSET,8,444938.81
5,moon-first,moon,ZADD,8,296956.19
5,moon-first,moon,SET,64,2010766.75
5,moon-first,moon,GET,64,2970360.50
5,moon-first,moon,INCR,64,964650.81
5,moon-first,moon,LPUSH,64,664613.19
5,moon-first,moon,SADD,64,530421.50
5,moon-first,moon,SPOP,64,388106.59
5,moon-first,moon,HSET,64,687142.44
5,moon-first,moon,ZADD,64,305567.75
5,moon-first,redis,SET,1,128534.70
5,moon-first,redis,GET,1,126742.72
5,moon-first,redis,INCR,1,125470.52
5,moon-first,redis,LPUSH,1,128205.13
5,moon-first,redis,SADD,1,130548.30
5,moon-first,redis,SPOP,1,130039.02
5,moon-first,redis,HSET,1,130208.34
5,moon-first,redis,ZADD,1,128040.97
5,moon-first,redis,SET,8,769230.81
5,moon-first,redis,GET,8,863930.88
5,moon-first,redis,INCR,8,821355.25
5,moon-first,redis,LPUSH,8,648298.25
5,moon-first,redis,SADD,8,594353.69
5,moon-first,redis,SPOP,8,495662.97
5,moon-first,redis,HSET,8,702987.69
5,moon-first,redis,ZADD,8,476190.50
5,moon-first,redis,SET,64,1562533.38
5,moon-first,redis,GET,64,1891591.50
5,moon-first,redis,INCR,64,1748289.12
5,moon-first,redis,LPUSH,64,1098120.00
5,moon-first,redis,SADD,64,764152.81
5,moon-first,redis,SPOP,64,533819.25
5,moon-first,redis,HSET,64,1167340.12
5,moon-first,redis,ZADD,64,649927.19
