# moon: unknown sha256:6e62d252ea22a406
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Neoverse-N1 (8 cores)
# kernel: Linux 6.17.0-1022-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-08T03:05:11Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,91324.20
1,moon-first,moon,GET,1,88967.98
1,moon-first,moon,INCR,1,81168.83
1,moon-first,moon,LPUSH,1,77279.75
1,moon-first,moon,SADD,1,81967.21
1,moon-first,moon,SPOP,1,75987.84
1,moon-first,moon,HSET,1,81766.15
1,moon-first,moon,ZADD,1,66181.34
1,moon-first,moon,SET,8,559440.56
1,moon-first,moon,GET,8,604229.62
1,moon-first,moon,INCR,8,301204.84
1,moon-first,moon,LPUSH,8,257898.12
1,moon-first,moon,SADD,8,246913.58
1,moon-first,moon,SPOP,8,215633.42
1,moon-first,moon,HSET,8,261437.91
1,moon-first,moon,ZADD,8,198019.80
1,moon-first,moon,SET,64,1345320.12
1,moon-first,moon,GET,64,1522875.12
1,moon-first,moon,INCR,64,532681.81
1,moon-first,moon,LPUSH,64,412663.56
1,moon-first,moon,SADD,64,336858.75
1,moon-first,moon,SPOP,64,266435.53
1,moon-first,moon,HSET,64,393296.28
1,moon-first,moon,ZADD,64,234197.03
1,moon-first,redis,SET,1,81433.22
1,moon-first,redis,GET,1,81766.15
1,moon-first,redis,INCR,1,82781.46
1,moon-first,redis,LPUSH,1,86132.64
1,moon-first,redis,SADD,1,83822.30
1,moon-first,redis,SPOP,1,88417.33
1,moon-first,redis,HSET,1,85910.65
1,moon-first,redis,ZADD,1,87489.06
1,moon-first,redis,SET,8,457142.84
1,moon-first,redis,GET,8,507614.22
1,moon-first,redis,INCR,8,515463.91
1,moon-first,redis,LPUSH,8,382775.12
1,moon-first,redis,SADD,8,371747.22
1,moon-first,redis,SPOP,8,274536.72
1,moon-first,redis,HSET,8,441501.09
1,moon-first,redis,ZADD,8,356824.25
1,moon-first,redis,SET,64,819689.62
1,moon-first,redis,GET,64,938693.31
1,moon-first,redis,INCR,64,987512.81
1,moon-first,redis,LPUSH,64,621903.81
1,moon-first,redis,SADD,64,511084.16
1,moon-first,redis,SPOP,64,344834.94
1,moon-first,redis,HSET,64,735309.81
1,moon-first,redis,ZADD,64,481551.19
2,redis-first,redis,SET,1,87260.03
2,redis-first,redis,GET,1,81967.21
2,redis-first,redis,INCR,1,87412.59
2,redis-first,redis,LPUSH,1,87719.30
2,redis-first,redis,SADD,1,84459.46
2,redis-first,redis,SPOP,1,85251.49
2,redis-first,redis,HSET,1,87032.20
2,redis-first,redis,ZADD,1,87336.24
2,redis-first,redis,SET,8,472813.22
2,redis-first,redis,GET,8,517464.44
2,redis-first,redis,INCR,8,554016.62
2,redis-first,redis,LPUSH,8,372786.59
2,redis-first,redis,SADD,8,371402.03
2,redis-first,redis,SPOP,8,307692.31
2,redis-first,redis,HSET,8,432432.44
2,redis-first,redis,ZADD,8,309597.50
2,redis-first,redis,SET,64,861592.19
2,redis-first,redis,GET,64,954826.25
2,redis-first,redis,INCR,64,1009442.81
2,redis-first,redis,LPUSH,64,628944.25
2,redis-first,redis,SADD,64,514767.31
2,redis-first,redis,SPOP,64,339220.28
2,redis-first,redis,HSET,64,730298.00
2,redis-first,redis,ZADD,64,479856.69
2,redis-first,moon,SET,1,88573.96
2,redis-first,moon,GET,1,87412.59
2,redis-first,moon,INCR,1,79808.46
2,redis-first,moon,LPUSH,1,75757.57
2,redis-first,moon,SADD,1,80321.28
2,redis-first,moon,SPOP,1,77339.52
2,redis-first,moon,HSET,1,78064.01
2,redis-first,moon,ZADD,1,64391.50
2,redis-first,moon,SET,8,539811.06
2,redis-first,moon,GET,8,600600.56
2,redis-first,moon,INCR,8,297619.06
2,redis-first,moon,LPUSH,8,253485.44
