# moon: unknown sha256:63f018ce3179115f
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz (8 cores)
# kernel: Linux 6.17.0-1022-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-08T03:01:51Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,130378.09
1,moon-first,moon,GET,1,128700.12
1,moon-first,moon,INCR,1,136612.02
1,moon-first,moon,LPUSH,1,134770.89
1,moon-first,moon,SADD,1,139082.06
1,moon-first,moon,SPOP,1,133333.33
1,moon-first,moon,HSET,1,133689.83
1,moon-first,moon,ZADD,1,109529.02
1,moon-first,moon,SET,8,928074.25
1,moon-first,moon,GET,8,1005025.12
1,moon-first,moon,INCR,8,493218.25
1,moon-first,moon,LPUSH,8,416666.69
1,moon-first,moon,SADD,8,386100.38
1,moon-first,moon,SPOP,8,313234.16
1,moon-first,moon,HSET,8,387221.69
1,moon-first,moon,ZADD,8,277008.31
1,moon-first,moon,SET,64,2077606.62
1,moon-first,moon,GET,64,2976254.00
1,moon-first,moon,INCR,64,774809.94
1,moon-first,moon,LPUSH,64,591728.56
1,moon-first,moon,SADD,64,476503.19
1,moon-first,moon,SPOP,64,354953.16
1,moon-first,moon,HSET,64,542310.94
1,moon-first,moon,ZADD,64,278712.75
1,moon-first,redis,SET,1,129032.27
1,moon-first,redis,GET,1,128865.98
1,moon-first,redis,INCR,1,125628.14
1,moon-first,redis,LPUSH,1,128534.70
1,moon-first,redis,SADD,1,131578.95
1,moon-first,redis,SPOP,1,129870.13
1,moon-first,redis,HSET,1,129198.97
1,moon-first,redis,ZADD,1,127713.92
1,moon-first,redis,SET,8,723327.31
1,moon-first,redis,GET,8,801603.19
1,moon-first,redis,INCR,8,760456.25
1,moon-first,redis,LPUSH,8,606060.56
1,moon-first,redis,SADD,8,554785.00
1,moon-first,redis,SPOP,8,490196.09
1,moon-first,redis,HSET,8,661157.00
1,moon-first,redis,ZADD,8,455062.56
1,moon-first,redis,SET,64,1527527.50
