engine,rep,value_size,idle_rss_kb,loaded_rss_kb,dbsize,per_key_bytes,floor_bytes
moon,1,8,11712,28208,172905,97.7,48
moon,1,64,11708,39176,172732,162.8,104
moon,1,256,11704,72772,173164,361.1,296
moon,1,1024,11704,207772,172832,1161.7,1064
redis,1,8,12216,31292,172868,113.0,48
redis,1,64,12204,42072,172782,177.0,104
redis,1,256,12228,82960,172849,419.0,296
redis,1,1024,12220,245976,172689,1386.1,1064
moon,2,8,11704,28172,172962,97.5,48
moon,2,64,11712,39168,172936,162.6,104
moon,2,256,11704,72620,172754,361.1,296
moon,2,1024,11712,207784,172800,1161.9,1064
redis,2,8,12212,31308,173102,113.0,48
redis,2,64,12220,42096,172846,177.0,104
redis,2,256,12224,82980,172911,419.0,296
redis,2,1024,12216,246344,172968,1386.1,1064
moon,3,8,11708,28084,173015,96.9,48
moon,3,64,11708,39228,172868,163.0,104
moon,3,256,11708,72636,172917,360.8,296
moon,3,1024,11704,207752,172733,1162.2,1064
redis,3,8,12220,31320,173134,113.0,48
redis,3,64,12216,42088,172825,177.0,104
redis,3,256,12220,83088,173171,419.1,296
redis,3,1024,12220,246492,173075,1386.1,1064
