engine,rep,value_size,idle_rss_kb,loaded_rss_kb,dbsize,per_key_bytes,floor_bytes
moon,1,16,11716,30824,172848,113.2,56
moon,1,32,11704,33584,172660,129.8,72
moon,1,48,11704,36296,172821,145.7,88
moon,1,128,11708,50360,172928,228.9,168
redis,1,16,12212,33952,172999,128.7,56
redis,1,32,12220,36796,172897,145.6,72
redis,1,48,12216,39548,172943,161.8,88
redis,1,128,12216,55712,173134,257.3,168
moon,2,16,11704,30868,173032,113.4,56
moon,2,32,11708,33580,172876,129.6,72
moon,2,48,11704,36328,173081,145.7,88
moon,2,128,11696,50376,173021,228.9,168
redis,2,16,12224,33956,172924,128.7,56
redis,2,32,12224,36828,173125,145.5,72
redis,2,48,12220,39568,173034,161.8,88
redis,2,128,12216,55636,172794,257.3,168
