engine,rep,value_size,idle_rss_kb,loaded_rss_kb,dbsize,per_key_bytes,floor_bytes
moon,1,16,13632,32804,172879,113.6,56
moon,1,32,13388,35280,173075,129.5,72
moon,1,48,13580,38248,172791,146.2,88
moon,1,128,13288,52136,172844,230.2,168
redis,1,16,13520,36476,172717,136.1,56
redis,1,32,13568,40288,172844,158.3,72
redis,1,48,13576,43128,173072,174.8,88
redis,1,128,13600,57544,173183,259.8,168
moon,2,16,13396,32468,172733,113.1,56
moon,2,32,13164,35224,172790,130.7,72
moon,2,48,13244,37860,172812,145.9,88
moon,2,128,13368,52188,172956,229.8,168
redis,2,16,13592,36612,173097,136.2,56
redis,2,32,13588,40320,172928,158.3,72
redis,2,48,13416,42956,172993,174.9,88
redis,2,128,13496,57384,173081,259.7,168
