engine,rep,value_size,idle_rss_kb,loaded_rss_kb,dbsize,per_key_bytes,floor_bytes
moon,1,8,13296,29948,172980,98.6,48
moon,1,64,13000,40844,172957,164.9,104
moon,1,256,13508,74676,172918,362.2,296
moon,1,1024,13332,209960,173001,1163.8,1064
redis,1,8,13592,34752,172927,125.3,48
redis,1,64,13564,43800,173040,178.9,104
redis,1,256,13480,84716,173007,421.6,296
redis,1,1024,13596,249008,173020,1393.3,1064
moon,2,8,13504,30048,173130,97.9,48
moon,2,64,13212,40768,172977,163.1,104
moon,2,256,13516,74712,172989,362.2,296
moon,2,1024,13520,210192,172921,1164.6,1064
redis,2,8,13516,34664,173164,125.1,48
redis,2,64,13512,43704,172955,178.8,104
redis,2,256,13576,84684,172656,421.7,296
redis,2,1024,13484,248948,173058,1393.3,1064
moon,3,8,13508,30000,172876,97.7,48
moon,3,64,13308,41008,173036,163.9,104
moon,3,256,13268,74244,172784,361.4,296
moon,3,1024,13104,209660,172675,1165.6,1064
redis,3,8,13412,34516,172759,125.1,48
redis,3,64,13452,43624,172749,178.8,104
redis,3,256,13508,84800,173062,421.8,296
redis,3,1024,13468,248644,172869,1393.1,1064
