total log lines with ts: 384228 boots: 165
i	start	nvec	ntext	keys	scan_keys	scan_s	t_text_to_done_s	ms_per_key	ms_per_key_ex_scan	warm	segtot
0	2026-07-14T03:13:32.102728	20	20	4			0.098	24.4175	24.4175		
1	2026-07-16T02:21:37.451425	352	352	71638			592.334	8.2684	8.2684	77	77
124	2026-07-16T03:19:17.913481	352	352	71638			857.974	11.9765	11.9765		
125	2026-07-16T03:51:42.968383	352	352	72451			579.709	8.0014	8.0014		
126	2026-07-16T10:10:52.632172	388	388	81242			1283.708	15.801	15.801	75	75
128	2026-07-16T16:08:01.819691	400	400	87144			539.042	6.1857	6.1857	25	25
129	2026-07-16T16:27:19.821734	400	400	87620			307.426	3.5086	3.5086	25	25
130	2026-07-19T14:01:59.868335	571	571	105620			448.645	4.2477	4.2477	198	198
131	2026-07-20T08:39:53.908225	763	763	147898			472.886	3.1974	3.1974	199	199
132	2026-07-23T12:56:50.511072	1027	1027	47219			294.294	6.2325	6.2325	68	68
134	2026-07-27T02:40:54.899441	1447	1447	120613			703.652	5.834	5.834	416	416
135	2026-07-27T08:03:29.027783	1483	1483	126162			424.437	3.3642	3.3642	223	223
141	2026-07-27T14:43:50.530375	30	1499	128102			122.561	0.9567	0.9567	20	20
143	2026-07-28T09:34:40.107534	57	1507	132645			131.954	0.9948	0.9948	20	20
144	2026-07-28T16:31:45.816770	69	1511	137005			232.557	1.6974	1.6974	253	253
145	2026-07-29T10:24:47.185712	109	1543	152427			279.609	1.8344	1.8344	238	238
146	2026-07-29T11:07:45.906572	109	1543	153275			317.253	2.0698	2.0698	16	16
147	2026-08-07T07:01:45.176523	209	1631	203309			1076.488	5.2948	5.2948	683	683
148	2026-08-12T04:28:30.868276	457	1867	284465			1522.085	5.3507	5.3507	828	828
150	2026-08-13T07:15:32.529590	525	1935	304595			1826.361	5.996	5.996	58	58
152	2026-08-14T15:13:04.790374	597	2007	326160			1245.306	3.8181	3.8181	100	100
153	2026-08-18T13:33:33.447195	913	2311	366917			5307.916	14.4663	14.4663	1343	1343
155	2026-08-20T10:18:17.319592	1085	2483	46906			135.955	2.8985	2.8985	93	93
156	2026-08-20T10:22:48.827172	1085	2483	46906			261.657	5.5783	5.5783	93	93
157	2026-08-20T10:29:21.543201	1085	2483	46906			265.816	5.667	5.667	93	93
158	2026-08-20T10:44:15.285081	1085	2483	47028			262.627	5.5845	5.5845	93	93
159	2026-08-22T12:04:45.943757	1309	2707	61255			357.854	5.842	5.842	151	151
160	2026-08-25T14:51:53.506353	1457	2855	121978			1178.54	9.6619	9.6619	280	280
161	2026-09-01T12:45:04.670145	2013	3411	213938			2102.138	9.8259	9.8259	297	297
162	2026-09-08T08:13:18.156149	2793	4191	315868			4939.679	15.6384	15.6384	377	377
164	2026-09-08T16:00:44.339325	2829	4227	293439	293439	8.72	6529.593	22.252	22.2222	124	124
rows: 31
