index	family	segments_loaded	verified_unchanged	re_indexed	tombstoned	keymap_dropped	docs_estimate
lunaris_cwd_a4d1267fe4e2117d_chunks_idx	chunks	5	5000	17211	0	118	22211
lunaris_git_71c057fb53b456ed_chunks_idx	chunks	1	3524	13508	10146	20681	20681
lunaris_cwd_7a1d7d5ae4aab997_chunks_idx	chunks	0	0	1	0	18376	18376
lunaris_git_d8da1d131da46348_chunks_idx	chunks	2	3862	13494	4892	13774	17356
lunaris_git_23d602de8bfadbe0_chunks_idx	chunks	1	528	4468	472	10002	10002
lunaris_git_5da6a66d34734f94_chunks_idx	chunks	0	2000	7261	0	9201	9261
lunaris_git_6ecec5711de3e662_chunks_idx	chunks	0	0	0	0	9194	9194
lunaris_git_ecda8331c5af19c0_chunks_idx	chunks	0	0	8450	0	8390	8450
lunaris_cwd_9445d7f7c16fcd24_chunks_idx	chunks	2	2000	5859	0		7859
lunaris_git_7b918805e1f716ec_chunks_idx	chunks	0	0	2	0	6539	6539
lunaris_cwd_2a94bd38fff2ab4b_chunks_idx	chunks	0	0	0	0	5609	5609
lunaris_git_22cbcaf494b62672_chunks_idx	chunks	1	1000	4562	0	6	5562
lunaris_git_5fe58e193dd2b6ca_chunks_idx	chunks	0	0	0	0	5322	5322
lunaris_git_b992747cc854b738_chunks_idx	chunks	0	0	0	0	5105	5105
lunaris_git_977e8a3babd98c8e_chunks_idx	chunks	0	0	1	0	4764	4764
lunaris_git_4be7706bf8272e2b_chunks_idx	chunks	1	1000	3524	0	15	4524
lunaris_git_8aa243ac64090686_chunks_idx	chunks	0	0	0	0	4451	4451
lunaris_git_865d731c7f0c7f55_chunks_idx	chunks	0	0	1359	0	4307	4307
lunaris_git_c7a6943241865507_chunks_idx	chunks	0	0	4244	0	3160	4244
lunaris_git_1d8c773bb4fa16cf_chunks_idx	chunks	0	0	3932	0	3928	3932
lunaris_git_01690b0af63f8573_chunks_idx	chunks	0	0	0	0	3923	3923
lunaris_git_52b2010830ec370e_chunks_idx	chunks	0	0	3527	0	3512	3527
lunaris_git_ae75eeb18a575f12_chunks_idx	chunks	0	0	3410	0	3405	3410
lunaris_cwd_7a1d7d5ae4aab997_communities_idx	communities	0	0	0	0	3218	3218
lunaris_git_b166e5c237823457_chunks_idx	chunks	0	0	2818	0	2791	2818
lunaris_cwd_42c3c1a9b88bad34_chunks_idx	chunks	0	0	0	0	2809	2809
lunaris_git_3b8ecee79daecc8a_chunks_idx	chunks	0	0	0	0	2419	2419
lunaris_git_8531f2507b981384_chunks_idx	chunks	0	2000	389	0	2388	2389
lunaris_git_556eb0ffa6d1bfc0_chunks_idx	chunks	0	0	2372	0	2355	2372
lunaris_git_24d72dea0ee0c330_chunks_idx	chunks	0	0	0	0	2271	2271
lunaris_git_70ed76fc122da418_chunks_idx	chunks	0	0	2260	0	1967	2260
lunaris_git_a0213726dff322ca_chunks_idx	chunks	0	0	2232	0	2232	2232
lunaris_git_d8da1d131da46348_communities_idx	communities	0	0	1330	0	2227	2227
lunaris_git_865d731c7f0c7f55_communities_idx	communities	0	0	0	0	2123	2123
lunaris_git_53a27986f1a30f87_chunks_idx	chunks	0	0	0	0	2106	2106
lunaris_git_0318b9d9d17a29ef_chunks_idx	chunks	0	635	1434	0	2059	2069
lunaris_git_497c7c5cd62b8a3d_chunks_idx	chunks	0	0	2037	0	1989	2037
lunaris_git_8b87896039322ae4_chunks_idx	chunks	0	0	1	0	2034	2034
