elapsed_s	keys_done	delta_keys	delta_s	keys_per_s	ms_per_key	frac
10.95	96	48	10.95	4.38	228.14	0.0003
24.45	128	32	13.50	2.37	421.74	0.0004
36.31	208	80	11.87	6.74	148.32	0.0007
47.01	256	48	10.70	4.49	222.95	0.0009
57.86	272	16	10.84	1.48	677.66	0.0009
71.76	304	32	13.90	2.30	434.43	0.0010
82.40	352	48	10.64	4.51	221.69	0.0012
94.40	400	48	12.00	4.00	249.95	0.0014
108.77	512	112	14.38	7.79	128.37	0.0017
128.80	624	112	20.03	5.59	178.82	0.0021
139.95	672	48	11.15	4.30	232.33	0.0023
151.96	736	64	12.01	5.33	187.59	0.0025
162.29	800	64	10.33	6.19	161.45	0.0027
174.57	1408	608	12.28	49.51	20.20	0.0048
185.15	1888	480	10.58	45.38	22.04	0.0064
203.82	1952	64	18.68	3.43	291.80	0.0067
214.96	2480	528	11.14	47.41	21.09	0.0085
228.15	2576	96	13.19	7.28	137.38	0.0088
244.42	2672	96	16.27	5.90	169.52	0.0091
257.25	8000	5328	12.83	415.43	2.41	0.0273
273.02	9104	1104	15.77	70.00	14.29	0.0310
283.08	9264	160	10.05	15.91	62.84	0.0316
294.80	9344	80	11.72	6.83	146.52	0.0318
310.55	9408	64	15.76	4.06	246.18	0.0321
322.41	9472	64	11.86	5.40	185.30	0.0323
341.07	9536	64	18.65	3.43	291.46	0.0325
351.13	9616	80	10.07	7.95	125.86	0.0328
362.17	9680	64	11.03	5.80	172.39	0.0330
373.91	9712	32	11.74	2.72	366.99	0.0331
386.18	9776	64	12.27	5.22	191.74	0.0333
399.05	10624	848	12.87	65.88	15.18	0.0362
411.39	10720	96	12.34	7.78	128.49	0.0365
429.99	10816	96	18.60	5.16	193.76	0.0369
444.04	10832	16	14.05	1.14	877.95	0.0369
455.80	10912	80	11.76	6.80	147.05	0.0372
473.16	10944	32	17.36	1.84	542.45	0.0373
497.09	10976	32	23.93	1.34	747.92	0.0374
508.57	11024	48	11.48	4.18	239.18	0.0376
521.80	11312	288	13.23	21.78	45.92	0.0385
537.31	11344	32	15.51	2.06	484.55	0.0387
547.67	11392	48	10.37	4.63	216.00	0.0388
559.02	13344	1952	11.35	172.00	5.81	0.0455
578.00	13376	32	18.98	1.69	593.09	0.0456
594.46	13440	64	16.45	3.89	257.10	0.0458
607.06	13472	32	12.60	2.54	393.84	0.0459
624.16	13504	32	17.10	1.87	534.50	0.0460
637.87	13568	64	13.70	4.67	214.12	0.0462
650.23	13648	80	12.36	6.47	154.56	0.0465
660.25	13712	64	10.02	6.39	156.60	0.0467
670.28	14160	448	10.02	44.69	22.37	0.0483
680.51	18384	4224	10.24	412.67	2.42	0.0627
691.51	20016	1632	11.00	148.39	6.74	0.0682
701.53	21824	1808	10.02	180.47	5.54	0.0744
711.55	26896	5072	10.02	506.28	1.98	0.0917
721.57	28912	2016	10.02	201.19	4.97	0.0985
734.85	29968	1056	13.28	79.51	12.58	0.1021
744.86	31440	1472	10.01	147.08	6.80	0.1071
754.90	34016	2576	10.04	256.55	3.90	0.1159
765.40	35216	1200	10.50	114.24	8.75	0.1200
776.15	37440	2224	10.74	206.98	4.83	0.1276
790.52	38992	1552	14.37	107.97	9.26	0.1329
801.69	39072	80	11.17	7.16	139.58	0.1332
811.71	43392	4320	10.02	431.17	2.32	0.1479
821.73	47312	3920	10.02	391.09	2.56	0.1612
831.75	50592	3280	10.02	327.44	3.05	0.1724
842.05	53168	2576	10.30	249.99	4.00	0.1812
852.47	54528	1360	10.42	130.55	7.66	0.1858
862.49	57152	2624	10.02	261.98	3.82	0.1948
872.53	59264	2112	10.04	210.27	4.76	0.2020
882.55	61520	2256	10.02	225.20	4.44	0.2097
892.60	64592	3072	10.05	305.69	3.27	0.2201
902.70	67824	3232	10.10	320.07	3.12	0.2311
912.82	70128	2304	10.13	227.50	4.40	0.2390
922.86	71760	1632	10.04	162.58	6.15	0.2445
932.92	73072	1312	10.06	130.43	7.67	0.2490
943.00	74720	1648	10.08	163.42	6.12	0.2546
953.05	76928	2208	10.04	219.82	4.55	0.2622
963.10	78848	1920	10.05	190.99	5.24	0.2687
973.17	81520	2672	10.07	265.42	3.77	0.2778
983.18	84048	2528	10.01	252.61	3.96	0.2864
993.32	85536	1488	10.15	146.67	6.82	0.2915
1007.20	87008	1472	13.88	106.07	9.43	0.2965
1021.84	88656	1648	14.64	112.53	8.89	0.3021
1033.53	89008	352	11.69	30.12	33.20	0.3033
1049.94	89040	32	16.41	1.95	512.80	0.3034
1062.83	89104	64	12.89	4.96	201.47	0.3037
1090.49	89248	144	27.66	5.21	192.10	0.3041
1112.78	89280	32	22.29	1.44	696.45	0.3043
1122.79	89376	96	10.00	9.60	104.22	0.3046
1132.81	89664	288	10.02	28.74	34.79	0.3056
1143.22	89760	96	10.41	9.22	108.46	0.3059
1167.26	89872	112	24.05	4.66	214.70	0.3063
1181.54	89920	48	14.27	3.36	297.34	0.3064
1206.44	89984	64	24.90	2.57	389.13	0.3067
1223.55	90064	80	17.11	4.67	213.91	0.3069
