# moon: unknown sha256:91bc2d6ed1b5023c
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Neoverse-N1 (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-10T16:46:16Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,86430.43
1,moon-first,moon,GET,1,85106.38
1,moon-first,moon,INCR,1,79051.38
1,moon-first,moon,LPUSH,1,72886.30
1,moon-first,moon,SADD,1,71174.38
1,moon-first,moon,SPOP,1,69204.15
1,moon-first,moon,HSET,1,73421.44
1,moon-first,moon,ZADD,1,58207.21
1,moon-first,moon,SET,8,451977.41
1,moon-first,moon,GET,8,487210.72
1,moon-first,moon,INCR,8,306278.72
1,moon-first,moon,LPUSH,8,252365.92
1,moon-first,moon,SADD,8,224215.23
1,moon-first,moon,SPOP,8,196850.39
1,moon-first,moon,HSET,8,247985.11
1,moon-first,moon,ZADD,8,174901.62
1,moon-first,moon,SET,64,1158325.88
1,moon-first,moon,GET,64,1283175.38
1,moon-first,moon,INCR,64,566049.81
1,moon-first,moon,LPUSH,64,395995.75
1,moon-first,moon,SADD,64,319904.44
1,moon-first,moon,SPOP,64,255324.59
1,moon-first,moon,HSET,64,399369.53
1,moon-first,moon,ZADD,64,202187.89
1,moon-first,redis,SET,1,83333.33
1,moon-first,redis,GET,1,83472.46
1,moon-first,redis,INCR,1,80775.45
1,moon-first,redis,LPUSH,1,86580.09
1,moon-first,redis,SADD,1,84817.64
1,moon-first,redis,SPOP,1,86730.27
1,moon-first,redis,HSET,1,84889.65
1,moon-first,redis,ZADD,1,84889.65
1,moon-first,redis,SET,8,422833.00
1,moon-first,redis,GET,8,459770.12
1,moon-first,redis,INCR,8,457142.84
1,moon-first,redis,LPUSH,8,343347.66
1,moon-first,redis,SADD,8,331950.19
1,moon-first,redis,SPOP,8,277200.28
1,moon-first,redis,HSET,8,393313.69
1,moon-first,redis,ZADD,8,273224.03
1,moon-first,redis,SET,64,792828.75
1,moon-first,redis,GET,64,882891.12
1,moon-first,redis,INCR,64,928237.56
1,moon-first,redis,LPUSH,64,569056.19
1,moon-first,redis,SADD,64,463688.44
1,moon-first,redis,SPOP,64,317467.09
1,moon-first,redis,HSET,64,675994.56
1,moon-first,redis,ZADD,64,439248.03
2,redis-first,redis,SET,1,83263.95
2,redis-first,redis,GET,1,86281.27
2,redis-first,redis,INCR,1,85689.80
2,redis-first,redis,LPUSH,1,81366.97
2,redis-first,redis,SADD,1,81900.09
2,redis-first,redis,SPOP,1,86132.64
2,redis-first,redis,HSET,1,86805.56
2,redis-first,redis,ZADD,1,85984.52
2,redis-first,redis,SET,8,409416.59
2,redis-first,redis,GET,8,441014.34
2,redis-first,redis,INCR,8,451467.28
2,redis-first,redis,LPUSH,8,334728.03
2,redis-first,redis,SADD,8,323886.62
2,redis-first,redis,SPOP,8,243605.36
2,redis-first,redis,HSET,8,391389.44
2,redis-first,redis,ZADD,8,314960.62
2,redis-first,redis,SET,64,776012.44
2,redis-first,redis,GET,64,851806.94
2,redis-first,redis,INCR,64,916889.94
2,redis-first,redis,LPUSH,64,558047.62
2,redis-first,redis,SADD,64,463975.25
2,redis-first,redis,SPOP,64,310758.62
2,redis-first,redis,HSET,64,687457.38
2,redis-first,redis,ZADD,64,447103.44
2,redis-first,moon,SET,1,84602.37
2,redis-first,moon,GET,1,84175.09
2,redis-first,moon,INCR,1,87719.30
2,redis-first,moon,LPUSH,1,72833.21
2,redis-first,moon,SADD,1,78616.35
2,redis-first,moon,SPOP,1,70028.02
2,redis-first,moon,HSET,1,69881.20
2,redis-first,moon,ZADD,1,58513.75
2,redis-first,moon,SET,8,453514.72
2,redis-first,moon,GET,8,519480.53
2,redis-first,moon,INCR,8,305343.53
2,redis-first,moon,LPUSH,8,251256.28
2,redis-first,moon,SADD,8,220994.48
2,redis-first,moon,SPOP,8,200601.81
2,redis-first,moon,HSET,8,248601.62
2,redis-first,moon,ZADD,8,178412.12
2,redis-first,moon,SET,64,1115265.38
2,redis-first,moon,GET,64,1241748.38
2,redis-first,moon,INCR,64,562020.25
2,redis-first,moon,LPUSH,64,404757.69
2,redis-first,moon,SADD,64,316328.97
2,redis-first,moon,SPOP,64,254199.62
2,redis-first,moon,HSET,64,408060.94
2,redis-first,moon,ZADD,64,205286.98
3,moon-first,moon,SET,1,86655.11
3,moon-first,moon,GET,1,85836.91
3,moon-first,moon,INCR,1,72833.21
3,moon-first,moon,LPUSH,1,68259.38
3,moon-first,moon,SADD,1,69979.01
3,moon-first,moon,SPOP,1,68728.52
3,moon-first,moon,HSET,1,71530.76
3,moon-first,moon,ZADD,1,57971.02
3,moon-first,moon,SET,8,472813.22
3,moon-first,moon,GET,8,498753.12
3,moon-first,moon,INCR,8,306044.38
3,moon-first,moon,LPUSH,8,253807.11
3,moon-first,moon,SADD,8,224466.89
3,moon-first,moon,SPOP,8,198708.39
3,moon-first,moon,HSET,8,245851.27
3,moon-first,moon,ZADD,8,172786.17
3,moon-first,moon,SET,64,1086979.75
3,moon-first,moon,GET,64,1171900.00
3,moon-first,moon,INCR,64,553109.19
3,moon-first,moon,LPUSH,64,397464.78
3,moon-first,moon,SADD,64,320177.59
3,moon-first,moon,SPOP,64,253555.11
3,moon-first,moon,HSET,64,403017.75
3,moon-first,moon,ZADD,64,201807.08
3,moon-first,redis,SET,1,83125.52
3,moon-first,redis,GET,1,83402.84
3,moon-first,redis,INCR,1,85836.91
3,moon-first,redis,LPUSH,1,85106.38
3,moon-first,redis,SADD,1,84602.37
3,moon-first,redis,SPOP,1,83822.30
3,moon-first,redis,HSET,1,87108.02
3,moon-first,redis,ZADD,1,84317.03
3,moon-first,redis,SET,8,411946.44
3,moon-first,redis,GET,8,444938.81
3,moon-first,redis,INCR,8,447928.31
3,moon-first,redis,LPUSH,8,334728.03
3,moon-first,redis,SADD,8,324939.09
3,moon-first,redis,SPOP,8,273785.09
3,moon-first,redis,HSET,8,388726.91
3,moon-first,redis,ZADD,8,271370.44
3,moon-first,redis,SET,64,778024.94
3,moon-first,redis,GET,64,866569.62
3,moon-first,redis,INCR,64,931118.56
3,moon-first,redis,LPUSH,64,570788.44
3,moon-first,redis,SADD,64,468028.72
3,moon-first,redis,SPOP,64,313879.91
3,moon-first,redis,HSET,64,676299.38
3,moon-first,redis,ZADD,64,436182.62
4,redis-first,redis,SET,1,83752.09
4,redis-first,redis,GET,1,79113.92
4,redis-first,redis,INCR,1,81499.59
4,redis-first,redis,LPUSH,1,83892.62
4,redis-first,redis,SADD,1,78988.94
4,redis-first,redis,SPOP,1,82304.52
4,redis-first,redis,HSET,1,83333.33
4,redis-first,redis,ZADD,1,85106.38
4,redis-first,redis,SET,8,419287.22
4,redis-first,redis,GET,8,451977.41
4,redis-first,redis,INCR,8,458715.59
4,redis-first,redis,LPUSH,8,340715.50
4,redis-first,redis,SADD,8,329760.91
4,redis-first,redis,SPOP,8,271923.88
4,redis-first,redis,HSET,8,394088.69
4,redis-first,redis,ZADD,8,276816.59
4,redis-first,redis,SET,64,791156.12
4,redis-first,redis,GET,64,872619.00
4,redis-first,redis,INCR,64,924234.12
4,redis-first,redis,LPUSH,64,565196.69
4,redis-first,redis,SADD,64,469053.16
4,redis-first,redis,SPOP,64,319291.62
4,redis-first,redis,HSET,64,676604.44
4,redis-first,redis,ZADD,64,443534.00
4,redis-first,moon,SET,1,87489.06
4,redis-first,moon,GET,1,86132.64
4,redis-first,moon,INCR,1,81699.35
4,redis-first,moon,LPUSH,1,75585.79
4,redis-first,moon,SADD,1,70921.98
4,redis-first,moon,SPOP,1,69589.42
4,redis-first,moon,HSET,1,71022.73
4,redis-first,moon,ZADD,1,59136.61
4,redis-first,moon,SET,8,481347.78
4,redis-first,moon,GET,8,522193.22
4,redis-first,moon,INCR,8,311526.47
4,redis-first,moon,LPUSH,8,260416.67
4,redis-first,moon,SADD,8,227014.77
4,redis-first,moon,SPOP,8,202326.77
4,redis-first,moon,HSET,8,254939.45
4,redis-first,moon,ZADD,8,178412.12
4,redis-first,moon,SET,64,1146813.50
4,redis-first,moon,GET,64,1339314.25
4,redis-first,moon,INCR,64,576491.94
4,redis-first,moon,LPUSH,64,410742.62
4,redis-first,moon,SADD,64,329532.50
4,redis-first,moon,SPOP,64,257295.38
4,redis-first,moon,HSET,64,402585.06
4,redis-first,moon,ZADD,64,204894.41
5,moon-first,moon,SET,1,84745.77
5,moon-first,moon,GET,1,85470.09
5,moon-first,moon,INCR,1,76628.36
5,moon-first,moon,LPUSH,1,73260.07
5,moon-first,moon,SADD,1,74128.98
5,moon-first,moon,SPOP,1,68775.79
5,moon-first,moon,HSET,1,71633.23
5,moon-first,moon,ZADD,1,58513.75
5,moon-first,moon,SET,8,473372.75
5,moon-first,moon,GET,8,512163.88
5,moon-first,moon,INCR,8,304414.00
5,moon-first,moon,LPUSH,8,247985.11
5,moon-first,moon,SADD,8,216333.16
5,moon-first,moon,SPOP,8,199302.44
5,moon-first,moon,HSET,8,253004.44
5,moon-first,moon,ZADD,8,176522.50
5,moon-first,moon,SET,64,1146813.50
5,moon-first,moon,GET,64,1300981.75
5,moon-first,moon,INCR,64,564771.12
5,moon-first,moon,LPUSH,64,397675.50
5,moon-first,moon,SADD,64,317399.94
5,moon-first,moon,SPOP,64,257163.03
5,moon-first,moon,HSET,64,406733.19
5,moon-first,moon,ZADD,64,204754.56
5,moon-first,redis,SET,1,83892.62
5,moon-first,redis,GET,1,77639.75
5,moon-first,redis,INCR,1,81366.97
5,moon-first,redis,LPUSH,1,83612.04
5,moon-first,redis,SADD,1,84961.77
5,moon-first,redis,SPOP,1,83752.09
5,moon-first,redis,HSET,1,81168.83
5,moon-first,redis,ZADD,1,77700.08
5,moon-first,redis,SET,8,421052.62
5,moon-first,redis,GET,8,455580.84
5,moon-first,redis,INCR,8,460299.19
5,moon-first,redis,LPUSH,8,336134.44
5,moon-first,redis,SADD,8,326797.41
5,moon-first,redis,SPOP,8,250783.69
5,moon-first,redis,HSET,8,396039.59
5,moon-first,redis,ZADD,8,320512.81
5,moon-first,redis,SET,64,770037.00
5,moon-first,redis,GET,64,863576.31
5,moon-first,redis,INCR,64,902546.38
5,moon-first,redis,LPUSH,64,558255.31
5,moon-first,redis,SADD,64,463688.44
5,moon-first,redis,SPOP,64,310694.28
5,moon-first,redis,HSET,64,685885.69
5,moon-first,redis,ZADD,64,438862.50
