# moon: unknown sha256:efeda244925d38af
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Neoverse-N1 (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-10T16:18:33Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,86430.43
1,moon-first,moon,GET,1,81366.97
1,moon-first,moon,INCR,1,77279.75
1,moon-first,moon,LPUSH,1,71479.62
1,moon-first,moon,SADD,1,72254.34
1,moon-first,moon,SPOP,1,69589.42
1,moon-first,moon,HSET,1,69348.12
1,moon-first,moon,ZADD,1,57903.88
1,moon-first,moon,SET,8,470588.22
1,moon-first,moon,GET,8,496894.41
1,moon-first,moon,INCR,8,305110.59
1,moon-first,moon,LPUSH,8,247985.11
1,moon-first,moon,SADD,8,228310.50
1,moon-first,moon,SPOP,8,201816.34
1,moon-first,moon,HSET,8,245700.25
1,moon-first,moon,ZADD,8,175361.69
1,moon-first,moon,SET,64,1102154.38
1,moon-first,moon,GET,64,1265849.88
1,moon-first,moon,INCR,64,564558.50
1,moon-first,moon,LPUSH,64,405633.31
1,moon-first,moon,SADD,64,330403.53
1,moon-first,moon,SPOP,64,266010.28
1,moon-first,moon,HSET,64,411983.53
1,moon-first,moon,ZADD,64,215707.80
1,moon-first,redis,SET,1,85106.38
1,moon-first,redis,GET,1,87183.96
1,moon-first,redis,INCR,1,86580.09
1,moon-first,redis,LPUSH,1,81900.09
1,moon-first,redis,SADD,1,87796.30
1,moon-first,redis,SPOP,1,84602.37
1,moon-first,redis,HSET,1,83682.01
1,moon-first,redis,ZADD,1,85616.44
1,moon-first,redis,SET,8,410677.62
1,moon-first,redis,GET,8,454029.53
1,moon-first,redis,INCR,8,471142.53
1,moon-first,redis,LPUSH,8,335008.38
1,moon-first,redis,SADD,8,328947.38
1,moon-first,redis,SPOP,8,247678.02
1,moon-first,redis,HSET,8,390243.91
1,moon-first,redis,ZADD,8,316957.22
1,moon-first,redis,SET,64,763763.75
1,moon-first,redis,GET,64,862087.38
1,moon-first,redis,INCR,64,917450.75
1,moon-first,redis,LPUSH,64,565409.69
1,moon-first,redis,SADD,64,469640.56
1,moon-first,redis,SPOP,64,312116.50
1,moon-first,redis,HSET,64,685572.25
1,moon-first,redis,ZADD,64,442356.81
2,redis-first,redis,SET,1,85763.29
2,redis-first,redis,GET,1,80128.20
2,redis-first,redis,INCR,1,85543.20
2,redis-first,redis,LPUSH,1,82987.55
2,redis-first,redis,SADD,1,81566.07
2,redis-first,redis,SPOP,1,85910.65
2,redis-first,redis,HSET,1,85178.88
2,redis-first,redis,ZADD,1,86805.56
2,redis-first,redis,SET,8,404858.31
2,redis-first,redis,GET,8,450450.44
2,redis-first,redis,INCR,8,449438.22
2,redis-first,redis,LPUSH,8,332502.09
2,redis-first,redis,SADD,8,319233.84
2,redis-first,redis,SPOP,8,271186.44
2,redis-first,redis,HSET,8,382043.91
2,redis-first,redis,ZADD,8,276052.44
2,redis-first,redis,SET,64,787418.38
2,redis-first,redis,GET,64,849876.50
2,redis-first,redis,INCR,64,922528.88
2,redis-first,redis,LPUSH,64,577157.38
2,redis-first,redis,SADD,64,472302.25
2,redis-first,redis,SPOP,64,301756.56
2,redis-first,redis,HSET,64,675994.56
2,redis-first,redis,ZADD,64,432285.88
2,redis-first,moon,SET,1,86956.52
2,redis-first,moon,GET,1,85106.38
2,redis-first,moon,INCR,1,76103.50
2,redis-first,moon,LPUSH,1,71073.21
2,redis-first,moon,SADD,1,71073.21
2,redis-first,moon,SPOP,1,70821.53
2,redis-first,moon,HSET,1,67159.17
2,redis-first,moon,ZADD,1,57110.22
2,redis-first,moon,SET,8,464576.06
2,redis-first,moon,GET,8,522875.81
2,redis-first,moon,INCR,8,311769.28
2,redis-first,moon,LPUSH,8,252684.78
2,redis-first,moon,SADD,8,222469.41
2,redis-first,moon,SPOP,8,207468.88
2,redis-first,moon,HSET,8,242571.25
2,redis-first,moon,ZADD,8,178015.14
2,redis-first,moon,SET,64,1085406.62
2,redis-first,moon,GET,64,1220530.50
2,redis-first,moon,INCR,64,552498.00
2,redis-first,moon,LPUSH,64,409285.69
2,redis-first,moon,SADD,64,341770.78
2,redis-first,moon,SPOP,64,273379.25
2,redis-first,moon,HSET,64,417023.09
2,redis-first,moon,ZADD,64,220917.83
3,moon-first,moon,SET,1,86355.79
3,moon-first,moon,GET,1,87032.20
3,moon-first,moon,INCR,1,80192.46
