# moon: unknown sha256:5e897accdefa2dd1
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-10T16:22:40Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,131578.95
1,moon-first,moon,GET,1,131578.95
1,moon-first,moon,INCR,1,138121.55
1,moon-first,moon,LPUSH,1,137741.05
1,moon-first,moon,SADD,1,136798.91
1,moon-first,moon,SPOP,1,133511.34
1,moon-first,moon,HSET,1,134228.19
1,moon-first,moon,ZADD,1,111111.12
1,moon-first,moon,SET,8,833333.38
1,moon-first,moon,GET,8,1002506.31
1,moon-first,moon,INCR,8,537634.38
1,moon-first,moon,LPUSH,8,421940.94
1,moon-first,moon,SADD,8,378787.88
1,moon-first,moon,SPOP,8,334728.03
1,moon-first,moon,HSET,8,416233.09
1,moon-first,moon,ZADD,8,278940.03
1,moon-first,moon,SET,64,1720220.25
1,moon-first,moon,GET,64,2512616.50
1,moon-first,moon,INCR,64,866569.62
1,moon-first,moon,LPUSH,64,594778.75
1,moon-first,moon,SADD,64,483413.47
1,moon-first,moon,SPOP,64,383639.88
1,moon-first,moon,HSET,64,600252.88
1,moon-first,moon,ZADD,64,282811.47
1,moon-first,redis,SET,1,127064.80
1,moon-first,redis,GET,1,125313.29
1,moon-first,redis,INCR,1,123001.23
1,moon-first,redis,LPUSH,1,130890.05
1,moon-first,redis,SADD,1,128534.70
1,moon-first,redis,SPOP,1,132100.39
1,moon-first,redis,HSET,1,127551.02
1,moon-first,redis,ZADD,1,129701.68
1,moon-first,redis,SET,8,677966.12
1,moon-first,redis,GET,8,739371.50
1,moon-first,redis,INCR,8,710479.56
1,moon-first,redis,LPUSH,8,556328.25
1,moon-first,redis,SADD,8,509554.12
1,moon-first,redis,SPOP,8,401203.62
1,moon-first,redis,HSET,8,625978.06
1,moon-first,redis,ZADD,8,492004.91
1,moon-first,redis,SET,64,1263716.88
1,moon-first,redis,GET,64,1450707.88
1,moon-first,redis,INCR,64,1374914.75
1,moon-first,redis,LPUSH,64,858141.88
1,moon-first,redis,SADD,64,637226.81
1,moon-first,redis,SPOP,64,510736.12
1,moon-first,redis,HSET,64,1070686.62
1,moon-first,redis,ZADD,64,596671.44
2,redis-first,redis,SET,1,127551.02
2,redis-first,redis,GET,1,124688.28
2,redis-first,redis,INCR,1,123915.74
2,redis-first,redis,LPUSH,1,129870.13
2,redis-first,redis,SADD,1,128865.98
2,redis-first,redis,SPOP,1,130548.30
