# moon: unknown sha256:6403691af6c23cd9
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Neoverse-N1 (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-10T16:00:00Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,84602.37
1,moon-first,moon,GET,1,85543.20
1,moon-first,moon,INCR,1,77041.60
1,moon-first,moon,LPUSH,1,70621.47
1,moon-first,moon,SADD,1,69541.03
1,moon-first,moon,SPOP,1,66622.25
1,moon-first,moon,HSET,1,72358.90
1,moon-first,moon,ZADD,1,68681.32
1,moon-first,moon,SET,8,473933.66
1,moon-first,moon,GET,8,512163.88
1,moon-first,moon,INCR,8,299850.06
1,moon-first,moon,LPUSH,8,248601.62
1,moon-first,moon,SADD,8,210304.95
1,moon-first,moon,SPOP,8,186393.30
1,moon-first,moon,HSET,8,250000.00
1,moon-first,moon,ZADD,8,218221.50
1,moon-first,moon,SET,64,1152983.88
1,moon-first,moon,GET,64,1315817.50
1,moon-first,moon,INCR,64,547456.94
1,moon-first,moon,LPUSH,64,400542.59
1,moon-first,moon,SADD,64,298573.25
1,moon-first,moon,SPOP,64,247407.55
1,moon-first,moon,HSET,64,395057.16
1,moon-first,moon,ZADD,64,296039.47
1,moon-first,redis,SET,1,87336.24
1,moon-first,redis,GET,1,85836.91
1,moon-first,redis,INCR,1,78926.60
1,moon-first,redis,LPUSH,1,86132.64
1,moon-first,redis,SADD,1,85616.44
1,moon-first,redis,SPOP,1,82236.84
1,moon-first,redis,HSET,1,82850.04
1,moon-first,redis,ZADD,1,88573.96
1,moon-first,redis,SET,8,423728.81
1,moon-first,redis,GET,8,457665.91
1,moon-first,redis,INCR,8,456100.34
1,moon-first,redis,LPUSH,8,341588.38
1,moon-first,redis,SADD,8,327332.25
1,moon-first,redis,SPOP,8,269179.00
1,moon-first,redis,HSET,8,393313.69
1,moon-first,redis,ZADD,8,280701.75
1,moon-first,redis,SET,64,797889.38
1,moon-first,redis,GET,64,881334.88
1,moon-first,redis,INCR,64,927663.56
1,moon-first,redis,LPUSH,64,581407.75
1,moon-first,redis,SADD,64,472748.81
1,moon-first,redis,SPOP,64,320109.28
1,moon-first,redis,HSET,64,667274.06
1,moon-first,redis,ZADD,64,439505.41
2,redis-first,redis,SET,1,84674.01
2,redis-first,redis,GET,1,83472.46
2,redis-first,redis,INCR,1,84317.03
2,redis-first,redis,LPUSH,1,82850.04
2,redis-first,redis,SADD,1,82850.04
2,redis-first,redis,SPOP,1,85324.23
2,redis-first,redis,HSET,1,83125.52
2,redis-first,redis,ZADD,1,84175.09
2,redis-first,redis,SET,8,398803.59
2,redis-first,redis,GET,8,426439.22
2,redis-first,redis,INCR,8,438596.50
2,redis-first,redis,LPUSH,8,321543.41
2,redis-first,redis,SADD,8,325467.88
2,redis-first,redis,SPOP,8,275671.97
2,redis-first,redis,HSET,8,389863.53
2,redis-first,redis,ZADD,8,276816.59
2,redis-first,redis,SET,64,782489.31
2,redis-first,redis,GET,64,875164.56
2,redis-first,redis,INCR,64,949387.31
2,redis-first,redis,LPUSH,64,574724.94
2,redis-first,redis,SADD,64,477413.12
2,redis-first,redis,SPOP,64,316796.62
2,redis-first,redis,HSET,64,680595.31
2,redis-first,redis,ZADD,64,439634.25
2,redis-first,moon,SET,1,86505.19
2,redis-first,moon,GET,1,81566.07
2,redis-first,moon,INCR,1,73313.78
2,redis-first,moon,LPUSH,1,72358.90
2,redis-first,moon,SADD,1,71890.73
2,redis-first,moon,SPOP,1,67069.08
2,redis-first,moon,HSET,1,71942.45
2,redis-first,moon,ZADD,1,68166.33
2,redis-first,moon,SET,8,477326.97
2,redis-first,moon,GET,8,518134.72
2,redis-first,moon,INCR,8,298062.59
2,redis-first,moon,LPUSH,8,247524.75
2,redis-first,moon,SADD,8,216333.16
2,redis-first,moon,SPOP,8,193798.45
2,redis-first,moon,HSET,8,246305.42
2,redis-first,moon,ZADD,8,216333.16
2,redis-first,moon,SET,64,1131245.88
2,redis-first,moon,GET,64,1313513.12
2,redis-first,moon,INCR,64,553721.62
2,redis-first,moon,LPUSH,64,395995.75
2,redis-first,moon,SADD,64,293433.50
2,redis-first,moon,SPOP,64,246472.56
2,redis-first,moon,HSET,64,398520.72
2,redis-first,moon,ZADD,64,298276.41
3,moon-first,moon,SET,1,84245.99
3,moon-first,moon,GET,1,84674.01
3,moon-first,moon,INCR,1,75815.01
3,moon-first,moon,LPUSH,1,70821.53
3,moon-first,moon,SADD,1,70224.72
3,moon-first,moon,SPOP,1,65359.48
3,moon-first,moon,HSET,1,70871.72
3,moon-first,moon,ZADD,1,68493.15
3,moon-first,moon,SET,8,473372.75
3,moon-first,moon,GET,8,503778.31
3,moon-first,moon,INCR,8,292184.09
3,moon-first,moon,LPUSH,8,244648.31
3,moon-first,moon,SADD,8,215982.72
3,moon-first,moon,SPOP,8,196367.22
3,moon-first,moon,HSET,8,247831.48
3,moon-first,moon,ZADD,8,213561.12
3,moon-first,moon,SET,64,1123619.50
3,moon-first,moon,GET,64,1300981.75
3,moon-first,moon,INCR,64,544673.94
3,moon-first,moon,LPUSH,64,385711.50
3,moon-first,moon,SADD,64,292233.00
3,moon-first,moon,SPOP,64,245424.08
