# moon: unknown sha256:57d8882b1345e830
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-10T16:05:09Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,133333.33
1,moon-first,moon,GET,1,134589.50
1,moon-first,moon,INCR,1,139664.80
1,moon-first,moon,LPUSH,1,136425.66
1,moon-first,moon,SADD,1,134048.27
1,moon-first,moon,SPOP,1,127064.80
1,moon-first,moon,HSET,1,133333.33
1,moon-first,moon,ZADD,1,128205.13
1,moon-first,moon,SET,8,779727.06
1,moon-first,moon,GET,8,923787.56
1,moon-first,moon,INCR,8,511508.94
1,moon-first,moon,LPUSH,8,403632.69
1,moon-first,moon,SADD,8,345423.16
1,moon-first,moon,SPOP,8,298507.47
1,moon-first,moon,HSET,8,396039.59
1,moon-first,moon,ZADD,8,343053.16
1,moon-first,moon,SET,64,1522875.12
1,moon-first,moon,GET,64,2080488.12
1,moon-first,moon,INCR,64,809515.38
1,moon-first,moon,LPUSH,64,560969.31
1,moon-first,moon,SADD,64,426508.97
1,moon-first,moon,SPOP,64,334604.53
1,moon-first,moon,HSET,64,567978.81
1,moon-first,moon,ZADD,64,405523.66
1,moon-first,redis,SET,1,125944.58
1,moon-first,redis,GET,1,121802.68
1,moon-first,redis,INCR,1,121065.38
1,moon-first,redis,LPUSH,1,127064.80
1,moon-first,redis,SADD,1,126582.27
1,moon-first,redis,SPOP,1,132626.00
1,moon-first,redis,HSET,1,124378.11
1,moon-first,redis,ZADD,1,125156.45
1,moon-first,redis,SET,8,637958.56
1,moon-first,redis,GET,8,683760.69
1,moon-first,redis,INCR,8,689655.19
1,moon-first,redis,LPUSH,8,520156.06
1,moon-first,redis,SADD,8,489596.09
1,moon-first,redis,SPOP,8,380589.91
1,moon-first,redis,HSET,8,622084.00
1,moon-first,redis,ZADD,8,470588.22
1,moon-first,redis,SET,64,1089347.88
1,moon-first,redis,GET,64,1243807.62
1,moon-first,redis,INCR,64,1263716.88
1,moon-first,redis,LPUSH,64,776012.44
1,moon-first,redis,SADD,64,602180.69
1,moon-first,redis,SPOP,64,476654.59
1,moon-first,redis,HSET,64,952401.25
1,moon-first,redis,ZADD,64,558463.12
2,redis-first,redis,SET,1,122699.39
2,redis-first,redis,GET,1,121212.12
2,redis-first,redis,INCR,1,120192.30
2,redis-first,redis,LPUSH,1,124843.95
2,redis-first,redis,SADD,1,125628.14
2,redis-first,redis,SPOP,1,131233.59
2,redis-first,redis,HSET,1,129032.27
2,redis-first,redis,ZADD,1,126903.55
2,redis-first,redis,SET,8,638977.62
2,redis-first,redis,GET,8,680272.12
2,redis-first,redis,INCR,8,690846.31
2,redis-first,redis,LPUSH,8,519480.53
2,redis-first,redis,SADD,8,498132.03
2,redis-first,redis,SPOP,8,424628.47
2,redis-first,redis,HSET,8,585651.50
2,redis-first,redis,ZADD,8,402010.06
2,redis-first,redis,SET,64,1128692.25
2,redis-first,redis,GET,64,1298729.00
2,redis-first,redis,INCR,64,1312364.00
2,redis-first,redis,LPUSH,64,857651.25
2,redis-first,redis,SADD,64,611509.12
2,redis-first,redis,SPOP,64,480317.66
2,redis-first,redis,HSET,64,938106.31
2,redis-first,redis,ZADD,64,567119.88
2,redis-first,moon,SET,1,131233.59
2,redis-first,moon,GET,1,131406.05
2,redis-first,moon,INCR,1,137931.03
2,redis-first,moon,LPUSH,1,137362.64
2,redis-first,moon,SADD,1,134408.59
2,redis-first,moon,SPOP,1,127064.80
2,redis-first,moon,HSET,1,133333.33
2,redis-first,moon,ZADD,1,126903.55
2,redis-first,moon,SET,8,782778.88
2,redis-first,moon,GET,8,890868.62
2,redis-first,moon,INCR,8,507614.22
2,redis-first,moon,LPUSH,8,391006.84
2,redis-first,moon,SADD,8,337268.12
2,redis-first,moon,SPOP,8,293040.28
2,redis-first,moon,HSET,8,390624.97
2,redis-first,moon,ZADD,8,335852.22
2,redis-first,moon,SET,64,1489604.75
2,redis-first,moon,GET,64,2089181.12
2,redis-first,moon,INCR,64,799164.62
2,redis-first,moon,LPUSH,64,558671.12
2,redis-first,moon,SADD,64,423737.84
2,redis-first,moon,SPOP,64,329822.34
2,redis-first,moon,HSET,64,574504.75
2,redis-first,moon,ZADD,64,407174.81
3,moon-first,moon,SET,1,131578.95
3,moon-first,moon,GET,1,131578.95
3,moon-first,moon,INCR,1,137931.03
3,moon-first,moon,LPUSH,1,136239.78
3,moon-first,moon,SADD,1,136612.02
3,moon-first,moon,SPOP,1,126422.25
3,moon-first,moon,HSET,1,131233.59
3,moon-first,moon,ZADD,1,127064.80
3,moon-first,moon,SET,8,776699.06
3,moon-first,moon,GET,8,911161.69
3,moon-first,moon,INCR,8,506970.88
3,moon-first,moon,LPUSH,8,402819.75
3,moon-first,moon,SADD,8,349650.34
3,moon-first,moon,SPOP,8,297176.84
3,moon-first,moon,HSET,8,394088.69
