# moon: unknown sha256:de2b6d712ddc81d6
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Neoverse-N1 (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-10T16:54:17Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,83752.09
1,moon-first,moon,GET,1,84175.09
1,moon-first,moon,INCR,1,76511.09
1,moon-first,moon,LPUSH,1,77459.34
1,moon-first,moon,SADD,1,72463.77
1,moon-first,moon,SPOP,1,66401.06
1,moon-first,moon,HSET,1,71326.68
1,moon-first,moon,ZADD,1,58616.65
1,moon-first,moon,SET,8,469483.56
1,moon-first,moon,GET,8,498132.03
1,moon-first,moon,INCR,8,299177.25
1,moon-first,moon,LPUSH,8,249221.19
1,moon-first,moon,SADD,8,221361.38
1,moon-first,moon,SPOP,8,191662.69
1,moon-first,moon,HSET,8,248447.20
1,moon-first,moon,ZADD,8,176522.50
1,moon-first,moon,SET,64,1103776.38
1,moon-first,moon,GET,64,1252113.62
1,moon-first,moon,INCR,64,555156.19
1,moon-first,moon,LPUSH,64,397043.94
1,moon-first,moon,SADD,64,311403.78
1,moon-first,moon,SPOP,64,249050.66
1,moon-first,moon,HSET,64,410967.66
1,moon-first,moon,ZADD,64,206445.38
1,moon-first,redis,SET,1,83682.01
1,moon-first,redis,GET,1,83542.19
1,moon-first,redis,INCR,1,82169.27
1,moon-first,redis,LPUSH,1,84530.86
1,moon-first,redis,SADD,1,84817.64
1,moon-first,redis,SPOP,1,83963.05
1,moon-first,redis,HSET,1,83752.09
1,moon-first,redis,ZADD,1,84674.01
1,moon-first,redis,SET,8,414507.78
1,moon-first,redis,GET,8,442477.88
1,moon-first,redis,INCR,8,454029.53
1,moon-first,redis,LPUSH,8,336417.16
1,moon-first,redis,SADD,8,318471.31
1,moon-first,redis,SPOP,8,260586.33
1,moon-first,redis,HSET,8,384615.41
1,moon-first,redis,ZADD,8,263678.31
1,moon-first,redis,SET,64,785357.06
1,moon-first,redis,GET,64,865070.38
1,moon-first,redis,INCR,64,920830.00
1,moon-first,redis,LPUSH,64,565196.69
1,moon-first,redis,SADD,64,463258.81
1,moon-first,redis,SPOP,64,312181.50
1,moon-first,redis,HSET,64,654749.94
1,moon-first,redis,ZADD,64,434791.88
2,redis-first,redis,SET,1,84388.19
2,redis-first,redis,GET,1,84175.09
2,redis-first,redis,INCR,1,82440.23
2,redis-first,redis,LPUSH,1,82644.62
2,redis-first,redis,SADD,1,84674.01
2,redis-first,redis,SPOP,1,85763.29
2,redis-first,redis,HSET,1,83333.33
2,redis-first,redis,ZADD,1,86430.43
2,redis-first,redis,SET,8,421940.94
2,redis-first,redis,GET,8,452488.69
2,redis-first,redis,INCR,8,458190.12
2,redis-first,redis,LPUSH,8,347222.25
2,redis-first,redis,SADD,8,327868.84
2,redis-first,redis,SPOP,8,273785.09
2,redis-first,redis,HSET,8,387596.91
2,redis-first,redis,ZADD,8,278745.66
2,redis-first,redis,SET,64,788660.38
2,redis-first,redis,GET,64,869080.00
2,redis-first,redis,INCR,64,927090.19
2,redis-first,redis,LPUSH,64,563286.50
2,redis-first,redis,SADD,64,465559.28
2,redis-first,redis,SPOP,64,313617.41
2,redis-first,redis,HSET,64,667868.19
2,redis-first,redis,ZADD,64,438349.50
2,redis-first,moon,SET,1,85543.20
2,redis-first,moon,GET,1,87183.96
2,redis-first,moon,INCR,1,76687.12
2,redis-first,moon,LPUSH,1,72046.11
2,redis-first,moon,SADD,1,72568.94
2,redis-first,moon,SPOP,1,66979.23
2,redis-first,moon,HSET,1,68073.52
2,redis-first,moon,ZADD,1,54555.38
2,redis-first,moon,SET,8,485436.91
2,redis-first,moon,GET,8,522193.22
2,redis-first,moon,INCR,8,305576.78
2,redis-first,moon,LPUSH,8,252844.50
2,redis-first,moon,SADD,8,223089.80
2,redis-first,moon,SPOP,8,196174.59
2,redis-first,moon,HSET,8,250783.69
2,redis-first,moon,ZADD,8,174748.80
2,redis-first,moon,SET,64,1130393.38
2,redis-first,moon,GET,64,1313513.12
2,redis-first,moon,INCR,64,568624.69
2,redis-first,moon,LPUSH,64,404212.34
2,redis-first,moon,SADD,64,316062.38
2,redis-first,moon,SPOP,64,250380.89
2,redis-first,moon,HSET,64,409509.12
2,redis-first,moon,ZADD,64,207244.00
3,moon-first,moon,SET,1,88731.15
3,moon-first,moon,GET,1,87108.02
3,moon-first,moon,INCR,1,73367.57
3,moon-first,moon,LPUSH,1,67294.75
3,moon-first,moon,SADD,1,72254.34
3,moon-first,moon,SPOP,1,67069.08
3,moon-first,moon,HSET,1,71225.07
3,moon-first,moon,ZADD,1,57636.89
3,moon-first,moon,SET,8,447928.31
3,moon-first,moon,GET,8,500625.78
