# moon: unknown sha256:91bc2d6ed1b5023c
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Neoverse-N1 (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-11T06:23:33Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,85470.09
1,moon-first,moon,GET,1,88339.23
1,moon-first,moon,INCR,1,80256.82
1,moon-first,moon,LPUSH,1,74239.05
1,moon-first,moon,SADD,1,73855.24
1,moon-first,moon,SPOP,1,72358.90
1,moon-first,moon,HSET,1,74183.98
1,moon-first,moon,ZADD,1,59880.24
1,moon-first,moon,SET,8,483675.94
1,moon-first,moon,GET,8,522193.22
1,moon-first,moon,INCR,8,313234.16
1,moon-first,moon,LPUSH,8,256410.27
1,moon-first,moon,SADD,8,231481.47
1,moon-first,moon,SPOP,8,211752.25
1,moon-first,moon,HSET,8,261267.14
1,moon-first,moon,ZADD,8,185013.88
1,moon-first,moon,SET,64,1214600.75
1,moon-first,moon,GET,64,1382517.88
1,moon-first,moon,INCR,64,601697.56
1,moon-first,moon,LPUSH,64,419354.78
1,moon-first,moon,SADD,64,339527.38
1,moon-first,moon,SPOP,64,268774.78
1,moon-first,moon,HSET,64,428703.06
1,moon-first,moon,ZADD,64,211958.73
1,moon-first,redis,SET,1,82508.25
1,moon-first,redis,GET,1,79365.08
1,moon-first,redis,INCR,1,85984.52
1,moon-first,redis,LPUSH,1,86655.11
1,moon-first,redis,SADD,1,85324.23
1,moon-first,redis,SPOP,1,87642.41
1,moon-first,redis,HSET,1,82712.98
1,moon-first,redis,ZADD,1,87412.59
1,moon-first,redis,SET,8,417536.53
1,moon-first,redis,GET,8,447427.28
1,moon-first,redis,INCR,8,454545.47
1,moon-first,redis,LPUSH,8,330305.53
1,moon-first,redis,SADD,8,327332.25
1,moon-first,redis,SPOP,8,279916.03
1,moon-first,redis,HSET,8,380589.91
1,moon-first,redis,ZADD,8,277777.78
1,moon-first,redis,SET,64,798739.06
1,moon-first,redis,GET,64,887068.00
1,moon-first,redis,INCR,64,939281.12
1,moon-first,redis,LPUSH,64,588017.25
1,moon-first,redis,SADD,64,485761.66
1,moon-first,redis,SPOP,64,322241.03
1,moon-first,redis,HSET,64,683385.88
1,moon-first,redis,ZADD,64,443665.19
2,redis-first,redis,SET,1,84817.64
2,redis-first,redis,GET,1,81300.81
2,redis-first,redis,INCR,1,81566.07
2,redis-first,redis,LPUSH,1,83892.62
2,redis-first,redis,SADD,1,85106.38
2,redis-first,redis,SPOP,1,87260.03
2,redis-first,redis,HSET,1,85984.52
2,redis-first,redis,ZADD,1,86655.11
2,redis-first,redis,SET,8,426439.22
2,redis-first,redis,GET,8,460299.19
2,redis-first,redis,INCR,8,473372.75
2,redis-first,redis,LPUSH,8,342172.78
2,redis-first,redis,SADD,8,334728.03
2,redis-first,redis,SPOP,8,282885.44
2,redis-first,redis,HSET,8,396432.12
2,redis-first,redis,ZADD,8,284495.03
2,redis-first,redis,SET,64,800871.31
2,redis-first,redis,GET,64,884974.62
2,redis-first,redis,INCR,64,947588.19
2,redis-first,redis,LPUSH,64,586408.12
2,redis-first,redis,SADD,64,478326.53
2,redis-first,redis,SPOP,64,320519.66
2,redis-first,redis,HSET,64,684633.50
2,redis-first,redis,ZADD,64,446837.03
2,redis-first,moon,SET,1,84530.86
2,redis-first,moon,GET,1,85470.09
2,redis-first,moon,INCR,1,79554.50
2,redis-first,moon,LPUSH,1,71581.96
2,redis-first,moon,SADD,1,71684.59
2,redis-first,moon,SPOP,1,71022.73
2,redis-first,moon,HSET,1,74404.77
2,redis-first,moon,ZADD,1,60060.06
2,redis-first,moon,SET,8,483675.94
2,redis-first,moon,GET,8,517464.44
2,redis-first,moon,INCR,8,310800.31
2,redis-first,moon,LPUSH,8,255427.84
2,redis-first,moon,SADD,8,229621.12
2,redis-first,moon,SPOP,8,209533.78
2,redis-first,moon,HSET,8,257234.73
2,redis-first,moon,ZADD,8,182398.53
2,redis-first,moon,SET,64,1194293.00
2,redis-first,moon,GET,64,1363665.38
2,redis-first,moon,INCR,64,596671.44
2,redis-first,moon,LPUSH,64,427359.53
2,redis-first,moon,SADD,64,340606.75
2,redis-first,moon,SPOP,64,270422.22
2,redis-first,moon,HSET,64,420648.34
2,redis-first,moon,ZADD,64,211093.72
3,moon-first,moon,SET,1,83472.46
3,moon-first,moon,GET,1,87260.03
3,moon-first,moon,INCR,1,79491.26
3,moon-first,moon,LPUSH,1,74183.98
