# moon: unknown sha256:baa07490ac976bb9
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Neoverse-N1 (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-11T06:39:11Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,85178.88
1,moon-first,moon,GET,1,87642.41
1,moon-first,moon,INCR,1,76923.08
1,moon-first,moon,LPUSH,1,71839.09
1,moon-first,moon,SADD,1,71684.59
1,moon-first,moon,SPOP,1,70721.36
1,moon-first,moon,HSET,1,72568.94
1,moon-first,moon,ZADD,1,60277.27
1,moon-first,moon,SET,8,480192.06
1,moon-first,moon,GET,8,493218.25
1,moon-first,moon,INCR,8,314218.38
1,moon-first,moon,LPUSH,8,249687.89
1,moon-first,moon,SADD,8,235432.61
1,moon-first,moon,SPOP,8,211193.23
1,moon-first,moon,HSET,8,254129.61
1,moon-first,moon,ZADD,8,176678.45
1,moon-first,moon,SET,64,1123619.50
1,moon-first,moon,GET,64,1372398.88
1,moon-first,moon,INCR,64,593836.88
1,moon-first,moon,LPUSH,64,420766.34
1,moon-first,moon,SADD,64,361976.84
1,moon-first,moon,SPOP,64,278505.75
1,moon-first,moon,HSET,64,423020.88
1,moon-first,moon,ZADD,64,222391.70
1,moon-first,redis,SET,1,82101.80
1,moon-first,redis,GET,1,86505.19
1,moon-first,redis,INCR,1,80064.05
1,moon-first,redis,LPUSH,1,85324.23
1,moon-first,redis,SADD,1,85689.80
1,moon-first,redis,SPOP,1,85251.49
1,moon-first,redis,HSET,1,87260.03
1,moon-first,redis,ZADD,1,85397.09
1,moon-first,redis,SET,8,412796.72
1,moon-first,redis,GET,8,428265.53
1,moon-first,redis,INCR,8,451977.41
1,moon-first,redis,LPUSH,8,338409.47
1,moon-first,redis,SADD,8,330033.00
1,moon-first,redis,SPOP,8,258732.22
1,moon-first,redis,HSET,8,398009.94
1,moon-first,redis,ZADD,8,324939.09
1,moon-first,redis,SET,64,782081.31
1,moon-first,redis,GET,64,876186.94
1,moon-first,redis,INCR,64,927090.19
1,moon-first,redis,LPUSH,64,572749.94
1,moon-first,redis,SADD,64,478021.66
1,moon-first,redis,SPOP,64,324682.25
1,moon-first,redis,HSET,64,707228.62
1,moon-first,redis,ZADD,64,449784.69
2,redis-first,redis,SET,1,83612.04
2,redis-first,redis,GET,1,81766.15
2,redis-first,redis,INCR,1,84602.37
2,redis-first,redis,LPUSH,1,87183.96
2,redis-first,redis,SADD,1,84602.37
2,redis-first,redis,SPOP,1,86355.79
2,redis-first,redis,HSET,1,81234.77
2,redis-first,redis,ZADD,1,84175.09
2,redis-first,redis,SET,8,424628.47
2,redis-first,redis,GET,8,457665.91
2,redis-first,redis,INCR,8,465116.28
2,redis-first,redis,LPUSH,8,345721.72
2,redis-first,redis,SADD,8,331125.84
2,redis-first,redis,SPOP,8,277392.50
2,redis-first,redis,HSET,8,393700.78
2,redis-first,redis,ZADD,8,281491.91
2,redis-first,redis,SET,64,796618.12
2,redis-first,redis,GET,64,877211.69
2,redis-first,redis,INCR,64,937520.00
2,redis-first,redis,LPUSH,64,578716.06
2,redis-first,redis,SADD,64,473345.56
2,redis-first,redis,SPOP,64,320314.31
2,redis-first,redis,HSET,64,674778.19
2,redis-first,redis,ZADD,64,443271.84
2,redis-first,moon,SET,1,86281.27
2,redis-first,moon,GET,1,82101.80
2,redis-first,moon,INCR,1,80192.46
2,redis-first,moon,LPUSH,1,72992.70
2,redis-first,moon,SADD,1,73206.44
2,redis-first,moon,SPOP,1,71326.68
2,redis-first,moon,HSET,1,72150.07
2,redis-first,moon,ZADD,1,60864.27
2,redis-first,moon,SET,8,492004.91
2,redis-first,moon,GET,8,528401.56
2,redis-first,moon,INCR,8,304414.00
2,redis-first,moon,LPUSH,8,246913.58
2,redis-first,moon,SADD,8,231481.47
2,redis-first,moon,SPOP,8,216450.20
2,redis-first,moon,HSET,8,256410.27
2,redis-first,moon,ZADD,8,190566.94
2,redis-first,moon,SET,64,1194293.00
2,redis-first,moon,GET,64,1374914.75
2,redis-first,moon,INCR,64,593367.06
2,redis-first,moon,LPUSH,64,419354.78
2,redis-first,moon,SADD,64,358601.94
2,redis-first,moon,SPOP,64,285122.97
2,redis-first,moon,HSET,64,423857.59
2,redis-first,moon,ZADD,64,229467.95
3,moon-first,moon,SET,1,85324.23
3,moon-first,moon,GET,1,84245.99
3,moon-first,moon,INCR,1,76569.68
3,moon-first,moon,LPUSH,1,72411.30
3,moon-first,moon,SADD,1,71994.23
3,moon-first,moon,SPOP,1,72046.11
3,moon-first,moon,HSET,1,70621.47
3,moon-first,moon,ZADD,1,59101.65
3,moon-first,moon,SET,8,498753.12
