# moon: unknown sha256:b559c24b7f15105b
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Neoverse-N1 (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-11T06:31:20Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,89686.10
1,moon-first,moon,GET,1,87565.68
1,moon-first,moon,INCR,1,78003.12
1,moon-first,moon,LPUSH,1,74183.98
1,moon-first,moon,SADD,1,75414.78
1,moon-first,moon,SPOP,1,71073.21
1,moon-first,moon,HSET,1,73583.52
1,moon-first,moon,ZADD,1,59488.40
1,moon-first,moon,SET,8,493218.25
1,moon-first,moon,GET,8,538358.00
1,moon-first,moon,INCR,8,317208.56
1,moon-first,moon,LPUSH,8,260078.03
1,moon-first,moon,SADD,8,235155.80
1,moon-first,moon,SPOP,8,207253.89
1,moon-first,moon,HSET,8,257234.73
1,moon-first,moon,ZADD,8,183402.11
1,moon-first,moon,SET,64,1186734.12
1,moon-first,moon,GET,64,1357495.00
1,moon-first,moon,INCR,64,608779.25
1,moon-first,moon,LPUSH,64,407174.81
1,moon-first,moon,SADD,64,330185.31
1,moon-first,moon,SPOP,64,271597.34
1,moon-first,moon,HSET,64,421120.72
1,moon-first,moon,ZADD,64,211659.66
1,moon-first,redis,SET,1,86730.27
1,moon-first,redis,GET,1,87183.96
1,moon-first,redis,INCR,1,87489.06
1,moon-first,redis,LPUSH,1,87565.68
1,moon-first,redis,SADD,1,81103.00
1,moon-first,redis,SPOP,1,85910.65
1,moon-first,redis,HSET,1,85836.91
1,moon-first,redis,ZADD,1,88417.33
1,moon-first,redis,SET,8,411099.69
1,moon-first,redis,GET,8,441014.34
1,moon-first,redis,INCR,8,460829.50
1,moon-first,redis,LPUSH,8,347523.88
1,moon-first,redis,SADD,8,330305.53
1,moon-first,redis,SPOP,8,274914.09
1,moon-first,redis,HSET,8,380228.12
1,moon-first,redis,ZADD,8,276816.59
1,moon-first,redis,SET,64,805170.12
1,moon-first,redis,GET,64,886543.69
1,moon-first,redis,INCR,64,953006.38
1,moon-first,redis,LPUSH,64,573406.75
1,moon-first,redis,SADD,64,472748.81
1,moon-first,redis,SPOP,64,319087.84
1,moon-first,redis,HSET,64,677827.38
1,moon-first,redis,ZADD,64,449784.69
2,redis-first,redis,SET,1,87873.46
2,redis-first,redis,GET,1,87796.30
2,redis-first,redis,INCR,1,84817.64
2,redis-first,redis,LPUSH,1,82372.32
2,redis-first,redis,SADD,1,85984.52
2,redis-first,redis,SPOP,1,85106.38
2,redis-first,redis,HSET,1,87183.96
2,redis-first,redis,ZADD,1,84889.65
2,redis-first,redis,SET,8,411946.44
2,redis-first,redis,GET,8,443458.97
2,redis-first,redis,INCR,8,456621.00
2,redis-first,redis,LPUSH,8,337268.12
2,redis-first,redis,SADD,8,323101.78
2,redis-first,redis,SPOP,8,246457.17
2,redis-first,redis,HSET,8,392156.88
2,redis-first,redis,ZADD,8,314465.41
2,redis-first,redis,SET,64,771621.38
2,redis-first,redis,GET,64,854232.31
2,redis-first,redis,INCR,64,908009.69
2,redis-first,redis,LPUSH,64,572968.69
2,redis-first,redis,SADD,64,468174.78
2,redis-first,redis,SPOP,64,321826.22
2,redis-first,redis,HSET,64,700295.06
2,redis-first,redis,ZADD,64,443665.19
2,redis-first,moon,SET,1,84530.86
2,redis-first,moon,GET,1,86880.97
2,redis-first,moon,INCR,1,78678.20
2,redis-first,moon,LPUSH,1,72727.27
2,redis-first,moon,SADD,1,72254.34
2,redis-first,moon,SPOP,1,69492.70
2,redis-first,moon,HSET,1,72939.46
2,redis-first,moon,ZADD,1,60386.47
2,redis-first,moon,SET,8,494437.56
2,redis-first,moon,GET,8,524246.38
2,redis-first,moon,INCR,8,307929.16
2,redis-first,moon,LPUSH,8,264550.28
2,redis-first,moon,SADD,8,229226.36
2,redis-first,moon,SPOP,8,203873.59
2,redis-first,moon,HSET,8,252206.81
2,redis-first,moon,ZADD,8,177619.89
2,redis-first,moon,SET,64,1176495.75
2,redis-first,moon,GET,64,1292017.25
2,redis-first,moon,INCR,64,579162.94
2,redis-first,moon,LPUSH,64,413916.09
2,redis-first,moon,SADD,64,333414.53
2,redis-first,moon,SPOP,64,261466.27
2,redis-first,moon,HSET,64,412209.97
2,redis-first,moon,ZADD,64,200244.56
3,moon-first,moon,SET,1,87873.46
3,moon-first,moon,GET,1,83682.01
3,moon-first,moon,INCR,1,78616.35
3,moon-first,moon,LPUSH,1,73367.57
3,moon-first,moon,SADD,1,71530.76
3,moon-first,moon,SPOP,1,69881.20
3,moon-first,moon,HSET,1,72621.64
3,moon-first,moon,ZADD,1,59453.03
3,moon-first,moon,SET,8,482509.06
3,moon-first,moon,GET,8,523560.22
3,moon-first,moon,INCR,8,311042.00
3,moon-first,moon,LPUSH,8,258397.94
3,moon-first,moon,SADD,8,232153.22
3,moon-first,moon,SPOP,8,209424.09
3,moon-first,moon,HSET,8,251098.55
3,moon-first,moon,ZADD,8,179533.22
3,moon-first,moon,SET,64,1147690.88
3,moon-first,moon,GET,64,1308928.38
3,moon-first,moon,INCR,64,586637.50
3,moon-first,moon,LPUSH,64,411192.97
3,moon-first,moon,SADD,64,330330.78
3,moon-first,moon,SPOP,64,265023.34
3,moon-first,moon,HSET,64,428213.53
3,moon-first,moon,ZADD,64,215058.36
3,moon-first,redis,SET,1,84530.86
3,moon-first,redis,GET,1,85178.88
3,moon-first,redis,INCR,1,87873.46
3,moon-first,redis,LPUSH,1,86805.56
3,moon-first,redis,SADD,1,85543.20
3,moon-first,redis,SPOP,1,85616.44
3,moon-first,redis,HSET,1,86505.19
3,moon-first,redis,ZADD,1,87950.75
3,moon-first,redis,SET,8,414507.78
3,moon-first,redis,GET,8,439560.44
3,moon-first,redis,INCR,8,454029.53
3,moon-first,redis,LPUSH,8,346921.06
3,moon-first,redis,SADD,8,324675.31
3,moon-first,redis,SPOP,8,272851.31
3,moon-first,redis,HSET,8,384615.41
3,moon-first,redis,ZADD,8,271186.44
3,moon-first,redis,SET,64,796195.38
3,moon-first,redis,GET,64,886020.12
3,moon-first,redis,INCR,64,935182.06
3,moon-first,redis,LPUSH,64,582310.56
3,moon-first,redis,SADD,64,471708.16
3,moon-first,redis,SPOP,64,316062.38
3,moon-first,redis,HSET,64,675994.56
3,moon-first,redis,ZADD,64,441575.50
4,redis-first,redis,SET,1,81632.65
4,redis-first,redis,GET,1,83333.33
