# moon: unknown sha256:efeda244925d38af
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Neoverse-N1 (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-11T06:46:55Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,84602.37
1,moon-first,moon,GET,1,87412.59
1,moon-first,moon,INCR,1,75642.96
1,moon-first,moon,LPUSH,1,70126.23
1,moon-first,moon,SADD,1,70721.36
1,moon-first,moon,SPOP,1,69881.20
1,moon-first,moon,HSET,1,70771.41
1,moon-first,moon,ZADD,1,59665.87
1,moon-first,moon,SET,8,479041.94
1,moon-first,moon,GET,8,520833.34
1,moon-first,moon,INCR,8,322580.66
1,moon-first,moon,LPUSH,8,253164.55
1,moon-first,moon,SADD,8,233372.23
1,moon-first,moon,SPOP,8,211081.80
1,moon-first,moon,HSET,8,253164.55
1,moon-first,moon,ZADD,8,188590.28
1,moon-first,moon,SET,64,1170071.75
1,moon-first,moon,GET,64,1347737.62
1,moon-first,moon,INCR,64,598576.19
1,moon-first,moon,LPUSH,64,411983.53
1,moon-first,moon,SADD,64,349332.09
1,moon-first,moon,SPOP,64,274228.91
1,moon-first,moon,HSET,64,422663.28
1,moon-first,moon,ZADD,64,224287.08
1,moon-first,redis,SET,1,84388.19
1,moon-first,redis,GET,1,86281.27
1,moon-first,redis,INCR,1,86206.90
1,moon-first,redis,LPUSH,1,83333.33
1,moon-first,redis,SADD,1,84459.46
1,moon-first,redis,SPOP,1,84602.37
1,moon-first,redis,HSET,1,85106.38
1,moon-first,redis,ZADD,1,85543.20
1,moon-first,redis,SET,8,416233.09
1,moon-first,redis,GET,8,451977.41
1,moon-first,redis,INCR,8,455580.84
1,moon-first,redis,LPUSH,8,341005.97
1,moon-first,redis,SADD,8,330305.53
1,moon-first,redis,SPOP,8,277200.28
1,moon-first,redis,HSET,8,390624.97
1,moon-first,redis,ZADD,8,277392.50
1,moon-first,redis,SET,64,799164.62
1,moon-first,redis,GET,64,850358.25
1,moon-first,redis,INCR,64,911873.56
1,moon-first,redis,LPUSH,64,578492.88
1,moon-first,redis,SADD,64,477565.09
1,moon-first,redis,SPOP,64,323771.22
1,moon-first,redis,HSET,64,682142.81
1,moon-first,redis,ZADD,64,447103.44
2,redis-first,redis,SET,1,84175.09
2,redis-first,redis,GET,1,84602.37
2,redis-first,redis,INCR,1,83612.04
2,redis-first,redis,LPUSH,1,85178.88
2,redis-first,redis,SADD,1,84459.46
2,redis-first,redis,SPOP,1,84889.65
2,redis-first,redis,HSET,1,85763.29
2,redis-first,redis,ZADD,1,86956.52
2,redis-first,redis,SET,8,412796.72
2,redis-first,redis,GET,8,448430.47
2,redis-first,redis,INCR,8,451467.28
2,redis-first,redis,LPUSH,8,333055.78
2,redis-first,redis,SADD,8,323886.62
2,redis-first,redis,SPOP,8,268456.38
2,redis-first,redis,HSET,8,382043.91
2,redis-first,redis,ZADD,8,263504.62
2,redis-first,redis,SET,64,753784.94
2,redis-first,redis,GET,64,847475.69
