# moon: sha256:08ebc35c2c274772 (/home/tindang/moon-5bf716a9)
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 keys: 200000 elems: 4 elemsz: 8 reps: 3 types: hash list set zset
# date: 2026-09-11T07:40:14Z
engine,rep,order,type,phase,elems,idle_rss_kb,loaded_rss_kb,dbsize,per_key_bytes,floor_bytes
moon,1,moon-first,hash,untouched,4,15028,54840,200000,203.8,73
moon,1,moon-first,hash,touched,4,15028,54912,200000,204.2,73
redis,1,moon-first,hash,untouched,4,13480,46464,200000,168.9,73
redis,1,moon-first,hash,touched,4,13480,46428,200000,168.7,73
moon,1,moon-first,list,untouched,4,15004,57312,200000,216.6,73
moon,1,moon-first,list,touched,4,15004,57376,200000,216.9,73
redis,1,moon-first,list,untouched,4,13488,61256,200000,244.6,73
redis,1,moon-first,list,touched,4,13488,61216,200000,244.4,73
moon,1,moon-first,set,untouched,4,15188,57764,200000,218.0,72
moon,1,moon-first,set,touched,3,15188,57800,200000,218.2,64
redis,1,moon-first,set,untouched,4,13488,91676,200000,400.3,72
redis,1,moon-first,set,touched,3,13488,91644,200000,400.2,64
moon,1,moon-first,zset,untouched,4,15080,57528,200000,217.3,73
moon,1,moon-first,zset,touched,4,15080,57648,200000,217.9,73
redis,1,moon-first,zset,untouched,4,13396,46392,200000,168.9,73
redis,1,moon-first,zset,touched,4,13396,46356,200000,168.8,73
redis,2,redis-first,hash,untouched,4,13556,46484,200000,168.6,73
redis,2,redis-first,hash,touched,4,13556,46448,200000,168.4,73
moon,2,redis-first,hash,untouched,4,14732,54416,200000,203.2,73
moon,2,redis-first,hash,touched,4,14732,54560,200000,203.9,73
redis,2,redis-first,list,untouched,4,13492,61256,200000,244.6,73
redis,2,redis-first,list,touched,4,13492,61220,200000,244.4,73
moon,2,redis-first,list,untouched,4,14880,57284,200000,217.1,73
moon,2,redis-first,list,touched,4,14880,57324,200000,217.3,73
redis,2,redis-first,set,untouched,4,13412,91608,200000,400.4,72
redis,2,redis-first,set,touched,3,13412,91576,200000,400.2,64
moon,2,redis-first,set,untouched,4,14884,57376,200000,217.6,72
moon,2,redis-first,set,touched,3,14884,57516,200000,218.3,64
redis,2,redis-first,zset,untouched,4,13528,46516,200000,168.9,73
redis,2,redis-first,zset,touched,4,13528,46480,200000,168.7,73
moon,2,redis-first,zset,untouched,4,15208,57680,200000,217.5,73
moon,2,redis-first,zset,touched,4,15208,57736,200000,217.7,73
moon,3,moon-first,hash,untouched,4,14704,54328,200000,202.9,73
moon,3,moon-first,hash,touched,4,14704,54472,200000,203.6,73
redis,3,moon-first,hash,untouched,4,13496,46420,200000,168.6,73
redis,3,moon-first,hash,touched,4,13496,46384,200000,168.4,73
moon,3,moon-first,list,untouched,4,14988,57508,200000,217.7,73
moon,3,moon-first,list,touched,4,14988,57568,200000,218.0,73
redis,3,moon-first,list,untouched,4,13544,61248,200000,244.2,73
redis,3,moon-first,list,touched,4,13544,61212,200000,244.1,73
moon,3,moon-first,set,untouched,4,14936,57424,200000,217.5,72
moon,3,moon-first,set,touched,3,14936,57688,200000,218.9,64
redis,3,moon-first,set,untouched,4,13452,91640,200000,400.3,72
redis,3,moon-first,set,touched,3,13452,91608,200000,400.2,64
moon,3,moon-first,zset,untouched,4,14904,57360,200000,217.4,73
moon,3,moon-first,zset,touched,4,14904,57620,200000,218.7,73
redis,3,moon-first,zset,untouched,4,13364,46348,200000,168.9,73
redis,3,moon-first,zset,touched,4,13364,46308,200000,168.7,73
