# moon: unknown sha256:8a9ca343d48a8e62
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Neoverse-N1 (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-11T04:39:51Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,84033.61
1,moon-first,moon,GET,1,86355.79
1,moon-first,moon,INCR,1,79617.83
1,moon-first,moon,LPUSH,1,71942.45
1,moon-first,moon,SADD,1,73746.31
1,moon-first,moon,SPOP,1,69492.70
1,moon-first,moon,HSET,1,72516.32
1,moon-first,moon,ZADD,1,70372.98
1,moon-first,moon,SET,8,467289.72
1,moon-first,moon,GET,8,514800.50
1,moon-first,moon,INCR,8,319233.84
1,moon-first,moon,LPUSH,8,246305.42
1,moon-first,moon,SADD,8,220628.80
1,moon-first,moon,SPOP,8,197530.86
1,moon-first,moon,HSET,8,257898.12
1,moon-first,moon,ZADD,8,224971.88
1,moon-first,moon,SET,64,1136387.88
1,moon-first,moon,GET,64,1266918.88
1,moon-first,moon,INCR,64,580283.19
1,moon-first,moon,LPUSH,64,411983.53
1,moon-first,moon,SADD,64,309284.97
1,moon-first,moon,SPOP,64,253469.41
1,moon-first,moon,HSET,64,424817.91
1,moon-first,moon,ZADD,64,311145.41
1,moon-first,redis,SET,1,84033.61
1,moon-first,redis,GET,1,85034.02
1,moon-first,redis,INCR,1,86430.43
1,moon-first,redis,LPUSH,1,86580.09
1,moon-first,redis,SADD,1,85324.23
1,moon-first,redis,SPOP,1,87108.02
1,moon-first,redis,HSET,1,84388.19
1,moon-first,redis,ZADD,1,87873.46
1,moon-first,redis,SET,8,413223.16
1,moon-first,redis,GET,8,442477.88
1,moon-first,redis,INCR,8,455580.84
1,moon-first,redis,LPUSH,8,341005.97
1,moon-first,redis,SADD,8,326797.41
1,moon-first,redis,SPOP,8,276434.00
1,moon-first,redis,HSET,8,387596.91
1,moon-first,redis,ZADD,8,272479.56
1,moon-first,redis,SET,64,760279.75
1,moon-first,redis,GET,64,862583.12
1,moon-first,redis,INCR,64,913539.62
1,moon-first,redis,LPUSH,64,567549.00
1,moon-first,redis,SADD,64,465414.81
1,moon-first,redis,SPOP,64,315862.69
1,moon-first,redis,HSET,64,673263.94
1,moon-first,redis,ZADD,64,440150.25
2,redis-first,redis,SET,1,81037.28
2,redis-first,redis,GET,1,82644.62
2,redis-first,redis,INCR,1,85178.88
2,redis-first,redis,LPUSH,1,85251.49
2,redis-first,redis,SADD,1,85251.49
2,redis-first,redis,SPOP,1,82576.38
2,redis-first,redis,HSET,1,77101.00
2,redis-first,redis,ZADD,1,83472.46
2,redis-first,redis,SET,8,414507.78
2,redis-first,redis,GET,8,452488.69
2,redis-first,redis,INCR,8,457665.91
2,redis-first,redis,LPUSH,8,342465.75
2,redis-first,redis,SADD,8,334168.75
2,redis-first,redis,SPOP,8,275482.09
2,redis-first,redis,HSET,8,390243.91
2,redis-first,redis,ZADD,8,266311.59
2,redis-first,redis,SET,64,773611.12
2,redis-first,redis,GET,64,872111.62
2,redis-first,redis,INCR,64,927663.56
2,redis-first,redis,LPUSH,64,577379.50
2,redis-first,redis,SADD,64,476351.88
2,redis-first,redis,SPOP,64,323004.31
2,redis-first,redis,HSET,64,679054.75
2,redis-first,redis,ZADD,64,432535.19
2,redis-first,moon,SET,1,88028.16
2,redis-first,moon,GET,1,86580.09
2,redis-first,moon,INCR,1,78988.94
2,redis-first,moon,LPUSH,1,73313.78
2,redis-first,moon,SADD,1,75301.21
2,redis-first,moon,SPOP,1,64641.24
2,redis-first,moon,HSET,1,69013.11
2,redis-first,moon,ZADD,1,65316.79
2,redis-first,moon,SET,8,453001.12
2,redis-first,moon,GET,8,534045.38
2,redis-first,moon,INCR,8,309358.09
2,redis-first,moon,LPUSH,8,253164.55
2,redis-first,moon,SADD,8,220022.00
2,redis-first,moon,SPOP,8,196560.19
2,redis-first,moon,HSET,8,255427.84
2,redis-first,moon,ZADD,8,221483.94
2,redis-first,moon,SET,64,1160117.62
2,redis-first,moon,GET,64,1341710.12
2,redis-first,moon,INCR,64,575165.62
2,redis-first,moon,LPUSH,64,410855.09
2,redis-first,moon,SADD,64,311209.94
2,redis-first,moon,SPOP,64,253169.95
2,redis-first,moon,HSET,64,421002.53
2,redis-first,moon,ZADD,64,315397.81
3,moon-first,moon,SET,1,86956.52
3,moon-first,moon,GET,1,87565.68
3,moon-first,moon,INCR,1,80906.16
3,moon-first,moon,LPUSH,1,74794.31
3,moon-first,moon,SADD,1,74183.98
3,moon-first,moon,SPOP,1,75815.01
3,moon-first,moon,HSET,1,73260.07
3,moon-first,moon,ZADD,1,69832.40
3,moon-first,moon,SET,8,493827.16
3,moon-first,moon,GET,8,531914.94
3,moon-first,moon,INCR,8,303720.56
3,moon-first,moon,LPUSH,8,245700.25
3,moon-first,moon,SADD,8,215285.25
3,moon-first,moon,SPOP,8,188058.30
3,moon-first,moon,HSET,8,245398.78
3,moon-first,moon,ZADD,8,212089.08
3,moon-first,moon,SET,64,1127843.62
3,moon-first,moon,GET,64,1269062.50
3,moon-first,moon,INCR,64,570354.38
3,moon-first,moon,LPUSH,64,392267.78
3,moon-first,moon,SADD,64,312246.47
3,moon-first,moon,SPOP,64,255020.75
3,moon-first,moon,HSET,64,420177.03
3,moon-first,moon,ZADD,64,313879.91
3,moon-first,redis,SET,1,83822.30
3,moon-first,redis,GET,1,85034.02
