# moon: unknown sha256:08ebc35c2c274772
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-11T04:45:44Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,132100.39
1,moon-first,moon,GET,1,135318.00
1,moon-first,moon,INCR,1,139082.06
1,moon-first,moon,LPUSH,1,141643.06
1,moon-first,moon,SADD,1,140845.08
1,moon-first,moon,SPOP,1,130039.02
1,moon-first,moon,HSET,1,136054.42
1,moon-first,moon,ZADD,1,132275.14
1,moon-first,moon,SET,8,865800.81
1,moon-first,moon,GET,8,1049868.75
1,moon-first,moon,INCR,8,550206.31
1,moon-first,moon,LPUSH,8,435729.84
1,moon-first,moon,SADD,8,372786.59
1,moon-first,moon,SPOP,8,314712.81
1,moon-first,moon,HSET,8,435729.84
1,moon-first,moon,ZADD,8,371057.53
1,moon-first,moon,SET,64,1854180.38
1,moon-first,moon,GET,64,2707639.00
1,moon-first,moon,INCR,64,895541.50
1,moon-first,moon,LPUSH,64,613259.19
1,moon-first,moon,SADD,64,451680.81
1,moon-first,moon,SPOP,64,360411.31
1,moon-first,moon,HSET,64,645175.06
1,moon-first,moon,ZADD,64,444849.34
1,moon-first,redis,SET,1,126742.72
1,moon-first,redis,GET,1,122549.02
1,moon-first,redis,INCR,1,125628.14
1,moon-first,redis,LPUSH,1,130208.34
1,moon-first,redis,SADD,1,128369.71
1,moon-first,redis,SPOP,1,133511.34
1,moon-first,redis,HSET,1,127551.02
1,moon-first,redis,ZADD,1,128534.70
1,moon-first,redis,SET,8,696864.12
1,moon-first,redis,GET,8,769230.81
1,moon-first,redis,INCR,8,725952.81
1,moon-first,redis,LPUSH,8,575539.56
1,moon-first,redis,SADD,8,552486.19
1,moon-first,redis,SPOP,8,479616.31
1,moon-first,redis,HSET,8,657894.75
1,moon-first,redis,ZADD,8,445434.31
1,moon-first,redis,SET,64,1436812.25
1,moon-first,redis,GET,64,1722195.25
1,moon-first,redis,INCR,64,1623411.25
1,moon-first,redis,LPUSH,64,967138.62
1,moon-first,redis,SADD,64,668463.50
1,moon-first,redis,SPOP,64,533249.94
1,moon-first,redis,HSET,64,1187673.75
1,moon-first,redis,ZADD,64,645175.06
2,redis-first,redis,SET,1,128040.97
2,redis-first,redis,GET,1,125313.29
2,redis-first,redis,INCR,1,122699.39
2,redis-first,redis,LPUSH,1,129366.11
2,redis-first,redis,SADD,1,129366.11
2,redis-first,redis,SPOP,1,132275.14
2,redis-first,redis,HSET,1,128700.12
2,redis-first,redis,ZADD,1,129533.68
2,redis-first,redis,SET,8,704225.31
2,redis-first,redis,GET,8,796812.81
2,redis-first,redis,INCR,8,733944.94
2,redis-first,redis,LPUSH,8,584795.31
2,redis-first,redis,SADD,8,539811.06
2,redis-first,redis,SPOP,8,462962.94
