# moon: unknown sha256:6403691af6c23cd9
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Neoverse-N1 (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-11T04:55:16Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,83822.30
1,moon-first,moon,GET,1,85178.88
1,moon-first,moon,INCR,1,75187.97
1,moon-first,moon,LPUSH,1,71633.23
1,moon-first,moon,SADD,1,71530.76
1,moon-first,moon,SPOP,1,66269.05
1,moon-first,moon,HSET,1,69589.42
1,moon-first,moon,ZADD,1,67567.57
1,moon-first,moon,SET,8,464037.12
1,moon-first,moon,GET,8,536912.75
1,moon-first,moon,INCR,8,314712.81
1,moon-first,moon,LPUSH,8,251414.22
1,moon-first,moon,SADD,8,219901.05
1,moon-first,moon,SPOP,8,195599.02
1,moon-first,moon,HSET,8,257566.00
1,moon-first,moon,ZADD,8,220264.31
1,moon-first,moon,SET,64,1157432.12
1,moon-first,moon,GET,64,1321614.12
1,moon-first,moon,INCR,64,572094.56
1,moon-first,moon,LPUSH,64,398414.88
1,moon-first,moon,SADD,64,303650.19
1,moon-first,moon,SPOP,64,252530.64
1,moon-first,moon,HSET,64,415636.47
1,moon-first,moon,ZADD,64,308966.44
1,moon-first,redis,SET,1,83612.04
1,moon-first,redis,GET,1,82101.80
1,moon-first,redis,INCR,1,82508.25
1,moon-first,redis,LPUSH,1,86355.79
1,moon-first,redis,SADD,1,80971.66
1,moon-first,redis,SPOP,1,85689.80
1,moon-first,redis,HSET,1,83682.01
1,moon-first,redis,ZADD,1,84674.01
1,moon-first,redis,SET,8,411946.44
1,moon-first,redis,GET,8,461361.03
1,moon-first,redis,INCR,8,462427.75
1,moon-first,redis,LPUSH,8,341296.91
1,moon-first,redis,SADD,8,335852.22
1,moon-first,redis,SPOP,8,247985.11
1,moon-first,redis,HSET,8,396825.38
1,moon-first,redis,ZADD,8,325732.88
1,moon-first,redis,SET,64,785357.06
1,moon-first,redis,GET,64,870593.12
1,moon-first,redis,INCR,64,899299.75
1,moon-first,redis,LPUSH,64,562230.88
1,moon-first,redis,SADD,64,467882.72
1,moon-first,redis,SPOP,64,319223.69
1,moon-first,redis,HSET,64,685885.69
1,moon-first,redis,ZADD,64,440538.03
2,redis-first,redis,SET,1,81566.07
2,redis-first,redis,GET,1,84674.01
2,redis-first,redis,INCR,1,87260.03
2,redis-first,redis,LPUSH,1,85324.23
2,redis-first,redis,SADD,1,84245.99
2,redis-first,redis,SPOP,1,87260.03
2,redis-first,redis,HSET,1,84317.03
2,redis-first,redis,ZADD,1,87108.02
2,redis-first,redis,SET,8,411522.62
2,redis-first,redis,GET,8,442967.88
2,redis-first,redis,INCR,8,437636.78
2,redis-first,redis,LPUSH,8,334168.75
2,redis-first,redis,SADD,8,325998.38
2,redis-first,redis,SPOP,8,270819.22
2,redis-first,redis,HSET,8,381315.53
2,redis-first,redis,ZADD,8,272108.84
2,redis-first,redis,SET,64,785768.44
2,redis-first,redis,GET,64,863079.38
2,redis-first,redis,INCR,64,918574.38
2,redis-first,redis,LPUSH,64,569272.12
2,redis-first,redis,SADD,64,468028.72
2,redis-first,redis,SPOP,64,317870.75
2,redis-first,redis,HSET,64,671756.38
2,redis-first,redis,ZADD,64,440538.03
2,redis-first,moon,SET,1,88261.25
2,redis-first,moon,GET,1,87950.75
2,redis-first,moon,INCR,1,78247.26
2,redis-first,moon,LPUSH,1,72202.16
2,redis-first,moon,SADD,1,70077.09
2,redis-first,moon,SPOP,1,65573.77
2,redis-first,moon,HSET,1,70224.72
2,redis-first,moon,ZADD,1,68212.83
2,redis-first,moon,SET,8,477897.25
2,redis-first,moon,GET,8,523560.22
2,redis-first,moon,INCR,8,309837.34
2,redis-first,moon,LPUSH,8,253968.25
2,redis-first,moon,SADD,8,217037.44
2,redis-first,moon,SPOP,8,193423.59
2,redis-first,moon,HSET,8,250469.62
2,redis-first,moon,ZADD,8,221975.58
2,redis-first,moon,SET,64,1180198.25
2,redis-first,moon,GET,64,1332177.62
2,redis-first,moon,INCR,64,571658.50
2,redis-first,moon,LPUSH,64,408839.47
2,redis-first,moon,SADD,64,304760.66
2,redis-first,moon,SPOP,64,255934.48
2,redis-first,moon,HSET,64,408060.94
2,redis-first,moon,ZADD,64,307762.00
3,moon-first,moon,SET,1,88028.16
3,moon-first,moon,GET,1,87336.24
3,moon-first,moon,INCR,1,78926.60
3,moon-first,moon,LPUSH,1,73313.78
3,moon-first,moon,SADD,1,73099.41
3,moon-first,moon,SPOP,1,68540.09
3,moon-first,moon,HSET,1,72727.27
3,moon-first,moon,ZADD,1,70771.41
3,moon-first,moon,SET,8,485436.91
3,moon-first,moon,GET,8,498132.03
3,moon-first,moon,INCR,8,291332.84
3,moon-first,moon,LPUSH,8,242277.41
3,moon-first,moon,SADD,8,220143.09
3,moon-first,moon,SPOP,8,200200.20
3,moon-first,moon,HSET,8,257566.00
3,moon-first,moon,ZADD,8,224466.89
3,moon-first,moon,SET,64,1177419.12
3,moon-first,moon,GET,64,1312364.00
3,moon-first,moon,INCR,64,580058.81
3,moon-first,moon,LPUSH,64,411531.41
3,moon-first,moon,SADD,64,304142.72
3,moon-first,moon,SPOP,64,256854.78
3,moon-first,moon,HSET,64,420412.53
3,moon-first,moon,ZADD,64,313224.47
3,moon-first,redis,SET,1,84245.99
3,moon-first,redis,GET,1,87873.46
3,moon-first,redis,INCR,1,87108.02
3,moon-first,redis,LPUSH,1,85836.91
3,moon-first,redis,SADD,1,84961.77
3,moon-first,redis,SPOP,1,85178.88
3,moon-first,redis,HSET,1,86880.97
3,moon-first,redis,ZADD,1,88028.16
3,moon-first,redis,SET,8,410677.62
3,moon-first,redis,GET,8,441014.34
