# moon: unknown sha256:57d8882b1345e830
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-11T04:50:32Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,131233.59
1,moon-first,moon,GET,1,131233.59
1,moon-first,moon,INCR,1,134952.77
1,moon-first,moon,LPUSH,1,139664.80
1,moon-first,moon,SADD,1,140252.45
1,moon-first,moon,SPOP,1,129366.11
1,moon-first,moon,HSET,1,136425.66
1,moon-first,moon,ZADD,1,131061.59
1,moon-first,moon,SET,8,879120.88
1,moon-first,moon,GET,8,1017811.69
1,moon-first,moon,INCR,8,545702.62
1,moon-first,moon,LPUSH,8,439077.94
1,moon-first,moon,SADD,8,375586.84
1,moon-first,moon,SPOP,8,314218.38
1,moon-first,moon,HSET,8,431965.44
1,moon-first,moon,ZADD,8,368663.59
1,moon-first,moon,SET,64,1879739.38
1,moon-first,moon,GET,64,2793355.75
1,moon-first,moon,INCR,64,919700.75
1,moon-first,moon,LPUSH,64,614767.19
1,moon-first,moon,SADD,64,457048.12
1,moon-first,moon,SPOP,64,363820.50
1,moon-first,moon,HSET,64,651621.19
1,moon-first,moon,ZADD,64,443402.91
1,moon-first,redis,SET,1,125313.29
1,moon-first,redis,GET,1,123609.39
1,moon-first,redis,INCR,1,125313.29
1,moon-first,redis,LPUSH,1,128865.98
1,moon-first,redis,SADD,1,128700.12
1,moon-first,redis,SPOP,1,131061.59
1,moon-first,redis,HSET,1,130718.95
1,moon-first,redis,ZADD,1,126422.25
1,moon-first,redis,SET,8,728597.44
1,moon-first,redis,GET,8,760456.25
1,moon-first,redis,INCR,8,713012.50
1,moon-first,redis,LPUSH,8,565770.88
1,moon-first,redis,SADD,8,534759.31
1,moon-first,redis,SPOP,8,468933.19
1,moon-first,redis,HSET,8,668896.31
1,moon-first,redis,ZADD,8,446428.56
1,moon-first,redis,SET,64,1434065.00
1,moon-first,redis,GET,64,1532208.38
1,moon-first,redis,INCR,64,1501533.50
1,moon-first,redis,LPUSH,64,938106.31
1,moon-first,redis,SADD,64,675690.06
1,moon-first,redis,SPOP,64,522477.19
1,moon-first,redis,HSET,64,1104589.12
1,moon-first,redis,ZADD,64,604851.62
2,redis-first,redis,SET,1,126422.25
2,redis-first,redis,GET,1,123915.74
2,redis-first,redis,INCR,1,123609.39
2,redis-first,redis,LPUSH,1,130378.09
2,redis-first,redis,SADD,1,128700.12
2,redis-first,redis,SPOP,1,132275.14
2,redis-first,redis,HSET,1,129032.27
2,redis-first,redis,ZADD,1,129533.68
2,redis-first,redis,SET,8,732600.75
2,redis-first,redis,GET,8,800000.00
2,redis-first,redis,INCR,8,779727.06
2,redis-first,redis,LPUSH,8,597014.94
2,redis-first,redis,SADD,8,533333.31
2,redis-first,redis,SPOP,8,415800.41
2,redis-first,redis,HSET,8,675675.69
2,redis-first,redis,ZADD,8,524934.38
2,redis-first,redis,SET,64,1442338.50
2,redis-first,redis,GET,64,1650200.25
2,redis-first,redis,INCR,64,1564162.62
2,redis-first,redis,LPUSH,64,951797.00
2,redis-first,redis,SADD,64,683074.62
2,redis-first,redis,SPOP,64,511781.66
2,redis-first,redis,HSET,64,1208728.38
2,redis-first,redis,ZADD,64,640491.88
2,redis-first,moon,SET,1,131578.95
2,redis-first,moon,GET,1,130208.34
2,redis-first,moon,INCR,1,137362.64
2,redis-first,moon,LPUSH,1,139082.06
2,redis-first,moon,SADD,1,137174.22
2,redis-first,moon,SPOP,1,130718.95
2,redis-first,moon,HSET,1,136612.02
2,redis-first,moon,ZADD,1,131406.05
2,redis-first,moon,SET,8,863930.88
2,redis-first,moon,GET,8,1036269.44
2,redis-first,moon,INCR,8,543478.25
2,redis-first,moon,LPUSH,8,429645.53
2,redis-first,moon,SADD,8,371057.53
2,redis-first,moon,SPOP,8,312256.03
2,redis-first,moon,HSET,8,431034.50
2,redis-first,moon,ZADD,8,371057.53
2,redis-first,moon,SET,64,1882097.88
2,redis-first,moon,GET,64,2814319.00
2,redis-first,moon,INCR,64,899299.75
2,redis-first,moon,LPUSH,64,617043.19
2,redis-first,moon,SADD,64,459709.47
2,redis-first,moon,SPOP,64,362764.66
2,redis-first,moon,HSET,64,649927.19
2,redis-first,moon,ZADD,64,443534.00
3,moon-first,moon,SET,1,132978.73
3,moon-first,moon,GET,1,130208.34
3,moon-first,moon,INCR,1,138888.89
3,moon-first,moon,LPUSH,1,141242.94
3,moon-first,moon,SADD,1,136054.42
3,moon-first,moon,SPOP,1,129870.13
3,moon-first,moon,HSET,1,135685.22
3,moon-first,moon,ZADD,1,129032.27
3,moon-first,moon,SET,8,852878.44
3,moon-first,moon,GET,8,1025641.06
3,moon-first,moon,INCR,8,544959.12
3,moon-first,moon,LPUSH,8,434782.59
3,moon-first,moon,SADD,8,374531.84
3,moon-first,moon,SPOP,8,313971.72
3,moon-first,moon,HSET,8,435255.69
3,moon-first,moon,ZADD,8,370370.34
3,moon-first,moon,SET,64,1840530.12
3,moon-first,moon,GET,64,2803798.00
3,moon-first,moon,INCR,64,906911.69
3,moon-first,moon,LPUSH,64,620617.25
3,moon-first,moon,SADD,64,459850.38
3,moon-first,moon,SPOP,64,360671.31
3,moon-first,moon,HSET,64,649927.19
3,moon-first,moon,ZADD,64,472302.25
3,moon-first,redis,SET,1,125470.52
3,moon-first,redis,GET,1,122399.02
3,moon-first,redis,INCR,1,123456.79
3,moon-first,redis,LPUSH,1,130890.05
3,moon-first,redis,SADD,1,129701.68
3,moon-first,redis,SPOP,1,131926.12
3,moon-first,redis,HSET,1,130548.30
3,moon-first,redis,ZADD,1,126582.27
3,moon-first,redis,SET,8,729927.06
3,moon-first,redis,GET,8,817995.94
3,moon-first,redis,INCR,8,776699.06
3,moon-first,redis,LPUSH,8,581395.31
3,moon-first,redis,SADD,8,543478.25
3,moon-first,redis,SPOP,8,420168.06
3,moon-first,redis,HSET,8,665557.38
3,moon-first,redis,ZADD,8,520156.06
3,moon-first,redis,SET,64,1399283.50
3,moon-first,redis,GET,64,1668556.25
3,moon-first,redis,INCR,64,1559284.75
3,moon-first,redis,LPUSH,64,935765.44
3,moon-first,redis,SADD,64,686199.44
3,moon-first,redis,SPOP,64,523206.12
3,moon-first,redis,HSET,64,1223517.12
3,moon-first,redis,ZADD,64,639399.81
4,redis-first,redis,SET,1,127551.02
4,redis-first,redis,GET,1,122699.39
4,redis-first,redis,INCR,1,123915.74
4,redis-first,redis,LPUSH,1,129870.13
4,redis-first,redis,SADD,1,128534.70
4,redis-first,redis,SPOP,1,130378.09
4,redis-first,redis,HSET,1,129701.68
4,redis-first,redis,ZADD,1,127877.23
4,redis-first,redis,SET,8,723327.31
4,redis-first,redis,GET,8,793650.75
4,redis-first,redis,INCR,8,747663.50
4,redis-first,redis,LPUSH,8,578034.69
4,redis-first,redis,SADD,8,525624.19
4,redis-first,redis,SPOP,8,465116.28
4,redis-first,redis,HSET,8,657894.75
4,redis-first,redis,ZADD,8,444938.81
4,redis-first,redis,SET,64,1464874.88
4,redis-first,redis,GET,64,1714322.25
4,redis-first,redis,INCR,64,1630469.50
4,redis-first,redis,LPUSH,64,981054.25
4,redis-first,redis,SADD,64,681832.69
4,redis-first,redis,SPOP,64,527252.00
4,redis-first,redis,HSET,64,1172816.25
4,redis-first,redis,ZADD,64,628944.25
4,redis-first,moon,SET,1,132450.33
4,redis-first,moon,GET,1,132978.73
4,redis-first,moon,INCR,1,137551.58
4,redis-first,moon,LPUSH,1,137362.64
4,redis-first,moon,SADD,1,138312.59
4,redis-first,moon,SPOP,1,130378.09
4,redis-first,moon,HSET,1,136239.78
4,redis-first,moon,ZADD,1,130718.95
4,redis-first,moon,SET,8,879120.88
4,redis-first,moon,GET,8,1020408.19
4,redis-first,moon,INCR,8,554016.62
4,redis-first,moon,LPUSH,8,435255.69
4,redis-first,moon,SADD,8,372093.00
4,redis-first,moon,SPOP,8,315457.41
4,redis-first,moon,HSET,8,436205.03
4,redis-first,moon,ZADD,8,368663.59
4,redis-first,moon,SET,64,1816019.38
4,redis-first,moon,GET,64,2747311.25
4,redis-first,moon,INCR,64,910766.25
4,redis-first,moon,LPUSH,64,618825.06
4,redis-first,moon,SADD,64,455521.41
4,redis-first,moon,SPOP,64,358516.25
4,redis-first,moon,HSET,64,644620.56
4,redis-first,moon,ZADD,64,442617.88
5,moon-first,moon,SET,1,132802.12
5,moon-first,moon,GET,1,133511.34
5,moon-first,moon,INCR,1,138504.16
5,moon-first,moon,LPUSH,1,138888.89
5,moon-first,moon,SADD,1,140646.97
5,moon-first,moon,SPOP,1,131926.12
5,moon-first,moon,HSET,1,137741.05
5,moon-first,moon,ZADD,1,130890.05
5,moon-first,moon,SET,8,865800.81
5,moon-first,moon,GET,8,1010101.00
5,moon-first,moon,INCR,8,560224.12
5,moon-first,moon,LPUSH,8,435729.84
5,moon-first,moon,SADD,8,370027.75
5,moon-first,moon,SPOP,8,310800.31
5,moon-first,moon,HSET,8,420168.06
5,moon-first,moon,ZADD,8,364298.72
5,moon-first,moon,SET,64,1856475.12
5,moon-first,moon,GET,64,2782990.75
5,moon-first,moon,INCR,64,905269.81
5,moon-first,moon,LPUSH,64,620104.19
5,moon-first,moon,SADD,64,456075.41
5,moon-first,moon,SPOP,64,360065.31
5,moon-first,moon,HSET,64,654178.81
5,moon-first,moon,ZADD,64,442748.53
5,moon-first,redis,SET,1,128205.13
5,moon-first,redis,GET,1,125628.14
5,moon-first,redis,INCR,1,125156.45
5,moon-first,redis,LPUSH,1,130890.05
5,moon-first,redis,SADD,1,127877.23
5,moon-first,redis,SPOP,1,133511.34
5,moon-first,redis,HSET,1,128865.98
5,moon-first,redis,ZADD,1,130548.30
5,moon-first,redis,SET,8,719424.44
5,moon-first,redis,GET,8,792079.19
5,moon-first,redis,INCR,8,772200.75
5,moon-first,redis,LPUSH,8,590841.94
5,moon-first,redis,SADD,8,536193.06
5,moon-first,redis,SPOP,8,467836.25
5,moon-first,redis,HSET,8,668896.31
5,moon-first,redis,ZADD,8,444938.81
5,moon-first,redis,SET,64,1432695.25
5,moon-first,redis,GET,64,1712365.38
5,moon-first,redis,INCR,64,1635803.75
5,moon-first,redis,LPUSH,64,980413.06
5,moon-first,redis,SADD,64,682142.81
5,moon-first,redis,SPOP,64,525221.31
5,moon-first,redis,HSET,64,1189557.50
5,moon-first,redis,ZADD,64,638583.25
