# moon: unknown sha256:08ebc35c2c274772
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-12T06:34:48Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,131233.59
1,moon-first,moon,GET,1,132626.00
1,moon-first,moon,INCR,1,139275.77
1,moon-first,moon,LPUSH,1,136986.30
1,moon-first,moon,SADD,1,134770.89
1,moon-first,moon,SPOP,1,126903.55
1,moon-first,moon,HSET,1,132802.12
1,moon-first,moon,ZADD,1,128205.13
1,moon-first,moon,SET,8,790513.88
1,moon-first,moon,GET,8,917431.19
1,moon-first,moon,INCR,8,512820.53
1,moon-first,moon,LPUSH,8,401606.44
1,moon-first,moon,SADD,8,348128.78
1,moon-first,moon,SPOP,8,291120.81
1,moon-first,moon,HSET,8,396039.59
1,moon-first,moon,ZADD,8,343347.66
1,moon-first,moon,SET,64,1533775.12
1,moon-first,moon,GET,64,2193029.25
1,moon-first,moon,INCR,64,817456.12
1,moon-first,moon,LPUSH,64,559713.44
1,moon-first,moon,SADD,64,417371.16
1,moon-first,moon,SPOP,64,324191.06
1,moon-first,moon,HSET,64,567763.81
1,moon-first,moon,ZADD,64,408060.94
1,moon-first,redis,SET,1,126582.27
1,moon-first,redis,GET,1,123609.39
1,moon-first,redis,INCR,1,123762.38
1,moon-first,redis,LPUSH,1,129366.11
1,moon-first,redis,SADD,1,130548.30
1,moon-first,redis,SPOP,1,131061.59
1,moon-first,redis,HSET,1,128865.98
1,moon-first,redis,ZADD,1,128534.70
1,moon-first,redis,SET,8,651465.75
1,moon-first,redis,GET,8,707964.62
1,moon-first,redis,INCR,8,671140.94
1,moon-first,redis,LPUSH,8,527704.50
1,moon-first,redis,SADD,8,504413.62
1,moon-first,redis,SPOP,8,434782.59
1,moon-first,redis,HSET,8,599700.12
1,moon-first,redis,ZADD,8,407747.19
1,moon-first,redis,SET,64,1167340.12
1,moon-first,redis,GET,64,1334548.12
1,moon-first,redis,INCR,64,1234594.25
1,moon-first,redis,LPUSH,64,800017.06
1,moon-first,redis,SADD,64,617297.12
1,moon-first,redis,SPOP,64,492945.12
1,moon-first,redis,HSET,64,961559.00
1,moon-first,redis,ZADD,64,569056.19
2,redis-first,redis,SET,1,126903.55
2,redis-first,redis,GET,1,124069.48
2,redis-first,redis,INCR,1,122249.38
2,redis-first,redis,LPUSH,1,129870.13
2,redis-first,redis,SADD,1,130208.34
2,redis-first,redis,SPOP,1,131061.59
2,redis-first,redis,HSET,1,126422.25
2,redis-first,redis,ZADD,1,127877.23
2,redis-first,redis,SET,8,654664.50
2,redis-first,redis,GET,8,709219.88
2,redis-first,redis,INCR,8,704225.31
2,redis-first,redis,LPUSH,8,536912.75
2,redis-first,redis,SADD,8,504413.62
2,redis-first,redis,SPOP,8,438596.50
2,redis-first,redis,HSET,8,603318.25
2,redis-first,redis,ZADD,8,413650.47
2,redis-first,redis,SET,64,1177419.12
2,redis-first,redis,GET,64,1388918.50
2,redis-first,redis,INCR,64,1346527.88
2,redis-first,redis,LPUSH,64,813025.44
2,redis-first,redis,SADD,64,626056.81
2,redis-first,redis,SPOP,64,495878.34
2,redis-first,redis,HSET,64,988814.81
2,redis-first,redis,ZADD,64,578047.00
2,redis-first,moon,SET,1,131233.59
2,redis-first,moon,GET,1,130718.95
2,redis-first,moon,INCR,1,138504.16
2,redis-first,moon,LPUSH,1,136986.30
2,redis-first,moon,SADD,1,135685.22
2,redis-first,moon,SPOP,1,127388.53
2,redis-first,moon,HSET,1,133333.33
2,redis-first,moon,ZADD,1,129533.68
2,redis-first,moon,SET,8,781249.94
2,redis-first,moon,GET,8,930232.56
2,redis-first,moon,INCR,8,518806.72
2,redis-first,moon,LPUSH,8,406504.06
2,redis-first,moon,SADD,8,352422.91
2,redis-first,moon,SPOP,8,295202.94
2,redis-first,moon,HSET,8,402819.75
2,redis-first,moon,ZADD,8,345423.16
2,redis-first,moon,SET,64,1562533.38
2,redis-first,moon,GET,64,2238853.75
2,redis-first,moon,INCR,64,820586.44
2,redis-first,moon,LPUSH,64,562863.81
2,redis-first,moon,SADD,64,420530.44
2,redis-first,moon,SPOP,64,327732.56
2,redis-first,moon,HSET,64,568193.94
2,redis-first,moon,ZADD,64,407506.66
3,moon-first,moon,SET,1,130890.05
3,moon-first,moon,GET,1,131061.59
3,moon-first,moon,INCR,1,136798.91
3,moon-first,moon,LPUSH,1,136798.91
3,moon-first,moon,SADD,1,136425.66
3,moon-first,moon,SPOP,1,128040.97
3,moon-first,moon,HSET,1,132450.33
3,moon-first,moon,ZADD,1,129032.27
3,moon-first,moon,SET,8,788954.56
3,moon-first,moon,GET,8,907029.44
3,moon-first,moon,INCR,8,510855.69
3,moon-first,moon,LPUSH,8,402010.06
3,moon-first,moon,SADD,8,347523.88
3,moon-first,moon,SPOP,8,291120.81
3,moon-first,moon,HSET,8,397219.47
3,moon-first,moon,ZADD,8,343053.16
3,moon-first,moon,SET,64,1544832.12
3,moon-first,moon,GET,64,2225566.75
3,moon-first,moon,INCR,64,806468.81
3,moon-first,moon,LPUSH,64,560969.31
3,moon-first,moon,SADD,64,419589.38
3,moon-first,moon,SPOP,64,325527.78
3,moon-first,moon,HSET,64,576270.50
3,moon-first,moon,ZADD,64,409509.12
3,moon-first,redis,SET,1,124688.28
3,moon-first,redis,GET,1,121802.68
3,moon-first,redis,INCR,1,122399.02
3,moon-first,redis,LPUSH,1,127713.92
3,moon-first,redis,SADD,1,129198.97
3,moon-first,redis,SPOP,1,130039.02
3,moon-first,redis,HSET,1,126262.62
3,moon-first,redis,ZADD,1,127713.92
3,moon-first,redis,SET,8,645161.31
3,moon-first,redis,GET,8,710479.56
3,moon-first,redis,INCR,8,672268.88
3,moon-first,redis,LPUSH,8,530504.00
3,moon-first,redis,SADD,8,501253.16
3,moon-first,redis,SPOP,8,435255.69
3,moon-first,redis,HSET,8,599700.12
3,moon-first,redis,ZADD,8,411099.69
3,moon-first,redis,SET,64,1156539.62
3,moon-first,redis,GET,64,1329815.62
3,moon-first,redis,INCR,64,1255256.88
3,moon-first,redis,LPUSH,64,806468.81
3,moon-first,redis,SADD,64,620104.19
3,moon-first,redis,SPOP,64,491008.81
3,moon-first,redis,HSET,64,969012.94
3,moon-first,redis,ZADD,64,579162.94
4,redis-first,redis,SET,1,126742.72
4,redis-first,redis,GET,1,124378.11
4,redis-first,redis,INCR,1,122549.02
4,redis-first,redis,LPUSH,1,126903.55
4,redis-first,redis,SADD,1,128369.71
4,redis-first,redis,SPOP,1,130039.02
4,redis-first,redis,HSET,1,128700.12
4,redis-first,redis,ZADD,1,129032.27
4,redis-first,redis,SET,8,653594.81
4,redis-first,redis,GET,8,702987.69
4,redis-first,redis,INCR,8,701754.38
4,redis-first,redis,LPUSH,8,535475.25
4,redis-first,redis,SADD,8,505050.50
4,redis-first,redis,SPOP,8,441501.09
4,redis-first,redis,HSET,8,597907.31
4,redis-first,redis,ZADD,8,410256.41
4,redis-first,redis,SET,64,1167340.12
4,redis-first,redis,GET,64,1355042.50
4,redis-first,redis,INCR,64,1316972.75
4,redis-first,redis,LPUSH,64,809078.75
4,redis-first,redis,SADD,64,622678.31
4,redis-first,redis,SPOP,64,494407.41
4,redis-first,redis,HSET,64,973414.69
4,redis-first,redis,ZADD,64,573845.44
4,redis-first,moon,SET,1,130039.02
4,redis-first,moon,GET,1,130378.09
4,redis-first,moon,INCR,1,134770.89
4,redis-first,moon,LPUSH,1,138312.59
4,redis-first,moon,SADD,1,136612.02
4,redis-first,moon,SPOP,1,127877.23
4,redis-first,moon,HSET,1,134770.89
4,redis-first,moon,ZADD,1,129701.68
4,redis-first,moon,SET,8,793650.75
4,redis-first,moon,GET,8,925925.88
4,redis-first,moon,INCR,8,517464.44
4,redis-first,moon,LPUSH,8,407331.97
4,redis-first,moon,SADD,8,347523.88
4,redis-first,moon,SPOP,8,297176.84
4,redis-first,moon,HSET,8,402819.75
4,redis-first,moon,ZADD,8,349956.25
4,redis-first,moon,SET,64,1564162.62
4,redis-first,moon,GET,64,2149043.00
4,redis-first,moon,INCR,64,818348.06
4,redis-first,moon,LPUSH,64,569056.19
4,redis-first,moon,SADD,64,423379.06
4,redis-first,moon,SPOP,64,328019.25
4,redis-first,moon,HSET,64,581858.81
4,redis-first,moon,ZADD,64,412096.69
5,moon-first,moon,SET,1,131578.95
5,moon-first,moon,GET,1,129366.11
5,moon-first,moon,INCR,1,136798.91
5,moon-first,moon,LPUSH,1,138696.25
5,moon-first,moon,SADD,1,135869.56
5,moon-first,moon,SPOP,1,128865.98
5,moon-first,moon,HSET,1,134589.50
5,moon-first,moon,ZADD,1,129533.68
5,moon-first,moon,SET,8,796812.81
5,moon-first,moon,GET,8,934579.44
5,moon-first,moon,INCR,8,512163.88
5,moon-first,moon,LPUSH,8,410256.41
5,moon-first,moon,SADD,8,348735.84
5,moon-first,moon,SPOP,8,294117.66
5,moon-first,moon,HSET,8,404448.94
5,moon-first,moon,ZADD,8,349956.25
5,moon-first,moon,SET,64,1583983.00
5,moon-first,moon,GET,64,2222269.50
5,moon-first,moon,INCR,64,821935.31
5,moon-first,moon,LPUSH,64,566263.50
5,moon-first,moon,SADD,64,423379.06
5,moon-first,moon,SPOP,64,326377.72
5,moon-first,moon,HSET,64,581858.81
5,moon-first,moon,ZADD,64,408171.97
5,moon-first,redis,SET,1,125628.14
5,moon-first,redis,GET,1,122549.02
5,moon-first,redis,INCR,1,124533.01
5,moon-first,redis,LPUSH,1,129533.68
5,moon-first,redis,SADD,1,129701.68
5,moon-first,redis,SPOP,1,130208.34
5,moon-first,redis,HSET,1,127551.02
5,moon-first,redis,ZADD,1,128040.97
5,moon-first,redis,SET,8,649350.62
5,moon-first,redis,GET,8,700525.44
5,moon-first,redis,INCR,8,675675.69
5,moon-first,redis,LPUSH,8,538358.00
5,moon-first,redis,SADD,8,501253.16
5,moon-first,redis,SPOP,8,387596.91
5,moon-first,redis,HSET,8,611620.81
5,moon-first,redis,ZADD,8,485436.91
5,moon-first,redis,SET,64,1144189.12
5,moon-first,redis,GET,64,1316972.75
5,moon-first,redis,INCR,64,1250026.62
5,moon-first,redis,LPUSH,64,805602.56
5,moon-first,redis,SADD,64,621646.06
5,moon-first,redis,SPOP,64,490366.78
5,moon-first,redis,HSET,64,1003365.88
5,moon-first,redis,ZADD,64,578939.38
