# moon: unknown sha256:971b7a6e72af6c40
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Neoverse-N1 (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-12T07:07:56Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,88573.96
1,moon-first,moon,GET,1,86580.09
1,moon-first,moon,INCR,1,79491.26
1,moon-first,moon,LPUSH,1,76103.50
1,moon-first,moon,SADD,1,75930.14
1,moon-first,moon,SPOP,1,69396.25
1,moon-first,moon,HSET,1,75187.97
1,moon-first,moon,ZADD,1,74626.87
1,moon-first,moon,SET,8,485436.91
1,moon-first,moon,GET,8,534045.38
1,moon-first,moon,INCR,8,339270.56
1,moon-first,moon,LPUSH,8,270270.28
1,moon-first,moon,SADD,8,243457.09
1,moon-first,moon,SPOP,8,213333.33
1,moon-first,moon,HSET,8,278551.53
1,moon-first,moon,ZADD,8,239808.16
1,moon-first,moon,SET,64,1180198.25
1,moon-first,moon,GET,64,1377439.88
1,moon-first,moon,INCR,64,686199.44
1,moon-first,moon,LPUSH,64,462117.06
1,moon-first,moon,SADD,64,348520.47
1,moon-first,moon,SPOP,64,290310.06
1,moon-first,moon,HSET,64,476351.88
1,moon-first,moon,ZADD,64,341071.41
1,moon-first,redis,SET,1,91324.20
1,moon-first,redis,GET,1,80971.66
1,moon-first,redis,INCR,1,88417.33
1,moon-first,redis,LPUSH,1,87260.03
1,moon-first,redis,SADD,1,84889.65
1,moon-first,redis,SPOP,1,87260.03
1,moon-first,redis,HSET,1,85324.23
1,moon-first,redis,ZADD,1,81234.77
1,moon-first,redis,SET,8,389863.53
1,moon-first,redis,GET,8,436681.22
1,moon-first,redis,INCR,8,445434.31
1,moon-first,redis,LPUSH,8,337837.84
1,moon-first,redis,SADD,8,313725.50
1,moon-first,redis,SPOP,8,273597.81
1,moon-first,redis,HSET,8,385356.47
1,moon-first,redis,ZADD,8,268636.69
1,moon-first,redis,SET,64,794508.50
1,moon-first,redis,GET,64,879268.50
1,moon-first,redis,INCR,64,931696.88
1,moon-first,redis,LPUSH,64,571223.19
1,moon-first,redis,SADD,64,471708.16
1,moon-first,redis,SPOP,64,314670.00
1,moon-first,redis,HSET,64,665202.62
1,moon-first,redis,ZADD,64,426266.53
2,redis-first,redis,SET,1,83752.09
2,redis-first,redis,GET,1,87796.30
2,redis-first,redis,INCR,1,85836.91
2,redis-first,redis,LPUSH,1,86281.27
2,redis-first,redis,SADD,1,84033.61
2,redis-first,redis,SPOP,1,84530.86
2,redis-first,redis,HSET,1,85034.02
2,redis-first,redis,ZADD,1,86132.64
2,redis-first,redis,SET,8,414078.66
2,redis-first,redis,GET,8,447928.31
2,redis-first,redis,INCR,8,445930.88
2,redis-first,redis,LPUSH,8,334448.16
2,redis-first,redis,SADD,8,327600.34
2,redis-first,redis,SPOP,8,270819.22
2,redis-first,redis,HSET,8,384615.41
2,redis-first,redis,ZADD,8,271554.66
2,redis-first,redis,SET,64,796618.12
2,redis-first,redis,GET,64,870088.19
2,redis-first,redis,INCR,64,936934.44
2,redis-first,redis,LPUSH,64,574284.81
2,redis-first,redis,SADD,64,481087.88
2,redis-first,redis,SPOP,64,323561.69
2,redis-first,redis,HSET,64,681522.94
2,redis-first,redis,ZADD,64,441056.16
2,redis-first,moon,SET,1,82508.25
2,redis-first,moon,GET,1,84459.46
2,redis-first,moon,INCR,1,73800.73
2,redis-first,moon,LPUSH,1,74019.25
2,redis-first,moon,SADD,1,75357.95
2,redis-first,moon,SPOP,1,71839.09
2,redis-first,moon,HSET,1,76161.46
2,redis-first,moon,ZADD,1,73583.52
2,redis-first,moon,SET,8,497512.44
2,redis-first,moon,GET,8,547195.62
2,redis-first,moon,INCR,8,343938.09
2,redis-first,moon,LPUSH,8,275671.97
2,redis-first,moon,SADD,8,240673.89
2,redis-first,moon,SPOP,8,213903.75
2,redis-first,moon,HSET,8,275862.06
2,redis-first,moon,ZADD,8,233236.14
2,redis-first,moon,SET,64,1101345.12
2,redis-first,moon,GET,64,1336927.00
2,redis-first,moon,INCR,64,685885.69
2,redis-first,moon,LPUSH,64,454692.94
2,redis-first,moon,SADD,64,354533.69
2,redis-first,moon,SPOP,64,287693.12
2,redis-first,moon,HSET,64,472153.59
2,redis-first,moon,ZADD,64,346267.78
3,moon-first,moon,SET,1,84817.64
3,moon-first,moon,GET,1,87183.96
3,moon-first,moon,INCR,1,79239.30
3,moon-first,moon,LPUSH,1,74626.87
3,moon-first,moon,SADD,1,73691.97
3,moon-first,moon,SPOP,1,68728.52
3,moon-first,moon,HSET,1,69881.20
3,moon-first,moon,ZADD,1,67567.57
3,moon-first,moon,SET,8,458190.12
3,moon-first,moon,GET,8,496894.41
3,moon-first,moon,INCR,8,324939.09
3,moon-first,moon,LPUSH,8,262984.88
3,moon-first,moon,SADD,8,243457.09
3,moon-first,moon,SPOP,8,212201.59
3,moon-first,moon,HSET,8,277777.78
3,moon-first,moon,ZADD,8,241109.09
3,moon-first,moon,SET,64,1212637.00
3,moon-first,moon,GET,64,1361190.62
3,moon-first,moon,INCR,64,681213.50
3,moon-first,moon,LPUSH,64,459287.19
3,moon-first,moon,SADD,64,348035.28
3,moon-first,moon,SPOP,64,286156.44
3,moon-first,moon,HSET,64,458304.91
3,moon-first,moon,ZADD,64,334828.56
3,moon-first,redis,SET,1,85106.38
3,moon-first,redis,GET,1,85763.29
3,moon-first,redis,INCR,1,88573.96
3,moon-first,redis,LPUSH,1,86655.11
3,moon-first,redis,SADD,1,85251.49
3,moon-first,redis,SPOP,1,88573.96
3,moon-first,redis,HSET,1,85836.91
3,moon-first,redis,ZADD,1,88417.33
3,moon-first,redis,SET,8,415800.41
3,moon-first,redis,GET,8,454029.53
3,moon-first,redis,INCR,8,461361.03
3,moon-first,redis,LPUSH,8,337552.75
3,moon-first,redis,SADD,8,312500.00
3,moon-first,redis,SPOP,8,250783.69
3,moon-first,redis,HSET,8,393313.69
3,moon-first,redis,ZADD,8,322061.19
3,moon-first,redis,SET,64,782897.69
3,moon-first,redis,GET,64,883931.62
3,moon-first,redis,INCR,64,935182.06
3,moon-first,redis,LPUSH,64,580283.19
3,moon-first,redis,SADD,64,481860.59
3,moon-first,redis,SPOP,64,322934.78
3,moon-first,redis,HSET,64,705565.38
3,moon-first,redis,ZADD,64,450460.06
4,redis-first,redis,SET,1,82508.25
4,redis-first,redis,GET,1,79744.82
4,redis-first,redis,INCR,1,85251.49
4,redis-first,redis,LPUSH,1,83056.48
4,redis-first,redis,SADD,1,86058.52
4,redis-first,redis,SPOP,1,83333.33
4,redis-first,redis,HSET,1,84033.61
4,redis-first,redis,ZADD,1,87260.03
4,redis-first,redis,SET,8,406504.06
4,redis-first,redis,GET,8,455062.56
4,redis-first,redis,INCR,8,462962.94
4,redis-first,redis,LPUSH,8,325467.88
4,redis-first,redis,SADD,8,318979.28
4,redis-first,redis,SPOP,8,280898.88
4,redis-first,redis,HSET,8,395256.94
4,redis-first,redis,ZADD,8,281293.94
4,redis-first,redis,SET,64,803875.62
4,redis-first,redis,GET,64,885497.06
4,redis-first,redis,INCR,64,945199.75
4,redis-first,redis,LPUSH,64,577157.38
4,redis-first,redis,SADD,64,474843.94
4,redis-first,redis,SPOP,64,322241.03
4,redis-first,redis,HSET,64,678747.50
4,redis-first,redis,ZADD,64,446704.00
4,redis-first,moon,SET,1,85178.88
4,redis-first,moon,GET,1,85910.65
4,redis-first,moon,INCR,1,77821.02
4,redis-first,moon,LPUSH,1,75528.70
4,redis-first,moon,SADD,1,74738.41
4,redis-first,moon,SPOP,1,69300.07
4,redis-first,moon,HSET,1,75585.79
4,redis-first,moon,ZADD,1,71736.01
4,redis-first,moon,SET,8,487804.88
4,redis-first,moon,GET,8,536193.06
4,redis-first,moon,INCR,8,339270.56
4,redis-first,moon,LPUSH,8,274536.72
4,redis-first,moon,SADD,8,245549.42
4,redis-first,moon,SPOP,8,218102.52
4,redis-first,moon,HSET,8,276434.00
4,redis-first,moon,ZADD,8,238379.03
4,redis-first,moon,SET,64,1195244.62
4,redis-first,moon,GET,64,1344114.62
4,redis-first,moon,INCR,64,683697.38
4,redis-first,moon,LPUSH,64,463401.91
4,redis-first,moon,SADD,64,357661.44
4,redis-first,moon,SPOP,64,289302.22
4,redis-first,moon,HSET,64,459287.19
4,redis-first,moon,ZADD,64,334604.53
5,moon-first,moon,SET,1,84530.86
5,moon-first,moon,GET,1,87412.59
5,moon-first,moon,INCR,1,79176.56
5,moon-first,moon,LPUSH,1,75528.70
5,moon-first,moon,SADD,1,75757.57
5,moon-first,moon,SPOP,1,71174.38
5,moon-first,moon,HSET,1,75414.78
5,moon-first,moon,ZADD,1,71994.23
5,moon-first,moon,SET,8,484848.50
5,moon-first,moon,GET,8,539811.06
5,moon-first,moon,INCR,8,340715.50
5,moon-first,moon,LPUSH,8,276816.59
5,moon-first,moon,SADD,8,249221.19
5,moon-first,moon,SPOP,8,215749.73
5,moon-first,moon,HSET,8,273597.81
5,moon-first,moon,ZADD,8,240384.61
5,moon-first,moon,SET,64,1192394.25
5,moon-first,moon,GET,64,1376176.12
5,moon-first,moon,INCR,64,695425.12
5,moon-first,moon,LPUSH,64,459146.62
5,moon-first,moon,SADD,64,356810.66
5,moon-first,moon,SPOP,64,286047.28
5,moon-first,moon,HSET,64,471708.16
5,moon-first,moon,ZADD,64,348358.56
5,moon-first,redis,SET,1,81366.97
5,moon-first,redis,GET,1,84104.29
5,moon-first,redis,INCR,1,86281.27
5,moon-first,redis,LPUSH,1,84817.64
5,moon-first,redis,SADD,1,85251.49
5,moon-first,redis,SPOP,1,85543.20
5,moon-first,redis,HSET,1,85470.09
5,moon-first,redis,ZADD,1,84388.19
5,moon-first,redis,SET,8,412796.72
5,moon-first,redis,GET,8,446927.38
5,moon-first,redis,INCR,8,450958.28
5,moon-first,redis,LPUSH,8,333055.78
5,moon-first,redis,SADD,8,312012.50
5,moon-first,redis,SPOP,8,251414.22
5,moon-first,redis,HSET,8,398009.94
5,moon-first,redis,ZADD,8,322580.66
5,moon-first,redis,SET,64,788245.94
5,moon-first,redis,GET,64,873126.88
5,moon-first,redis,INCR,64,927090.19
5,moon-first,redis,LPUSH,64,571440.75
5,moon-first,redis,SADD,64,470376.94
5,moon-first,redis,SPOP,64,319631.81
5,moon-first,redis,HSET,64,705233.62
5,moon-first,redis,ZADD,64,451137.44
