# moon: unknown sha256:5ac1a14c4430f9aa
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-12T07:06:39Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,130208.34
1,moon-first,moon,GET,1,129533.68
1,moon-first,moon,INCR,1,136239.78
1,moon-first,moon,LPUSH,1,136986.30
1,moon-first,moon,SADD,1,138312.59
1,moon-first,moon,SPOP,1,132100.39
1,moon-first,moon,HSET,1,140646.97
1,moon-first,moon,ZADD,1,133868.81
1,moon-first,moon,SET,8,796812.81
1,moon-first,moon,GET,8,919540.25
1,moon-first,moon,INCR,8,561797.75
1,moon-first,moon,LPUSH,8,438116.09
1,moon-first,moon,SADD,8,383509.12
1,moon-first,moon,SPOP,8,319488.81
1,moon-first,moon,HSET,8,439077.94
1,moon-first,moon,ZADD,8,378787.88
1,moon-first,moon,SET,64,1600888.00
1,moon-first,moon,GET,64,2269337.25
1,moon-first,moon,INCR,64,944604.50
1,moon-first,moon,LPUSH,64,628944.25
1,moon-first,moon,SADD,64,467445.28
1,moon-first,moon,SPOP,64,359978.91
1,moon-first,moon,HSET,64,644897.69
1,moon-first,moon,ZADD,64,468613.56
1,moon-first,redis,SET,1,125470.52
1,moon-first,redis,GET,1,123915.74
1,moon-first,redis,INCR,1,122699.39
1,moon-first,redis,LPUSH,1,128205.13
1,moon-first,redis,SADD,1,129032.27
1,moon-first,redis,SPOP,1,130378.09
1,moon-first,redis,HSET,1,126422.25
1,moon-first,redis,ZADD,1,128534.70
1,moon-first,redis,SET,8,652528.56
1,moon-first,redis,GET,8,706713.81
1,moon-first,redis,INCR,8,687285.19
1,moon-first,redis,LPUSH,8,526315.81
1,moon-first,redis,SADD,8,498753.12
1,moon-first,redis,SPOP,8,386473.44
1,moon-first,redis,HSET,8,612557.44
1,moon-first,redis,ZADD,8,477897.25
1,moon-first,redis,SET,64,1141576.88
1,moon-first,redis,GET,64,1300981.75
1,moon-first,redis,INCR,64,1302111.12
1,moon-first,redis,LPUSH,64,785768.44
1,moon-first,redis,SADD,64,617805.62
1,moon-first,redis,SPOP,64,489406.84
1,moon-first,redis,HSET,64,995376.25
1,moon-first,redis,ZADD,64,580283.19
2,redis-first,redis,SET,1,127388.53
2,redis-first,redis,GET,1,123304.56
2,redis-first,redis,INCR,1,122249.38
2,redis-first,redis,LPUSH,1,128700.12
2,redis-first,redis,SADD,1,129533.68
2,redis-first,redis,SPOP,1,131752.31
2,redis-first,redis,HSET,1,128369.71
2,redis-first,redis,ZADD,1,126582.27
2,redis-first,redis,SET,8,646203.56
2,redis-first,redis,GET,8,698080.25
2,redis-first,redis,INCR,8,692041.50
2,redis-first,redis,LPUSH,8,527009.25
2,redis-first,redis,SADD,8,501253.16
2,redis-first,redis,SPOP,8,432432.44
2,redis-first,redis,HSET,8,590841.94
2,redis-first,redis,ZADD,8,407331.97
2,redis-first,redis,SET,64,1161914.75
2,redis-first,redis,GET,64,1356267.75
2,redis-first,redis,INCR,64,1339314.25
2,redis-first,redis,LPUSH,64,807771.69
2,redis-first,redis,SADD,64,623195.69
2,redis-first,redis,SPOP,64,491008.81
2,redis-first,redis,HSET,64,971523.31
2,redis-first,redis,ZADD,64,565622.94
2,redis-first,moon,SET,1,128865.98
2,redis-first,moon,GET,1,131061.59
2,redis-first,moon,INCR,1,136239.78
2,redis-first,moon,LPUSH,1,138312.59
2,redis-first,moon,SADD,1,140449.44
2,redis-first,moon,SPOP,1,131406.05
2,redis-first,moon,HSET,1,138888.89
2,redis-first,moon,ZADD,1,133868.81
2,redis-first,moon,SET,8,787401.56
2,redis-first,moon,GET,8,945626.44
2,redis-first,moon,INCR,8,559440.56
2,redis-first,moon,LPUSH,8,439077.94
2,redis-first,moon,SADD,8,383141.75
2,redis-first,moon,SPOP,8,316706.25
2,redis-first,moon,HSET,8,436205.03
