# moon: unknown sha256:0b98222f4f6148a1
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Neoverse-N1 (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-12T06:34:16Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,83963.05
1,moon-first,moon,GET,1,83682.01
1,moon-first,moon,INCR,1,72516.32
1,moon-first,moon,LPUSH,1,71633.23
1,moon-first,moon,SADD,1,72306.58
1,moon-first,moon,SPOP,1,68166.33
1,moon-first,moon,HSET,1,71994.23
1,moon-first,moon,ZADD,1,69492.70
1,moon-first,moon,SET,8,470035.25
1,moon-first,moon,GET,8,521512.38
1,moon-first,moon,INCR,8,329218.09
1,moon-first,moon,LPUSH,8,254614.89
1,moon-first,moon,SADD,8,222841.23
1,moon-first,moon,SPOP,8,194931.77
1,moon-first,moon,HSET,8,255102.05
1,moon-first,moon,ZADD,8,218818.39
1,moon-first,moon,SET,64,1146813.50
1,moon-first,moon,GET,64,1332177.62
1,moon-first,moon,INCR,64,655895.06
1,moon-first,moon,LPUSH,64,409174.03
1,moon-first,moon,SADD,64,309476.38
1,moon-first,moon,SPOP,64,250130.39
1,moon-first,moon,HSET,64,414144.69
1,moon-first,moon,ZADD,64,307257.69
1,moon-first,redis,SET,1,85178.88
1,moon-first,redis,GET,1,85397.09
1,moon-first,redis,INCR,1,85397.09
1,moon-first,redis,LPUSH,1,85543.20
1,moon-first,redis,SADD,1,83963.05
1,moon-first,redis,SPOP,1,85984.52
1,moon-first,redis,HSET,1,89047.20
1,moon-first,redis,ZADD,1,83472.46
1,moon-first,redis,SET,8,438596.50
1,moon-first,redis,GET,8,443951.16
1,moon-first,redis,INCR,8,449943.75
1,moon-first,redis,LPUSH,8,339270.56
1,moon-first,redis,SADD,8,326264.28
1,moon-first,redis,SPOP,8,239808.16
1,moon-first,redis,HSET,8,392927.31
1,moon-first,redis,ZADD,8,320512.81
1,moon-first,redis,SET,64,782489.31
1,moon-first,redis,GET,64,875164.56
1,moon-first,redis,INCR,64,929964.00
1,moon-first,redis,LPUSH,64,572531.31
1,moon-first,redis,SADD,64,472451.03
1,moon-first,redis,SPOP,64,321412.47
1,moon-first,redis,HSET,64,693816.88
1,moon-first,redis,ZADD,64,446039.84
2,redis-first,redis,SET,1,81900.09
2,redis-first,redis,GET,1,83542.19
2,redis-first,redis,INCR,1,83963.05
2,redis-first,redis,LPUSH,1,83892.62
2,redis-first,redis,SADD,1,85543.20
2,redis-first,redis,SPOP,1,85543.20
2,redis-first,redis,HSET,1,82372.32
2,redis-first,redis,ZADD,1,84175.09
2,redis-first,redis,SET,8,422833.00
2,redis-first,redis,GET,8,453001.12
2,redis-first,redis,INCR,8,468384.09
2,redis-first,redis,LPUSH,8,343347.66
2,redis-first,redis,SADD,8,334448.16
2,redis-first,redis,SPOP,8,275292.50
2,redis-first,redis,HSET,8,396825.38
2,redis-first,redis,ZADD,8,276816.59
2,redis-first,redis,SET,64,783306.56
2,redis-first,redis,GET,64,866069.31
2,redis-first,redis,INCR,64,927663.56
2,redis-first,redis,LPUSH,64,548658.38
2,redis-first,redis,SADD,64,469199.88
2,redis-first,redis,SPOP,64,316529.25
2,redis-first,redis,HSET,64,664613.19
2,redis-first,redis,ZADD,64,440408.72
2,redis-first,moon,SET,1,86880.97
2,redis-first,moon,GET,1,84459.46
2,redis-first,moon,INCR,1,79491.26
2,redis-first,moon,LPUSH,1,69735.01
2,redis-first,moon,SADD,1,67430.88
