# moon: unknown sha256:d69365346d181471
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Neoverse-N1 (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-12T04:45:29Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,84459.46
1,moon-first,moon,GET,1,85470.09
1,moon-first,moon,INCR,1,85689.80
1,moon-first,moon,LPUSH,1,76045.62
1,moon-first,moon,SADD,1,73583.52
1,moon-first,moon,SPOP,1,67750.68
1,moon-first,moon,HSET,1,73637.70
1,moon-first,moon,ZADD,1,72150.07
1,moon-first,moon,SET,8,486026.72
1,moon-first,moon,GET,8,533333.31
1,moon-first,moon,INCR,8,311769.28
1,moon-first,moon,LPUSH,8,267201.06
1,moon-first,moon,SADD,8,227272.73
1,moon-first,moon,SPOP,8,198314.33
1,moon-first,moon,HSET,8,267916.94
1,moon-first,moon,ZADD,8,222717.16
1,moon-first,moon,SET,64,1134668.62
1,moon-first,moon,GET,64,1248985.88
1,moon-first,moon,INCR,64,562652.69
1,moon-first,moon,LPUSH,64,418069.12
1,moon-first,moon,SADD,64,304884.56
1,moon-first,moon,SPOP,64,244145.83
1,moon-first,moon,HSET,64,430425.25
1,moon-first,moon,ZADD,64,330621.97
1,moon-first,redis,SET,1,78554.59
1,moon-first,redis,GET,1,81168.83
1,moon-first,redis,INCR,1,82304.52
1,moon-first,redis,LPUSH,1,85106.38
1,moon-first,redis,SADD,1,85324.23
1,moon-first,redis,SPOP,1,84602.37
1,moon-first,redis,HSET,1,85397.09
1,moon-first,redis,ZADD,1,86281.27
1,moon-first,redis,SET,8,423728.81
1,moon-first,redis,GET,8,451977.41
1,moon-first,redis,INCR,8,466200.47
1,moon-first,redis,LPUSH,8,343642.59
1,moon-first,redis,SADD,8,335570.47
1,moon-first,redis,SPOP,8,243309.00
1,moon-first,redis,HSET,8,387596.91
1,moon-first,redis,ZADD,8,321543.41
1,moon-first,redis,SET,64,770828.38
1,moon-first,redis,GET,64,850358.25
1,moon-first,redis,INCR,64,917450.75
1,moon-first,redis,LPUSH,64,558671.12
1,moon-first,redis,SADD,64,459568.62
1,moon-first,redis,SPOP,64,310437.09
1,moon-first,redis,HSET,64,692535.56
1,moon-first,redis,ZADD,64,448440.06
2,redis-first,redis,SET,1,85763.29
2,redis-first,redis,GET,1,84104.29
2,redis-first,redis,INCR,1,82987.55
2,redis-first,redis,LPUSH,1,86058.52
2,redis-first,redis,SADD,1,84388.19
2,redis-first,redis,SPOP,1,84245.99
2,redis-first,redis,HSET,1,82644.62
2,redis-first,redis,ZADD,1,85543.20
2,redis-first,redis,SET,8,402010.06
2,redis-first,redis,GET,8,445434.31
2,redis-first,redis,INCR,8,448933.78
2,redis-first,redis,LPUSH,8,320512.81
2,redis-first,redis,SADD,8,321802.09
2,redis-first,redis,SPOP,8,274536.72
2,redis-first,redis,HSET,8,389483.94
2,redis-first,redis,ZADD,8,278357.69
2,redis-first,redis,SET,64,794508.50
2,redis-first,redis,GET,64,875164.56
2,redis-first,redis,INCR,64,930540.94
2,redis-first,redis,LPUSH,64,575165.62
2,redis-first,redis,SADD,64,467445.28
2,redis-first,redis,SPOP,64,315729.75
2,redis-first,redis,HSET,64,667868.19
2,redis-first,redis,ZADD,64,442487.31
2,redis-first,moon,SET,1,86430.43
2,redis-first,moon,GET,1,84459.46
2,redis-first,moon,INCR,1,78431.38
2,redis-first,moon,LPUSH,1,74074.07
2,redis-first,moon,SADD,1,70077.09
