# moon: unknown sha256:acbfed4f0539b943
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Neoverse-N1 (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-12T06:51:48Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,87032.20
1,moon-first,moon,GET,1,88261.25
1,moon-first,moon,INCR,1,78802.20
1,moon-first,moon,LPUSH,1,75018.76
1,moon-first,moon,SADD,1,68540.09
1,moon-first,moon,SPOP,1,69492.70
1,moon-first,moon,HSET,1,73529.41
1,moon-first,moon,ZADD,1,69930.07
1,moon-first,moon,SET,8,495049.50
1,moon-first,moon,GET,8,561797.75
1,moon-first,moon,INCR,8,309358.09
1,moon-first,moon,LPUSH,8,262639.53
1,moon-first,moon,SADD,8,235294.11
1,moon-first,moon,SPOP,8,211864.41
1,moon-first,moon,HSET,8,265252.00
1,moon-first,moon,ZADD,8,228440.89
1,moon-first,moon,SET,64,1171900.00
1,moon-first,moon,GET,64,1328637.75
1,moon-first,moon,INCR,64,586637.50
1,moon-first,moon,LPUSH,64,427969.19
1,moon-first,moon,SADD,64,329677.34
1,moon-first,moon,SPOP,64,272782.69
1,moon-first,moon,HSET,64,440408.72
1,moon-first,moon,ZADD,64,315199.00
1,moon-first,redis,SET,1,83892.62
1,moon-first,redis,GET,1,84889.65
1,moon-first,redis,INCR,1,84889.65
1,moon-first,redis,LPUSH,1,89365.51
1,moon-first,redis,SADD,1,83542.19
1,moon-first,redis,SPOP,1,84961.77
1,moon-first,redis,HSET,1,83333.33
1,moon-first,redis,ZADD,1,83822.30
1,moon-first,redis,SET,8,414937.75
1,moon-first,redis,GET,8,449438.22
1,moon-first,redis,INCR,8,460299.19
1,moon-first,redis,LPUSH,8,336417.16
1,moon-first,redis,SADD,8,316455.69
1,moon-first,redis,SPOP,8,239377.62
1,moon-first,redis,HSET,8,387972.84
1,moon-first,redis,ZADD,8,314712.81
1,moon-first,redis,SET,64,778024.94
1,moon-first,redis,GET,64,854719.06
1,moon-first,redis,INCR,64,896076.44
1,moon-first,redis,LPUSH,64,540162.75
1,moon-first,redis,SADD,64,449649.88
1,moon-first,redis,SPOP,64,301029.91
1,moon-first,redis,HSET,64,661098.25
1,moon-first,redis,ZADD,64,454417.44
2,redis-first,redis,SET,1,79239.30
2,redis-first,redis,GET,1,85616.44
2,redis-first,redis,INCR,1,86058.52
2,redis-first,redis,LPUSH,1,84104.29
2,redis-first,redis,SADD,1,83612.04
2,redis-first,redis,SPOP,1,88261.25
2,redis-first,redis,HSET,1,86730.27
2,redis-first,redis,ZADD,1,84817.64
2,redis-first,redis,SET,8,408997.97
