# moon: unknown sha256:288e113a37ac7128
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-12T06:40:11Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,129701.68
1,moon-first,moon,GET,1,129701.68
1,moon-first,moon,INCR,1,136798.91
1,moon-first,moon,LPUSH,1,139860.14
1,moon-first,moon,SADD,1,139275.77
1,moon-first,moon,SPOP,1,132100.39
1,moon-first,moon,HSET,1,137551.58
1,moon-first,moon,ZADD,1,131926.12
1,moon-first,moon,SET,8,787401.56
1,moon-first,moon,GET,8,932400.94
1,moon-first,moon,INCR,8,514800.50
1,moon-first,moon,LPUSH,8,425079.72
1,moon-first,moon,SADD,8,373134.31
1,moon-first,moon,SPOP,8,318725.09
1,moon-first,moon,HSET,8,425531.91
1,moon-first,moon,ZADD,8,360360.34
1,moon-first,moon,SET,64,1599181.25
1,moon-first,moon,GET,64,2127705.00
1,moon-first,moon,INCR,64,819689.62
1,moon-first,moon,LPUSH,64,595487.06
1,moon-first,moon,SADD,64,454555.16
1,moon-first,moon,SPOP,64,357490.94
1,moon-first,moon,HSET,64,604607.81
1,moon-first,moon,ZADD,64,423379.06
1,moon-first,redis,SET,1,127226.46
1,moon-first,redis,GET,1,122249.38
1,moon-first,redis,INCR,1,122850.12
1,moon-first,redis,LPUSH,1,128865.98
1,moon-first,redis,SADD,1,128534.70
1,moon-first,redis,SPOP,1,131578.95
1,moon-first,redis,HSET,1,129198.97
1,moon-first,redis,ZADD,1,128865.98
1,moon-first,redis,SET,8,651465.75
1,moon-first,redis,GET,8,682593.81
1,moon-first,redis,INCR,8,680272.12
1,moon-first,redis,LPUSH,8,527704.50
1,moon-first,redis,SADD,8,504413.62
1,moon-first,redis,SPOP,8,427350.44
1,moon-first,redis,HSET,8,593471.81
1,moon-first,redis,ZADD,8,403632.69
1,moon-first,redis,SET,64,1150331.25
1,moon-first,redis,GET,64,1311216.75
1,moon-first,redis,INCR,64,1252113.62
1,moon-first,redis,LPUSH,64,808642.56
1,moon-first,redis,SADD,64,620104.19
1,moon-first,redis,SPOP,64,485447.25
1,moon-first,redis,HSET,64,956653.06
1,moon-first,redis,ZADD,64,569272.12
2,redis-first,redis,SET,1,125156.45
2,redis-first,redis,GET,1,123609.39
2,redis-first,redis,INCR,1,121359.23
2,redis-first,redis,LPUSH,1,128700.12
2,redis-first,redis,SADD,1,128205.13
2,redis-first,redis,SPOP,1,130548.30
2,redis-first,redis,HSET,1,127877.23
2,redis-first,redis,ZADD,1,128369.71
2,redis-first,redis,SET,8,654664.50
2,redis-first,redis,GET,8,707964.62
2,redis-first,redis,INCR,8,701754.38
2,redis-first,redis,LPUSH,8,534045.38
2,redis-first,redis,SADD,8,506329.09
2,redis-first,redis,SPOP,8,389863.53
2,redis-first,redis,HSET,8,608828.00
2,redis-first,redis,ZADD,8,486026.72
2,redis-first,redis,SET,64,1152983.88
2,redis-first,redis,GET,64,1310071.62
2,redis-first,redis,INCR,64,1316972.75
2,redis-first,redis,LPUSH,64,793667.75
2,redis-first,redis,SADD,64,619336.12
2,redis-first,redis,SPOP,64,492298.00
2,redis-first,redis,HSET,64,986863.19
2,redis-first,redis,ZADD,64,578269.81
2,redis-first,moon,SET,1,131233.59
2,redis-first,moon,GET,1,131926.12
2,redis-first,moon,INCR,1,137551.58
2,redis-first,moon,LPUSH,1,140845.08
2,redis-first,moon,SADD,1,138888.89
2,redis-first,moon,SPOP,1,132275.14
2,redis-first,moon,HSET,1,136239.78
2,redis-first,moon,ZADD,1,132450.33
2,redis-first,moon,SET,8,792079.19
2,redis-first,moon,GET,8,941176.44
2,redis-first,moon,INCR,8,513478.84
2,redis-first,moon,LPUSH,8,424628.47
2,redis-first,moon,SADD,8,366300.38
2,redis-first,moon,SPOP,8,311769.28
2,redis-first,moon,HSET,8,417972.81
2,redis-first,moon,ZADD,8,353669.31
2,redis-first,moon,SET,64,1607751.25
2,redis-first,moon,GET,64,2199460.50
2,redis-first,moon,INCR,64,808642.56
2,redis-first,moon,LPUSH,64,591029.12
2,redis-first,moon,SADD,64,450054.62
2,redis-first,moon,SPOP,64,353031.78
2,redis-first,moon,HSET,64,604120.81
2,redis-first,moon,ZADD,64,417719.84
3,moon-first,moon,SET,1,130378.09
3,moon-first,moon,GET,1,130548.30
3,moon-first,moon,INCR,1,137362.64
3,moon-first,moon,LPUSH,1,140252.45
3,moon-first,moon,SADD,1,137551.58
3,moon-first,moon,SPOP,1,131406.05
3,moon-first,moon,HSET,1,136986.30
3,moon-first,moon,ZADD,1,130718.95
3,moon-first,moon,SET,8,787401.56
3,moon-first,moon,GET,8,923787.56
3,moon-first,moon,INCR,8,504413.62
3,moon-first,moon,LPUSH,8,425531.91
3,moon-first,moon,SADD,8,369685.75
3,moon-first,moon,SPOP,8,318725.09
3,moon-first,moon,HSET,8,422833.00
3,moon-first,moon,ZADD,8,362976.41
3,moon-first,moon,SET,64,1536918.00
3,moon-first,moon,GET,64,2232190.50
3,moon-first,moon,INCR,64,818794.75
3,moon-first,moon,LPUSH,64,589403.50
3,moon-first,moon,SADD,64,451001.81
3,moon-first,moon,SPOP,64,352782.69
3,moon-first,moon,HSET,64,602180.69
3,moon-first,moon,ZADD,64,420294.75
3,moon-first,redis,SET,1,125944.58
3,moon-first,redis,GET,1,122549.02
3,moon-first,redis,INCR,1,123456.79
3,moon-first,redis,LPUSH,1,127713.92
3,moon-first,redis,SADD,1,129032.27
3,moon-first,redis,SPOP,1,130890.05
3,moon-first,redis,HSET,1,128369.71
3,moon-first,redis,ZADD,1,128205.13
3,moon-first,redis,SET,8,657894.75
3,moon-first,redis,GET,8,707964.62
3,moon-first,redis,INCR,8,700525.44
3,moon-first,redis,LPUSH,8,526315.81
3,moon-first,redis,SADD,8,504413.62
3,moon-first,redis,SPOP,8,436681.22
3,moon-first,redis,HSET,8,598802.44
3,moon-first,redis,ZADD,8,410677.62
3,moon-first,redis,SET,64,1160117.62
3,moon-first,redis,GET,64,1332177.62
3,moon-first,redis,INCR,64,1346527.88
3,moon-first,redis,LPUSH,64,802585.38
3,moon-first,redis,SADD,64,619591.88
3,moon-first,redis,SPOP,64,492945.12
3,moon-first,redis,HSET,64,944604.50
3,moon-first,redis,ZADD,64,568193.94
4,redis-first,redis,SET,1,124688.28
4,redis-first,redis,GET,1,122399.02
4,redis-first,redis,INCR,1,123001.23
4,redis-first,redis,LPUSH,1,127877.23
4,redis-first,redis,SADD,1,128205.13
4,redis-first,redis,SPOP,1,130039.02
4,redis-first,redis,HSET,1,128369.71
4,redis-first,redis,ZADD,1,127877.23
4,redis-first,redis,SET,8,649350.62
4,redis-first,redis,GET,8,702987.69
4,redis-first,redis,INCR,8,679117.19
4,redis-first,redis,LPUSH,8,532623.19
4,redis-first,redis,SADD,8,504413.62
4,redis-first,redis,SPOP,8,385356.47
4,redis-first,redis,HSET,8,600600.56
4,redis-first,redis,ZADD,8,483091.78
4,redis-first,redis,SET,64,1142446.38
4,redis-first,redis,GET,64,1307787.38
4,redis-first,redis,INCR,64,1219538.25
4,redis-first,redis,LPUSH,64,789075.19
4,redis-first,redis,SADD,64,622161.75
4,redis-first,redis,SPOP,64,486391.69
4,redis-first,redis,HSET,64,980413.06
4,redis-first,redis,ZADD,64,579834.56
4,redis-first,moon,SET,1,129701.68
4,redis-first,moon,GET,1,130208.34
4,redis-first,moon,INCR,1,135318.00
4,redis-first,moon,LPUSH,1,139860.14
4,redis-first,moon,SADD,1,137931.03
4,redis-first,moon,SPOP,1,130890.05
4,redis-first,moon,HSET,1,135869.56
4,redis-first,moon,ZADD,1,131061.59
4,redis-first,moon,SET,8,784313.75
4,redis-first,moon,GET,8,928074.25
4,redis-first,moon,INCR,8,504413.62
4,redis-first,moon,LPUSH,8,421052.62
4,redis-first,moon,SADD,8,370027.75
4,redis-first,moon,SPOP,8,316205.53
4,redis-first,moon,HSET,8,417101.16
4,redis-first,moon,ZADD,8,352112.66
4,redis-first,moon,SET,64,1600888.00
4,redis-first,moon,GET,64,2173959.50
4,redis-first,moon,INCR,64,816566.12
4,redis-first,moon,LPUSH,64,587326.56
4,redis-first,moon,SADD,64,452634.91
4,redis-first,moon,SPOP,64,356725.81
4,redis-first,moon,HSET,64,600493.19
4,redis-first,moon,ZADD,64,421357.31
5,moon-first,moon,SET,1,130548.30
5,moon-first,moon,GET,1,130378.09
5,moon-first,moon,INCR,1,136798.91
5,moon-first,moon,LPUSH,1,139664.80
5,moon-first,moon,SADD,1,137931.03
5,moon-first,moon,SPOP,1,131752.31
5,moon-first,moon,HSET,1,136986.30
5,moon-first,moon,ZADD,1,131233.59
5,moon-first,moon,SET,8,779727.06
5,moon-first,moon,GET,8,928074.25
5,moon-first,moon,INCR,8,512163.88
5,moon-first,moon,LPUSH,8,425985.09
5,moon-first,moon,SADD,8,370027.75
5,moon-first,moon,SPOP,8,315457.41
5,moon-first,moon,HSET,8,417536.53
5,moon-first,moon,ZADD,8,359066.44
5,moon-first,moon,SET,64,1574010.50
5,moon-first,moon,GET,64,2133758.25
5,moon-first,moon,INCR,64,816566.12
5,moon-first,moon,LPUSH,64,587096.69
5,moon-first,moon,SADD,64,445907.25
5,moon-first,moon,SPOP,64,353281.22
5,moon-first,moon,HSET,64,595014.69
5,moon-first,moon,ZADD,64,414717.16
5,moon-first,redis,SET,1,125470.52
5,moon-first,redis,GET,1,123915.74
5,moon-first,redis,INCR,1,123915.74
5,moon-first,redis,LPUSH,1,129032.27
5,moon-first,redis,SADD,1,128534.70
5,moon-first,redis,SPOP,1,128534.70
5,moon-first,redis,HSET,1,128369.71
5,moon-first,redis,ZADD,1,127877.23
5,moon-first,redis,SET,8,650406.50
5,moon-first,redis,GET,8,694444.50
5,moon-first,redis,INCR,8,674536.25
5,moon-first,redis,LPUSH,8,531208.50
5,moon-first,redis,SADD,8,491400.50
5,moon-first,redis,SPOP,8,380228.12
5,moon-first,redis,HSET,8,606060.56
5,moon-first,redis,ZADD,8,483675.94
5,moon-first,redis,SET,64,1141576.88
5,moon-first,redis,GET,64,1273371.88
5,moon-first,redis,INCR,64,1200986.38
5,moon-first,redis,LPUSH,64,798314.00
5,moon-first,redis,SADD,64,611011.00
5,moon-first,redis,SPOP,64,490366.78
5,moon-first,redis,HSET,64,979133.19
5,moon-first,redis,ZADD,64,576491.94
