# moon: unknown sha256:8a9ca343d48a8e62
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Neoverse-N1 (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-12T04:23:34Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,87565.68
1,moon-first,moon,GET,1,84033.61
1,moon-first,moon,INCR,1,77339.52
1,moon-first,moon,LPUSH,1,72463.77
1,moon-first,moon,SADD,1,71581.96
1,moon-first,moon,SPOP,1,67430.88
1,moon-first,moon,HSET,1,73099.41
1,moon-first,moon,ZADD,1,70126.23
1,moon-first,moon,SET,8,481927.72
1,moon-first,moon,GET,8,527009.25
1,moon-first,moon,INCR,8,310077.53
1,moon-first,moon,LPUSH,8,251572.33
1,moon-first,moon,SADD,8,223588.59
1,moon-first,moon,SPOP,8,198314.33
1,moon-first,moon,HSET,8,254452.92
1,moon-first,moon,ZADD,8,216567.41
1,moon-first,moon,SET,64,1152983.88
1,moon-first,moon,GET,64,1255256.88
1,moon-first,moon,INCR,64,563498.12
1,moon-first,moon,LPUSH,64,396309.62
1,moon-first,moon,SADD,64,306004.09
1,moon-first,moon,SPOP,64,250047.00
1,moon-first,moon,HSET,64,415291.25
1,moon-first,moon,ZADD,64,315729.75
1,moon-first,redis,SET,1,81699.35
1,moon-first,redis,GET,1,82712.98
1,moon-first,redis,INCR,1,83056.48
1,moon-first,redis,LPUSH,1,87260.03
1,moon-first,redis,SADD,1,85106.38
1,moon-first,redis,SPOP,1,86206.90
1,moon-first,redis,HSET,1,84889.65
1,moon-first,redis,ZADD,1,80515.30
1,moon-first,redis,SET,8,422833.00
1,moon-first,redis,GET,8,453001.12
1,moon-first,redis,INCR,8,468384.09
1,moon-first,redis,LPUSH,8,340425.53
1,moon-first,redis,SADD,8,330851.94
1,moon-first,redis,SPOP,8,252047.89
1,moon-first,redis,HSET,8,399600.38
1,moon-first,redis,ZADD,8,322580.66
1,moon-first,redis,SET,64,788245.94
1,moon-first,redis,GET,64,871604.88
1,moon-first,redis,INCR,64,921395.56
1,moon-first,redis,LPUSH,64,569272.12
1,moon-first,redis,SADD,64,471115.56
1,moon-first,redis,SPOP,64,315596.91
1,moon-first,redis,HSET,64,694459.25
1,moon-first,redis,ZADD,64,451816.88
2,redis-first,redis,SET,1,86956.52
2,redis-first,redis,GET,1,83822.30
2,redis-first,redis,INCR,1,85763.29
2,redis-first,redis,LPUSH,1,85616.44
2,redis-first,redis,SADD,1,85543.20
2,redis-first,redis,SPOP,1,88261.25
2,redis-first,redis,HSET,1,84530.86
2,redis-first,redis,ZADD,1,87412.59
2,redis-first,redis,SET,8,413223.16
2,redis-first,redis,GET,8,448933.78
2,redis-first,redis,INCR,8,450958.28
2,redis-first,redis,LPUSH,8,335852.22
2,redis-first,redis,SADD,8,325998.38
2,redis-first,redis,SPOP,8,247524.75
2,redis-first,redis,HSET,8,388726.91
2,redis-first,redis,ZADD,8,304414.00
2,redis-first,redis,SET,64,745913.50
2,redis-first,redis,GET,64,847954.75
2,redis-first,redis,INCR,64,898222.75
2,redis-first,redis,LPUSH,64,559713.44
2,redis-first,redis,SADD,64,463115.75
2,redis-first,redis,SPOP,64,313551.84
2,redis-first,redis,HSET,64,684633.50
2,redis-first,redis,ZADD,64,445509.94
2,redis-first,moon,SET,1,86730.27
2,redis-first,moon,GET,1,85470.09
2,redis-first,moon,INCR,1,77881.62
2,redis-first,moon,LPUSH,1,73152.89
2,redis-first,moon,SADD,1,71839.09
2,redis-first,moon,SPOP,1,67430.88
2,redis-first,moon,HSET,1,73046.02
2,redis-first,moon,ZADD,1,68775.79
2,redis-first,moon,SET,8,472255.03
2,redis-first,moon,GET,8,524934.38
2,redis-first,moon,INCR,8,306278.72
2,redis-first,moon,LPUSH,8,254939.45
2,redis-first,moon,SADD,8,224215.23
2,redis-first,moon,SPOP,8,196174.59
2,redis-first,moon,HSET,8,253968.25
2,redis-first,moon,ZADD,8,222469.41
2,redis-first,moon,SET,64,1146813.50
2,redis-first,moon,GET,64,1310071.62
2,redis-first,moon,INCR,64,575165.62
2,redis-first,moon,LPUSH,64,406953.88
2,redis-first,moon,SADD,64,314406.22
2,redis-first,moon,SPOP,64,251093.41
2,redis-first,moon,HSET,64,423259.59
2,redis-first,moon,ZADD,64,308585.06
3,moon-first,moon,SET,1,85763.29
3,moon-first,moon,GET,1,89047.20
3,moon-first,moon,INCR,1,78616.35
3,moon-first,moon,LPUSH,1,72098.05
3,moon-first,moon,SADD,1,72780.20
3,moon-first,moon,SPOP,1,67567.57
3,moon-first,moon,HSET,1,72516.32
3,moon-first,moon,ZADD,1,68306.01
3,moon-first,moon,SET,8,484261.53
3,moon-first,moon,GET,8,522193.22
3,moon-first,moon,INCR,8,314712.81
3,moon-first,moon,LPUSH,8,256410.27
3,moon-first,moon,SADD,8,222469.41
3,moon-first,moon,SPOP,8,192215.27
3,moon-first,moon,HSET,8,256081.94
3,moon-first,moon,ZADD,8,221238.94
3,moon-first,moon,SET,64,1165526.12
3,moon-first,moon,GET,64,1341710.12
3,moon-first,moon,INCR,64,586408.12
3,moon-first,moon,LPUSH,64,408505.47
3,moon-first,moon,SADD,64,309604.16
3,moon-first,moon,SPOP,64,253340.98
3,moon-first,moon,HSET,64,421357.31
3,moon-first,moon,ZADD,64,310052.09
3,moon-first,redis,SET,1,85836.91
3,moon-first,redis,GET,1,85689.80
3,moon-first,redis,INCR,1,82987.55
3,moon-first,redis,LPUSH,1,83822.30
3,moon-first,redis,SADD,1,86956.52
3,moon-first,redis,SPOP,1,86580.09
3,moon-first,redis,HSET,1,86956.52
3,moon-first,redis,ZADD,1,83542.19
3,moon-first,redis,SET,8,401606.44
3,moon-first,redis,GET,8,434782.59
3,moon-first,redis,INCR,8,444938.81
3,moon-first,redis,LPUSH,8,329218.09
3,moon-first,redis,SADD,8,322061.19
3,moon-first,redis,SPOP,8,273597.81
3,moon-first,redis,HSET,8,379506.62
3,moon-first,redis,ZADD,8,270087.78
3,moon-first,redis,SET,64,785357.06
3,moon-first,redis,GET,64,869583.75
3,moon-first,redis,INCR,64,927090.19
3,moon-first,redis,LPUSH,64,571005.69
3,moon-first,redis,SADD,64,472451.03
3,moon-first,redis,SPOP,64,317198.56
3,moon-first,redis,HSET,64,682763.75
3,moon-first,redis,ZADD,64,435802.44
4,redis-first,redis,SET,1,86956.52
4,redis-first,redis,GET,1,85763.29
4,redis-first,redis,INCR,1,86206.90
4,redis-first,redis,LPUSH,1,86281.27
4,redis-first,redis,SADD,1,86355.79
4,redis-first,redis,SPOP,1,85543.20
4,redis-first,redis,HSET,1,85034.02
4,redis-first,redis,ZADD,1,82712.98
4,redis-first,redis,SET,8,395647.84
4,redis-first,redis,GET,8,448430.47
4,redis-first,redis,INCR,8,441014.34
4,redis-first,redis,LPUSH,8,338696.03
4,redis-first,redis,SADD,8,324412.00
4,redis-first,redis,SPOP,8,248138.95
4,redis-first,redis,HSET,8,380589.91
4,redis-first,redis,ZADD,8,306044.38
4,redis-first,redis,SET,64,766495.62
4,redis-first,redis,GET,64,859124.81
4,redis-first,redis,INCR,64,901461.50
4,redis-first,redis,LPUSH,64,562863.81
4,redis-first,redis,SADD,64,469934.84
4,redis-first,redis,SPOP,64,316462.47
4,redis-first,redis,HSET,64,675994.56
4,redis-first,redis,ZADD,64,446571.00
4,redis-first,moon,SET,1,86805.56
4,redis-first,moon,GET,1,82169.27
4,redis-first,moon,INCR,1,81103.00
4,redis-first,moon,LPUSH,1,74682.60
4,redis-first,moon,SADD,1,73475.39
4,redis-first,moon,SPOP,1,68965.52
4,redis-first,moon,HSET,1,73099.41
4,redis-first,moon,ZADD,1,69735.01
4,redis-first,moon,SET,8,477326.97
4,redis-first,moon,GET,8,529100.56
4,redis-first,moon,INCR,8,308641.97
4,redis-first,moon,LPUSH,8,252844.50
4,redis-first,moon,SADD,8,223338.92
4,redis-first,moon,SPOP,8,194741.97
4,redis-first,moon,HSET,8,243902.44
4,redis-first,moon,ZADD,8,213106.02
4,redis-first,moon,SET,64,1094913.88
4,redis-first,moon,GET,64,1235611.25
4,redis-first,moon,INCR,64,568840.31
4,redis-first,moon,LPUSH,64,386108.62
4,redis-first,moon,SADD,64,309221.19
4,redis-first,moon,SPOP,64,252573.16
4,redis-first,moon,HSET,64,415982.25
4,redis-first,moon,ZADD,64,306316.53
5,moon-first,moon,SET,1,86956.52
5,moon-first,moon,GET,1,85106.38
5,moon-first,moon,INCR,1,77220.08
5,moon-first,moon,LPUSH,1,74019.25
5,moon-first,moon,SADD,1,71174.38
5,moon-first,moon,SPOP,1,67613.25
5,moon-first,moon,HSET,1,72306.58
5,moon-first,moon,ZADD,1,68119.89
5,moon-first,moon,SET,8,479041.94
5,moon-first,moon,GET,8,526315.81
5,moon-first,moon,INCR,8,312256.03
5,moon-first,moon,LPUSH,8,251730.66
5,moon-first,moon,SADD,8,218579.23
5,moon-first,moon,SPOP,8,195886.38
5,moon-first,moon,HSET,8,254291.17
5,moon-first,moon,ZADD,8,220994.48
5,moon-first,moon,SET,64,1145062.62
5,moon-first,moon,GET,64,1297605.50
5,moon-first,moon,INCR,64,570354.38
5,moon-first,moon,LPUSH,64,396833.88
5,moon-first,moon,SADD,64,306943.31
5,moon-first,moon,SPOP,64,251556.61
5,moon-first,moon,HSET,64,418886.34
5,moon-first,moon,ZADD,64,305318.94
5,moon-first,redis,SET,1,78802.20
5,moon-first,redis,GET,1,80971.66
5,moon-first,redis,INCR,1,78988.94
5,moon-first,redis,LPUSH,1,84602.37
5,moon-first,redis,SADD,1,83963.05
5,moon-first,redis,SPOP,1,86430.43
5,moon-first,redis,HSET,1,84961.77
5,moon-first,redis,ZADD,1,86355.79
5,moon-first,redis,SET,8,417972.81
5,moon-first,redis,GET,8,461893.78
5,moon-first,redis,INCR,8,465116.28
5,moon-first,redis,LPUSH,8,338123.44
5,moon-first,redis,SADD,8,335852.22
5,moon-first,redis,SPOP,8,279720.28
5,moon-first,redis,HSET,8,387596.91
5,moon-first,redis,ZADD,8,276243.09
5,moon-first,redis,SET,64,781266.69
5,moon-first,redis,GET,64,858141.88
5,moon-first,redis,INCR,64,908559.62
5,moon-first,redis,LPUSH,64,567119.88
5,moon-first,redis,SADD,64,467736.81
5,moon-first,redis,SPOP,64,315331.50
5,moon-first,redis,HSET,64,669956.19
5,moon-first,redis,ZADD,64,435802.44
