# moon: unknown sha256:372744b51bf5213d
# redis: Redis server v=7.0.15 sha=00000000:0 malloc=jemalloc-5.3.0 bits=64 build=e53ff17674aa6190
# cpu: Neoverse-N1 (8 cores)
# kernel: Linux 7.0.0-1011-gcp
# shards: 1 clients: 50 keyspace: 100000 reps: 5
# date: 2026-09-12T04:31:27Z
rep,order,engine,family,depth,rps
1,moon-first,moon,SET,1,85470.09
1,moon-first,moon,GET,1,84745.77
1,moon-first,moon,INCR,1,80064.05
1,moon-first,moon,LPUSH,1,71275.84
1,moon-first,moon,SADD,1,72150.07
1,moon-first,moon,SPOP,1,67204.30
1,moon-first,moon,HSET,1,79428.12
1,moon-first,moon,ZADD,1,68212.83
1,moon-first,moon,SET,8,466744.47
1,moon-first,moon,GET,8,504413.62
1,moon-first,moon,INCR,8,309119.00
1,moon-first,moon,LPUSH,8,251414.22
1,moon-first,moon,SADD,8,223463.69
1,moon-first,moon,SPOP,8,195503.42
1,moon-first,moon,HSET,8,253324.89
1,moon-first,moon,ZADD,8,220507.17
1,moon-first,moon,SET,64,1127843.62
1,moon-first,moon,GET,64,1316972.75
1,moon-first,moon,INCR,64,575165.62
1,moon-first,moon,LPUSH,64,403126.03
1,moon-first,moon,SADD,64,306004.09
1,moon-first,moon,SPOP,64,253426.59
1,moon-first,moon,HSET,64,409285.69
1,moon-first,moon,ZADD,64,303527.31
1,moon-first,redis,SET,1,84388.19
1,moon-first,redis,GET,1,82712.98
1,moon-first,redis,INCR,1,83402.84
1,moon-first,redis,LPUSH,1,86655.11
1,moon-first,redis,SADD,1,84889.65
1,moon-first,redis,SPOP,1,87108.02
1,moon-first,redis,HSET,1,85763.29
1,moon-first,redis,ZADD,1,80710.25
1,moon-first,redis,SET,8,430107.53
1,moon-first,redis,GET,8,449438.22
1,moon-first,redis,INCR,8,458190.12
1,moon-first,redis,LPUSH,8,339270.56
1,moon-first,redis,SADD,8,343053.16
1,moon-first,redis,SPOP,8,261267.14
1,moon-first,redis,HSET,8,390243.91
1,moon-first,redis,ZADD,8,275482.09
1,moon-first,redis,SET,64,786180.31
1,moon-first,redis,GET,64,888644.56
1,moon-first,redis,INCR,64,927090.19
1,moon-first,redis,LPUSH,64,573187.62
1,moon-first,redis,SADD,64,468906.56
1,moon-first,redis,SPOP,64,311403.78
1,moon-first,redis,HSET,64,678440.56
1,moon-first,redis,ZADD,64,440408.72
2,redis-first,redis,SET,1,81900.09
2,redis-first,redis,GET,1,83194.67
2,redis-first,redis,INCR,1,86430.43
2,redis-first,redis,LPUSH,1,84602.37
2,redis-first,redis,SADD,1,86355.79
2,redis-first,redis,SPOP,1,86281.27
2,redis-first,redis,HSET,1,84175.09
2,redis-first,redis,ZADD,1,83542.19
2,redis-first,redis,SET,8,400400.41
2,redis-first,redis,GET,8,434310.53
2,redis-first,redis,INCR,8,449438.22
2,redis-first,redis,LPUSH,8,336983.97
2,redis-first,redis,SADD,8,322580.66
2,redis-first,redis,SPOP,8,264725.34
2,redis-first,redis,HSET,8,372786.59
2,redis-first,redis,ZADD,8,271739.12
2,redis-first,redis,SET,64,764932.19
2,redis-first,redis,GET,64,857161.12
2,redis-first,redis,INCR,64,916889.94
2,redis-first,redis,LPUSH,64,564558.50
2,redis-first,redis,SADD,64,463545.09
2,redis-first,redis,SPOP,64,307006.12
2,redis-first,redis,HSET,64,659644.69
2,redis-first,redis,ZADD,64,436309.50
2,redis-first,moon,SET,1,81967.21
2,redis-first,moon,GET,1,84388.19
2,redis-first,moon,INCR,1,77881.62
2,redis-first,moon,LPUSH,1,74128.98
2,redis-first,moon,SADD,1,72674.41
2,redis-first,moon,SPOP,1,67659.00
2,redis-first,moon,HSET,1,71994.23
2,redis-first,moon,ZADD,1,68166.33
2,redis-first,moon,SET,8,479041.94
2,redis-first,moon,GET,8,510855.69
2,redis-first,moon,INCR,8,311526.47
2,redis-first,moon,LPUSH,8,253164.55
2,redis-first,moon,SADD,8,221729.48
2,redis-first,moon,SPOP,8,195982.38
2,redis-first,moon,HSET,8,254291.17
2,redis-first,moon,ZADD,8,218938.14
2,redis-first,moon,SET,64,1078383.88
2,redis-first,moon,GET,64,1201948.75
2,redis-first,moon,INCR,64,571658.50
2,redis-first,moon,LPUSH,64,403017.75
2,redis-first,moon,SADD,64,307698.88
2,redis-first,moon,SPOP,64,254199.62
2,redis-first,moon,HSET,64,417139.06
2,redis-first,moon,ZADD,64,304946.53
3,moon-first,moon,SET,1,85251.49
3,moon-first,moon,GET,1,86580.09
3,moon-first,moon,INCR,1,78740.16
3,moon-first,moon,LPUSH,1,73313.78
3,moon-first,moon,SADD,1,72939.46
3,moon-first,moon,SPOP,1,68259.38
3,moon-first,moon,HSET,1,72202.16
3,moon-first,moon,ZADD,1,68446.27
3,moon-first,moon,SET,8,481347.78
3,moon-first,moon,GET,8,516129.06
3,moon-first,moon,INCR,8,300075.03
3,moon-first,moon,LPUSH,8,250000.00
3,moon-first,moon,SADD,8,222841.23
3,moon-first,moon,SPOP,8,197921.83
3,moon-first,moon,HSET,8,256574.72
3,moon-first,moon,ZADD,8,221852.47
3,moon-first,moon,SET,64,1173734.00
3,moon-first,moon,GET,64,1342911.38
3,moon-first,moon,INCR,64,591962.12
3,moon-first,moon,LPUSH,64,408839.47
3,moon-first,moon,SADD,64,312897.78
3,moon-first,moon,SPOP,64,256153.00
3,moon-first,moon,HSET,64,422425.22
3,moon-first,moon,ZADD,64,308648.56
3,moon-first,redis,SET,1,85470.09
3,moon-first,redis,GET,1,85763.29
3,moon-first,redis,INCR,1,86655.11
3,moon-first,redis,LPUSH,1,83892.62
3,moon-first,redis,SADD,1,84245.99
3,moon-first,redis,SPOP,1,85178.88
3,moon-first,redis,HSET,1,85836.91
3,moon-first,redis,ZADD,1,82576.38
3,moon-first,redis,SET,8,416666.69
3,moon-first,redis,GET,8,433839.47
3,moon-first,redis,INCR,8,452488.69
3,moon-first,redis,LPUSH,8,335570.47
3,moon-first,redis,SADD,8,323886.62
3,moon-first,redis,SPOP,8,245549.42
3,moon-first,redis,HSET,8,383509.12
3,moon-first,redis,ZADD,8,310800.31
3,moon-first,redis,SET,64,768852.88
3,moon-first,redis,GET,64,852290.94
3,moon-first,redis,INCR,64,914653.69
3,moon-first,redis,LPUSH,64,554950.81
3,moon-first,redis,SADD,64,468613.56
3,moon-first,redis,SPOP,64,313814.22
3,moon-first,redis,HSET,64,684321.19
3,moon-first,redis,ZADD,64,440667.44
4,redis-first,redis,SET,1,82576.38
4,redis-first,redis,GET,1,79808.46
4,redis-first,redis,INCR,1,82987.55
4,redis-first,redis,LPUSH,1,82644.62
4,redis-first,redis,SADD,1,84245.99
4,redis-first,redis,SPOP,1,87489.06
4,redis-first,redis,HSET,1,85034.02
4,redis-first,redis,ZADD,1,83056.48
4,redis-first,redis,SET,8,415800.41
4,redis-first,redis,GET,8,447928.31
4,redis-first,redis,INCR,8,457665.91
4,redis-first,redis,LPUSH,8,341296.91
4,redis-first,redis,SADD,8,328407.22
4,redis-first,redis,SPOP,8,278357.69
4,redis-first,redis,HSET,8,396432.12
4,redis-first,redis,ZADD,8,280112.06
4,redis-first,redis,SET,64,774010.31
4,redis-first,redis,GET,64,865070.38
4,redis-first,redis,INCR,64,914096.25
4,redis-first,redis,LPUSH,64,572312.88
4,redis-first,redis,SADD,64,462117.06
4,redis-first,redis,SPOP,64,312767.31
4,redis-first,redis,HSET,64,662851.06
4,redis-first,redis,ZADD,64,436182.62
4,redis-first,moon,SET,1,86430.43
4,redis-first,moon,GET,1,81766.15
4,redis-first,moon,INCR,1,77101.00
4,redis-first,moon,LPUSH,1,71123.76
